model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,8,chinese:SSB0005,0,0,median,1,1,1,10,0.6250,3.8345,0.9466,16.02
voicemark,8,chinese:SSB0005,0,0,minimum,1,1,1,12,0.7500,2.7205,0.9173,12.04
voicemark,8,chinese:SSB0005,0,0,maximum,1,1,1,11,0.6875,2.7050,0.9186,12.29
voicemark,8,chinese:SSB0005,0,0,rand_minmax,1,1,1,10,0.6250,1.3485,0.8584,10.37
voicemark,8,chinese:SSB0005,0,0,copy_paste,1,1,1,12,0.7500,2.9994,0.8824,13.11
voicemark,8,chinese:SSB0005,1,1,median,1,1,1,10,0.6250,3.9361,0.9618,17.99
voicemark,8,chinese:SSB0005,1,1,minimum,1,1,1,9,0.5625,2.6099,0.9108,12.90
voicemark,8,chinese:SSB0005,1,1,maximum,1,1,1,9,0.5625,2.7151,0.9132,12.81
voicemark,8,chinese:SSB0005,1,1,rand_minmax,1,1,1,11,0.6875,1.3126,0.8530,10.88
voicemark,8,chinese:SSB0005,1,1,copy_paste,1,1,1,13,0.8125,3.0401,0.9103,13.82
voicemark,8,chinese:SSB0005,2,2,median,1,1,1,9,0.5625,3.8196,0.9619,15.15
voicemark,8,chinese:SSB0005,2,2,minimum,1,1,1,10,0.6250,2.5976,0.9231,11.86
voicemark,8,chinese:SSB0005,2,2,maximum,1,1,1,11,0.6875,2.6502,0.9194,11.88
voicemark,8,chinese:SSB0005,2,2,rand_minmax,1,1,1,10,0.6250,1.2834,0.8478,10.07
voicemark,8,chinese:SSB0005,2,2,copy_paste,1,1,1,11,0.6875,3.0500,0.9218,12.46
voicemark,8,chinese:SSB0009,0,3,median,1,1,1,12,0.7500,3.5269,0.9512,10.20
voicemark,8,chinese:SSB0009,0,3,minimum,1,1,1,13,0.8125,2.5371,0.9265,7.69
voicemark,8,chinese:SSB0009,0,3,maximum,1,1,1,13,0.8125,2.5728,0.9274,7.91
voicemark,8,chinese:SSB0009,0,3,rand_minmax,1,1,1,10,0.6250,1.3132,0.8761,6.20
voicemark,8,chinese:SSB0009,0,3,copy_paste,1,1,1,13,0.8125,2.5149,0.8989,8.67
voicemark,8,chinese:SSB0009,1,4,median,1,1,1,8,0.5000,3.6291,0.9623,12.72
voicemark,8,chinese:SSB0009,1,4,minimum,1,1,1,10,0.6250,2.4459,0.9282,8.01
voicemark,8,chinese:SSB0009,1,4,maximum,1,1,1,9,0.5625,2.4979,0.9312,8.24
voicemark,8,chinese:SSB0009,1,4,rand_minmax,1,1,1,11,0.6875,1.2763,0.8831,6.38
voicemark,8,chinese:SSB0009,1,4,copy_paste,1,1,1,10,0.6250,2.4652,0.8880,9.34
voicemark,8,chinese:SSB0009,2,5,median,1,1,1,12,0.7500,3.9440,0.9701,11.70
voicemark,8,chinese:SSB0009,2,5,minimum,1,1,1,10,0.6250,2.6136,0.9320,7.54
voicemark,8,chinese:SSB0009,2,5,maximum,1,1,1,11,0.6875,2.7388,0.9397,7.83
voicemark,8,chinese:SSB0009,2,5,rand_minmax,1,1,1,11,0.6875,1.3187,0.8838,5.99
voicemark,8,chinese:SSB0009,2,5,copy_paste,1,1,1,10,0.6250,2.7152,0.9109,8.32
voicemark,8,chinese:SSB0011,0,6,median,1,1,1,12,0.7500,3.2014,0.9410,15.79
voicemark,8,chinese:SSB0011,0,6,minimum,1,1,1,13,0.8125,2.2811,0.9159,12.34
voicemark,8,chinese:SSB0011,0,6,maximum,1,1,1,13,0.8125,2.3123,0.9159,12.44
voicemark,8,chinese:SSB0011,0,6,rand_minmax,1,1,1,11,0.6875,1.1561,0.8273,10.41
voicemark,8,chinese:SSB0011,0,6,copy_paste,1,1,1,12,0.7500,2.4358,0.8921,13.58
voicemark,8,chinese:SSB0011,1,7,median,1,1,1,10,0.6250,3.3711,0.9527,16.48
voicemark,8,chinese:SSB0011,1,7,minimum,1,1,1,12,0.7500,2.2094,0.9194,11.65
voicemark,8,chinese:SSB0011,1,7,maximum,1,1,1,12,0.7500,2.2769,0.9210,11.53
voicemark,8,chinese:SSB0011,1,7,rand_minmax,1,1,1,11,0.6875,1.1743,0.8340,10.02
voicemark,8,chinese:SSB0011,1,7,copy_paste,1,1,1,13,0.8125,2.5560,0.8965,12.84
voicemark,8,chinese:SSB0011,2,8,median,1,1,1,13,0.8125,3.4660,0.9476,15.53
voicemark,8,chinese:SSB0011,2,8,minimum,1,1,1,11,0.6875,2.4560,0.9152,12.17
voicemark,8,chinese:SSB0011,2,8,maximum,1,1,1,11,0.6875,2.5658,0.9206,12.26
voicemark,8,chinese:SSB0011,2,8,rand_minmax,1,1,1,10,0.6250,1.1869,0.8358,10.48
voicemark,8,chinese:SSB0011,2,8,copy_paste,1,1,1,11,0.6875,2.7847,0.9025,12.91
voicemark,8,chinese:SSB0012,0,9,median,1,1,1,11,0.6875,3.3680,0.9469,11.86
voicemark,8,chinese:SSB0012,0,9,minimum,1,1,1,10,0.6250,2.0139,0.8878,8.52
voicemark,8,chinese:SSB0012,0,9,maximum,1,1,1,10,0.6250,2.0298,0.8906,8.78
voicemark,8,chinese:SSB0012,0,9,rand_minmax,1,1,1,12,0.7500,1.1790,0.8193,6.94
voicemark,8,chinese:SSB0012,0,9,copy_paste,1,1,1,11,0.6875,2.4323,0.8829,9.28
voicemark,8,chinese:SSB0012,1,10,median,1,1,1,10,0.6250,3.6797,0.9468,15.77
voicemark,8,chinese:SSB0012,1,10,minimum,1,1,1,11,0.6875,2.3657,0.9026,10.61
voicemark,8,chinese:SSB0012,1,10,maximum,1,1,1,12,0.7500,2.3756,0.9022,10.88
voicemark,8,chinese:SSB0012,1,10,rand_minmax,1,1,1,10,0.6250,1.2556,0.8393,8.83
voicemark,8,chinese:SSB0012,1,10,copy_paste,1,1,1,13,0.8125,2.5973,0.8854,11.93
voicemark,8,chinese:SSB0012,2,11,median,1,1,1,11,0.6875,3.2871,0.9441,12.78
voicemark,8,chinese:SSB0012,2,11,minimum,1,1,1,11,0.6875,2.0604,0.8916,8.88
