model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,2,chinese:SSB0005,0,0,median,1,1,1,14,0.8750,4.5812,0.9978,45.79
wavmark,2,chinese:SSB0005,0,0,minimum,1,1,1,14,0.8750,4.4549,0.9965,43.90
wavmark,2,chinese:SSB0005,0,0,maximum,1,1,1,14,0.8750,4.4617,0.9966,44.08
wavmark,2,chinese:SSB0005,0,0,rand_minmax,1,1,1,14,0.8750,4.1137,0.9950,42.81
wavmark,2,chinese:SSB0005,0,0,copy_paste,1,1,1,13,0.8125,4.4782,0.9957,42.84
wavmark,2,chinese:SSB0005,1,1,median,1,1,1,12,0.7500,4.5708,0.9985,45.40
wavmark,2,chinese:SSB0005,1,1,minimum,1,1,1,11,0.6875,4.4485,0.9970,43.60
wavmark,2,chinese:SSB0005,1,1,maximum,1,1,1,12,0.7500,4.4464,0.9968,43.52
wavmark,2,chinese:SSB0005,1,1,rand_minmax,1,1,1,13,0.8125,4.1312,0.9943,42.47
wavmark,2,chinese:SSB0005,1,1,copy_paste,1,1,1,11,0.6875,4.4902,0.9961,42.53
wavmark,2,chinese:SSB0005,2,2,median,1,1,1,14,0.8750,4.6118,0.9990,48.15
wavmark,2,chinese:SSB0005,2,2,minimum,1,1,1,15,0.9375,4.5294,0.9977,46.34
wavmark,2,chinese:SSB0005,2,2,maximum,1,1,1,14,0.8750,4.5301,0.9978,46.32
wavmark,2,chinese:SSB0005,2,2,rand_minmax,1,1,1,15,0.9375,4.2862,0.9963,45.12
wavmark,2,chinese:SSB0005,2,2,copy_paste,1,1,1,15,0.9375,4.5377,0.9974,45.17
wavmark,2,chinese:SSB0009,0,3,median,1,1,1,15,0.9375,4.6184,1.0000,48.11
wavmark,2,chinese:SSB0009,0,3,minimum,1,1,1,15,0.9375,4.5754,1.0000,46.24
wavmark,2,chinese:SSB0009,0,3,maximum,1,1,1,15,0.9375,4.5767,1.0000,46.22
wavmark,2,chinese:SSB0009,0,3,rand_minmax,1,1,1,15,0.9375,4.3067,0.9999,45.06
wavmark,2,chinese:SSB0009,0,3,copy_paste,1,1,1,15,0.9375,4.5738,0.9999,45.47
wavmark,2,chinese:SSB0009,1,4,median,1,1,1,12,0.7500,4.6179,1.0000,44.95
