model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wmcodec,8,chinese:SSB0005,0,0,median,1,1,1,12,0.7500,3.8728,0.9781,17.73
wmcodec,8,chinese:SSB0005,0,0,minimum,1,1,1,11,0.6875,2.5623,0.9246,13.12
wmcodec,8,chinese:SSB0005,0,0,maximum,1,1,1,13,0.8125,2.5986,0.9284,13.15
wmcodec,8,chinese:SSB0005,0,0,rand_minmax,1,1,1,14,0.8750,1.1838,0.8494,11.34
wmcodec,8,chinese:SSB0005,0,0,copy_paste,1,1,1,13,0.8125,3.6037,0.9719,14.30
wmcodec,8,chinese:SSB0005,1,1,median,1,1,1,11,0.6875,3.8478,0.9769,16.27
wmcodec,8,chinese:SSB0005,1,1,minimum,1,1,1,11,0.6875,2.6175,0.9231,12.69
wmcodec,8,chinese:SSB0005,1,1,maximum,1,1,1,11,0.6875,2.6468,0.9245,12.70
wmcodec,8,chinese:SSB0005,1,1,rand_minmax,1,1,1,12,0.7500,1.1895,0.8493,10.98
wmcodec,8,chinese:SSB0005,1,1,copy_paste,1,1,1,11,0.6875,3.6098,0.9698,13.81
wmcodec,8,chinese:SSB0005,2,2,median,1,1,1,13,0.8125,3.9317,0.9790,17.37
wmcodec,8,chinese:SSB0005,2,2,minimum,1,1,1,13,0.8125,2.5627,0.9239,13.01
wmcodec,8,chinese:SSB0005,2,2,maximum,1,1,1,13,0.8125,2.4401,0.9251,13.04
wmcodec,8,chinese:SSB0005,2,2,rand_minmax,1,1,1,13,0.8125,1.1804,0.8525,11.22
wmcodec,8,chinese:SSB0005,2,2,copy_paste,1,1,1,12,0.7500,3.3690,0.9702,14.51
wmcodec,8,chinese:SSB0009,0,3,median,1,1,1,9,0.5625,3.8746,0.9847,13.80
wmcodec,8,chinese:SSB0009,0,3,minimum,1,1,1,11,0.6875,2.0625,0.9318,9.05
wmcodec,8,chinese:SSB0009,0,3,maximum,1,1,1,10,0.6250,2.1890,0.9381,9.33
wmcodec,8,chinese:SSB0009,0,3,rand_minmax,1,1,1,11,0.6875,1.1657,0.8907,7.60
wmcodec,8,chinese:SSB0009,0,3,copy_paste,1,1,1,13,0.8125,3.3676,0.9740,10.33
wmcodec,8,chinese:SSB0009,1,4,median,1,1,1,11,0.6875,3.9076,0.9855,12.87
wmcodec,8,chinese:SSB0009,1,4,minimum,1,1,1,13,0.8125,2.0192,0.9357,8.79
wmcodec,8,chinese:SSB0009,1,4,maximum,1,1,1,13,0.8125,2.1397,0.9396,8.90
wmcodec,8,chinese:SSB0009,1,4,rand_minmax,1,1,1,10,0.6250,1.1713,0.8917,7.42
wmcodec,8,chinese:SSB0009,1,4,copy_paste,1,1,1,14,0.8750,3.5426,0.9764,10.29
wmcodec,8,chinese:SSB0009,2,5,median,1,1,1,12,0.7500,3.6526,0.9830,12.94
wmcodec,8,chinese:SSB0009,2,5,minimum,1,1,1,10,0.6250,1.9973,0.9273,8.73
wmcodec,8,chinese:SSB0009,2,5,maximum,1,1,1,10,0.6250,2.1137,0.9356,8.99
wmcodec,8,chinese:SSB0009,2,5,rand_minmax,1,1,1,10,0.6250,1.1613,0.8872,7.40
wmcodec,8,chinese:SSB0009,2,5,copy_paste,1,1,1,14,0.8750,3.3070,0.9729,9.88
wmcodec,8,chinese:SSB0011,0,6,median,1,1,1,12,0.7500,3.3590,0.9750,14.96
wmcodec,8,chinese:SSB0011,0,6,minimum,1,1,1,13,0.8125,2.2399,0.9389,11.95
wmcodec,8,chinese:SSB0011,0,6,maximum,1,1,1,10,0.6250,2.3315,0.9393,11.66
wmcodec,8,chinese:SSB0011,0,6,rand_minmax,1,1,1,10,0.6250,1.0977,0.8410,10.37
wmcodec,8,chinese:SSB0011,0,6,copy_paste,1,1,1,12,0.7500,3.0789,0.9676,12.60
wmcodec,8,chinese:SSB0011,1,7,median,1,1,1,14,0.8750,3.4875,0.9728,16.47
wmcodec,8,chinese:SSB0011,1,7,minimum,1,1,1,14,0.8750,1.8552,0.9353,12.43
wmcodec,8,chinese:SSB0011,1,7,maximum,1,1,1,12,0.7500,1.9203,0.9361,12.46
