model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,3,chinese:SSB0005,0,0,bdb,1,1,1,11,0.6875,4.5838,0.9992,36.02
audioseal,3,chinese:SSB0005,1,1,bdb,1,1,1,14,0.8750,4.6101,0.9995,37.54
audioseal,3,chinese:SSB0005,2,2,bdb,1,0,0,15,0.9375,4.5768,0.9990,35.52
audioseal,3,chinese:SSB0009,0,3,bdb,1,1,1,14,0.8750,4.6291,0.9999,40.49
audioseal,3,chinese:SSB0009,1,4,bdb,1,1,1,12,0.7500,4.5970,0.9997,33.92
audioseal,3,chinese:SSB0009,2,5,bdb,1,1,1,10,0.6250,4.6038,0.9997,35.37
audioseal,3,chinese:SSB0011,0,6,bdb,1,1,1,13,0.8125,4.6050,0.9994,36.84
audioseal,3,chinese:SSB0011,1,7,bdb,1,1,1,14,0.8750,4.5530,0.9988,32.57
audioseal,3,chinese:SSB0011,2,8,bdb,1,1,1,10,0.6250,4.5410,0.9985,33.67
audioseal,3,chinese:SSB0012,0,9,bdb,1,1,1,14,0.8750,4.6147,0.9997,34.46
audioseal,3,chinese:SSB0012,1,10,bdb,1,1,1,11,0.6875,4.6041,0.9994,34.04
audioseal,3,chinese:SSB0012,2,11,bdb,1,0,0,15,0.9375,4.6150,0.9996,34.08
audioseal,3,chinese:SSB0016,0,12,bdb,1,1,1,13,0.8125,4.5983,0.9991,33.58
audioseal,3,chinese:SSB0016,1,13,bdb,1,1,1,12,0.7500,4.5698,0.9989,34.00
audioseal,3,chinese:SSB0016,2,14,bdb,1,1,1,13,0.8125,4.5865,0.9987,33.81
audioseal,3,chinese:SSB0018,0,15,bdb,1,1,1,14,0.8750,4.5558,0.9994,34.94
audioseal,3,chinese:SSB0018,1,16,bdb,1,1,1,13,0.8125,4.6037,0.9997,34.46
audioseal,3,chinese:SSB0018,2,17,bdb,1,1,1,11,0.6875,4.5944,0.9997,35.74
audioseal,3,chinese:SSB0033,0,18,bdb,1,1,1,12,0.7500,4.5927,0.9996,41.00
audioseal,3,chinese:SSB0033,1,19,bdb,1,1,1,14,0.8750,4.5595,0.9994,37.03
audioseal,3,chinese:SSB0033,2,20,bdb,1,1,1,13,0.8125,4.5585,0.9992,37.99
audioseal,3,chinese:SSB0038,0,21,bdb,1,1,1,12,0.7500,4.5605,0.9979,33.05
audioseal,3,chinese:SSB0038,1,22,bdb,1,1,1,13,0.8125,4.6128,0.9995,34.81
audioseal,3,chinese:SSB0038,2,23,bdb,1,1,1,11,0.6875,4.5978,0.9993,36.55
audioseal,3,chinese:SSB0043,0,24,bdb,1,1,1,12,0.7500,4.5493,0.9992,33.88
audioseal,3,chinese:SSB0043,1,25,bdb,1,1,1,13,0.8125,4.5787,0.9993,35.54
audioseal,3,chinese:SSB0043,2,26,bdb,1,1,1,14,0.8750,4.5044,0.9983,31.95
audioseal,3,chinese:SSB0057,0,27,bdb,1,1,1,12,0.7500,4.5623,0.9977,34.71
audioseal,3,chinese:SSB0057,1,28,bdb,1,1,1,13,0.8125,4.6050,0.9992,38.36
audioseal,3,chinese:SSB0057,2,29,bdb,1,1,1,11,0.6875,4.6161,0.9993,35.74
audioseal,3,chinese:SSB0073,0,30,bdb,1,1,1,12,0.7500,4.5817,0.9995,30.99
audioseal,3,chinese:SSB0073,1,31,bdb,1,1,1,12,0.7500,4.5612,0.9996,30.82
audioseal,3,chinese:SSB0073,2,32,bdb,1,1,1,14,0.8750,4.6159,0.9998,33.47
audioseal,3,chinese:SSB0080,0,33,bdb,1,1,1,12,0.7500,4.5988,0.9993,33.94
audioseal,3,chinese:SSB0080,1,34,bdb,1,1,1,13,0.8125,4.5866,0.9996,31.73
audioseal,3,chinese:SSB0080,2,35,bdb,1,1,1,11,0.6875,4.5980,0.9989,32.79
audioseal,3,chinese:SSB0112,0,36,bdb,1,1,1,12,0.7500,4.5745,0.9993,31.04
audioseal,3,chinese:SSB0112,1,37,bdb,1,1,1,11,0.6875,4.5689,0.9991,29.15
audioseal,3,chinese:SSB0112,2,38,bdb,1,1,1,12,0.7500,4.5834,0.9993,30.29
audioseal,3,chinese:SSB0122,0,39,bdb,1,1,1,15,0.9375,4.5933,0.9996,34.37
audioseal,3,chinese:SSB0122,1,40,bdb,1,1,1,12,0.7500,4.5994,0.9997,35.31
audioseal,3,chinese:SSB0122,2,41,bdb,1,1,1,12,0.7500,4.5999,0.9997,34.98
audioseal,3,chinese:SSB0133,0,42,bdb,1,1,1,12,0.7500,4.5777,0.9989,37.66
audioseal,3,chinese:SSB0133,1,43,bdb,1,1,1,14,0.8750,4.5996,0.9990,38.45
audioseal,3,chinese:SSB0133,2,44,bdb,1,1,1,12,0.7500,4.5974,0.9992,37.32
audioseal,3,chinese:SSB0139,0,45,bdb,1,1,1,12,0.7500,4.6008,0.9999,34.43
audioseal,3,chinese:SSB0139,1,46,bdb,1,1,1,12,0.7500,4.6019,0.9998,33.74
audioseal,3,chinese:SSB0139,2,47,bdb,1,1,1,11,0.6875,4.6065,0.9998,33.57
audioseal,3,chinese:SSB0145,0,48,bdb,1,1,1,14,0.8750,4.6091,0.9994,34.41
