model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0005,0,0,bdb,0,0,0,10,1.0000,4.4390,0.9924,31.32
timbrewm,5,chinese:SSB0005,1,1,bdb,1,1,1,9,0.9000,4.5707,0.9979,35.15
timbrewm,5,chinese:SSB0005,2,2,bdb,1,1,1,7,0.7000,4.5485,0.9965,34.66
timbrewm,5,chinese:SSB0009,0,3,bdb,1,1,1,8,0.8000,4.6088,0.9990,31.64
timbrewm,5,chinese:SSB0009,1,4,bdb,1,0,0,9,0.9000,4.5934,0.9994,34.87
timbrewm,5,chinese:SSB0009,2,5,bdb,1,1,0,9,0.9000,4.4763,0.9963,27.71
timbrewm,5,chinese:SSB0011,0,6,bdb,1,1,1,6,0.6000,4.5126,0.9957,30.27
timbrewm,5,chinese:SSB0011,1,7,bdb,1,1,1,9,0.9000,4.4378,0.9954,30.92
timbrewm,5,chinese:SSB0011,2,8,bdb,0,0,0,10,1.0000,4.1225,0.9899,26.83
timbrewm,5,chinese:SSB0012,0,9,bdb,1,1,1,8,0.8000,4.4086,0.9941,29.93
timbrewm,5,chinese:SSB0012,1,10,bdb,1,0,0,9,0.9000,4.5809,0.9984,34.32
timbrewm,5,chinese:SSB0012,2,11,bdb,1,1,1,8,0.8000,4.5694,0.9978,32.27
timbrewm,5,chinese:SSB0016,0,12,bdb,0,0,0,10,1.0000,4.3693,0.9938,25.47
timbrewm,5,chinese:SSB0016,1,13,bdb,1,1,1,7,0.7000,4.4476,0.9950,26.64
timbrewm,5,chinese:SSB0016,2,14,bdb,1,1,1,6,0.6000,4.5491,0.9950,27.27
timbrewm,5,chinese:SSB0018,0,15,bdb,1,1,1,8,0.8000,4.4045,0.9940,30.75
timbrewm,5,chinese:SSB0018,1,16,bdb,1,1,1,9,0.9000,4.4211,0.9948,30.88
timbrewm,5,chinese:SSB0018,2,17,bdb,1,1,1,8,0.8000,4.3900,0.9933,30.82
timbrewm,5,chinese:SSB0033,0,18,bdb,0,0,0,10,1.0000,4.3196,0.9957,32.38
timbrewm,5,chinese:SSB0033,1,19,bdb,1,1,1,8,0.8000,4.4444,0.9937,33.06
timbrewm,5,chinese:SSB0033,2,20,bdb,1,1,0,8,0.8000,4.4689,0.9969,34.15
timbrewm,5,chinese:SSB0038,0,21,bdb,1,1,1,7,0.7000,4.5848,0.9961,31.76
timbrewm,5,chinese:SSB0038,1,22,bdb,1,1,1,9,0.9000,4.4652,0.9931,28.47
timbrewm,5,chinese:SSB0038,2,23,bdb,1,1,1,7,0.7000,4.4907,0.9978,33.06
timbrewm,5,chinese:SSB0043,0,24,bdb,1,1,1,8,0.8000,4.1921,0.9920,27.27
timbrewm,5,chinese:SSB0043,1,25,bdb,1,1,1,8,0.8000,3.8796,0.9874,25.51
timbrewm,5,chinese:SSB0043,2,26,bdb,1,1,1,6,0.6000,4.3698,0.9926,28.62
timbrewm,5,chinese:SSB0057,0,27,bdb,1,1,0,8,0.8000,4.6103,0.9985,36.69
timbrewm,5,chinese:SSB0057,1,28,bdb,1,1,1,7,0.7000,4.4401,0.9943,30.54
timbrewm,5,chinese:SSB0057,2,29,bdb,1,1,1,7,0.7000,4.5051,0.9960,32.49
timbrewm,5,chinese:SSB0073,0,30,bdb,1,1,0,9,0.9000,4.5053,0.9965,31.51
timbrewm,5,chinese:SSB0073,1,31,bdb,1,1,1,8,0.8000,4.2866,0.9960,28.99
timbrewm,5,chinese:SSB0073,2,32,bdb,1,1,1,9,0.9000,4.5790,0.9987,34.01
timbrewm,5,chinese:SSB0080,0,33,bdb,1,1,1,8,0.8000,4.1024,0.9888,26.82
timbrewm,5,chinese:SSB0080,1,34,bdb,1,1,1,8,0.8000,4.0058,0.9869,25.78
timbrewm,5,chinese:SSB0080,2,35,bdb,1,1,1,9,0.9000,4.4547,0.9972,31.13
timbrewm,5,chinese:SSB0112,0,36,bdb,1,1,0,9,0.9000,4.4720,0.9932,25.80
timbrewm,5,chinese:SSB0112,1,37,bdb,1,1,1,8,0.8000,4.5986,0.9974,30.39
timbrewm,5,chinese:SSB0112,2,38,bdb,1,0,0,9,0.9000,4.4923,0.9966,28.92
timbrewm,5,chinese:SSB0122,0,39,bdb,1,1,1,8,0.8000,4.4946,0.9982,32.16
timbrewm,5,chinese:SSB0122,1,40,bdb,1,1,1,7,0.7000,4.4174,0.9969,30.22
timbrewm,5,chinese:SSB0122,2,41,bdb,1,1,1,7,0.7000,4.5271,0.9980,33.39
timbrewm,5,chinese:SSB0133,0,42,bdb,1,0,0,9,0.9000,4.5832,0.9969,31.73
timbrewm,5,chinese:SSB0133,1,43,bdb,1,1,1,7,0.7000,4.5494,0.9970,30.77
timbrewm,5,chinese:SSB0133,2,44,bdb,1,1,1,8,0.8000,4.5163,0.9939,28.82
timbrewm,5,chinese:SSB0139,0,45,bdb,1,1,1,9,0.9000,4.4186,0.9973,30.96
timbrewm,5,chinese:SSB0139,1,46,bdb,1,1,1,9,0.9000,4.4960,0.9983,31.63
timbrewm,5,chinese:SSB0139,2,47,bdb,1,1,1,7,0.7000,4.6104,0.9993,36.32
timbrewm,5,chinese:SSB0145,0,48,bdb,1,1,1,8,0.8000,4.5917,0.9987,32.03
timbrewm,5,chinese:SSB0145,1,49,bdb,1,1,1,8,0.8000,4.5279,0.9971,30.61
timbrewm,5,chinese:SSB0145,2,50,bdb,1,1,1,7,0.7000,4.4347,0.9949,26.63
timbrewm,5,chinese:SSB0149,0,51,bdb,1,1,1,9,0.9000,4.2200,0.9949,29.08
timbrewm,5,chinese:SSB0149,1,52,bdb,1,1,1,8,0.8000,4.3555,0.9943,29.56
timbrewm,5,chinese:SSB0149,2,53,bdb,1,1,1,7,0.7000,4.4875,0.9975,32.56
timbrewm,5,chinese:SSB0193,0,54,bdb,1,1,1,7,0.7000,4.4483,0.9961,28.86
timbrewm,5,chinese:SSB0193,1,55,bdb,1,1,1,9,0.9000,4.2593,0.9928,25.19
timbrewm,5,chinese:SSB0193,2,56,bdb,1,1,1,8,0.8000,4.5304,0.9977,29.97
timbrewm,5,chinese:SSB0197,0,57,bdb,1,1,1,8,0.8000,4.4013,0.9934,25.94
timbrewm,5,chinese:SSB0197,1,58,bdb,1,1,0,8,0.8000,4.5891,0.9970,29.21
