model,K,spk,local_t,gi,target,tct_hit,tct_margin,oracle_hit,oracle_margin
wmcodec,5,chinese:SSB0005,0,0,63605,0,-8.41359349,0,-10.84060261
wmcodec,5,chinese:SSB0005,0,0,38789,0,-18.00503796,0,-9.72479457
wmcodec,5,chinese:SSB0005,0,0,47819,0,-27.47311147,0,-27.04806173
wmcodec,5,chinese:SSB0005,0,0,38885,1,1.78742227,0,-1.99752755
wmcodec,5,chinese:SSB0005,0,0,38727,0,-31.39048180,0,-13.98295778
wmcodec,5,chinese:SSB0005,0,0,62325,0,-22.65365946,0,-13.08180612
wmcodec,5,chinese:SSB0005,0,0,38629,0,-32.43423291,0,-14.84383200
wmcodec,5,chinese:SSB0005,0,0,33735,0,-45.55591966,0,-30.47055835
wmcodec,5,chinese:SSB0005,0,0,63607,0,-16.29787472,0,-14.01963803
wmcodec,5,chinese:SSB0005,0,0,38599,0,-59.22356139,0,-35.73602764
wmcodec,5,chinese:SSB0005,1,1,27987,0,-23.51683866,0,-22.39673865
wmcodec,5,chinese:SSB0005,1,1,14993,0,-13.62481440,0,-10.91303206
wmcodec,5,chinese:SSB0005,1,1,47760,0,-14.29775517,0,-8.56864699
wmcodec,5,chinese:SSB0005,1,1,32114,0,-20.64754919,0,-8.26305902
wmcodec,5,chinese:SSB0005,1,1,23930,0,-22.15542563,0,-9.65644261
wmcodec,5,chinese:SSB0005,1,1,17746,0,-34.24291380,0,-22.59463355
wmcodec,5,chinese:SSB0005,1,1,15672,0,-44.66900636,0,-13.32322565
wmcodec,5,chinese:SSB0005,1,1,60713,0,-50.47507321,0,-24.33250338
wmcodec,5,chinese:SSB0005,1,1,23931,0,-22.44537638,0,-4.41075015
wmcodec,5,chinese:SSB0005,1,1,16017,0,-19.66179055,0,-18.08704413
wmcodec,5,chinese:SSB0005,2,2,60561,0,-17.42847091,0,-9.46072167
wmcodec,5,chinese:SSB0005,2,2,44163,0,-44.29046790,0,-20.56023032
wmcodec,5,chinese:SSB0005,2,2,64664,0,-20.06060106,0,-8.69136244
wmcodec,5,chinese:SSB0005,2,2,42881,0,-51.68929836,0,-23.81990433
wmcodec,5,chinese:SSB0005,2,2,41379,0,-40.13324822,0,-22.40336595
wmcodec,5,chinese:SSB0005,2,2,36753,0,-38.65612324,0,-21.05028471
wmcodec,5,chinese:SSB0005,2,2,64665,0,-40.87994460,0,-21.70484453
wmcodec,5,chinese:SSB0005,2,2,58547,0,-37.27308520,0,-18.63193709
wmcodec,5,chinese:SSB0005,2,2,41675,0,-29.98922558,0,-19.50008307
wmcodec,5,chinese:SSB0005,2,2,55472,0,-17.12030962,0,-12.03489213
wmcodec,5,chinese:SSB0009,0,3,28035,0,-16.88766458,0,-18.17686029
wmcodec,5,chinese:SSB0009,0,3,11902,0,-18.82024328,0,-13.33977878
wmcodec,5,chinese:SSB0009,0,3,9852,0,-17.90133893,0,-13.10562712
wmcodec,5,chinese:SSB0009,0,3,39417,0,-27.44269887,0,-6.56339353
wmcodec,5,chinese:SSB0009,0,3,10872,0,-22.18415014,0,-7.80660935
wmcodec,5,chinese:SSB0009,0,3,51816,0,-20.53256486,0,-12.41775076
wmcodec,5,chinese:SSB0009,0,3,39321,0,-13.01811048,0,-5.68473235
wmcodec,5,chinese:SSB0009,0,3,40217,0,-24.69842259,0,-9.61696020
wmcodec,5,chinese:SSB0009,0,3,43449,0,-17.51296791,0,-11.59043217
wmcodec,5,chinese:SSB0009,0,3,43289,0,-17.74630626,0,-8.60054505
