model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
audioseal,8,chinese:SSB0005,0,0,dm,1,1,1,10,0.6250,4.5810,0.9990,35.57
audioseal,8,chinese:SSB0005,1,1,dm,1,1,1,13,0.8125,4.6002,0.9993,35.31
audioseal,8,chinese:SSB0005,2,2,dm,1,1,1,13,0.8125,4.6102,0.9996,36.94
audioseal,8,chinese:SSB0009,0,3,dm,1,1,1,11,0.6875,4.5998,0.9997,34.23
audioseal,8,chinese:SSB0009,1,4,dm,1,1,1,12,0.7500,4.5946,0.9997,34.15
audioseal,8,chinese:SSB0009,2,5,dm,1,1,1,15,0.9375,4.5984,0.9997,33.65
audioseal,8,chinese:SSB0011,0,6,dm,1,1,1,12,0.7500,4.5581,0.9988,32.24
audioseal,8,chinese:SSB0011,1,7,dm,1,1,1,11,0.6875,4.5198,0.9984,32.53
audioseal,8,chinese:SSB0011,2,8,dm,1,1,1,11,0.6875,4.5503,0.9984,32.98
audioseal,8,chinese:SSB0012,0,9,dm,1,1,1,12,0.7500,4.5677,0.9992,31.42
audioseal,8,chinese:SSB0012,1,10,dm,1,1,1,11,0.6875,4.5778,0.9992,32.63
audioseal,8,chinese:SSB0012,2,11,dm,1,1,1,12,0.7500,4.5892,0.9995,33.32
audioseal,8,chinese:SSB0016,0,12,dm,1,1,1,11,0.6875,4.5373,0.9983,32.48
audioseal,8,chinese:SSB0016,1,13,dm,1,1,1,12,0.7500,4.5522,0.9980,31.56
audioseal,8,chinese:SSB0016,2,14,dm,1,1,1,13,0.8125,4.5206,0.9976,31.67
audioseal,8,chinese:SSB0018,0,15,dm,1,1,1,12,0.7500,4.5818,0.9995,33.80
audioseal,8,chinese:SSB0018,1,16,dm,1,1,1,11,0.6875,4.5642,0.9995,33.74
audioseal,8,chinese:SSB0018,2,17,dm,1,1,1,12,0.7500,4.5645,0.9997,34.86
audioseal,8,chinese:SSB0033,0,18,dm,1,1,1,11,0.6875,4.5990,0.9995,39.40
audioseal,8,chinese:SSB0033,1,19,dm,1,1,1,13,0.8125,4.5990,0.9995,39.33
audioseal,8,chinese:SSB0033,2,20,dm,1,1,1,12,0.7500,4.5868,0.9995,38.77
audioseal,8,chinese:SSB0038,0,21,dm,1,1,1,13,0.8125,4.5909,0.9992,32.62
audioseal,8,chinese:SSB0038,1,22,dm,1,1,1,13,0.8125,4.5749,0.9989,33.62
audioseal,8,chinese:SSB0038,2,23,dm,1,1,1,12,0.7500,4.5670,0.9988,34.53
audioseal,8,chinese:SSB0043,0,24,dm,1,1,1,12,0.7500,4.5444,0.9991,33.23
audioseal,8,chinese:SSB0043,1,25,dm,1,1,1,11,0.6875,4.5162,0.9987,32.48
audioseal,8,chinese:SSB0043,2,26,dm,1,1,1,14,0.8750,4.5395,0.9990,32.70
audioseal,8,chinese:SSB0057,0,27,dm,1,1,1,12,0.7500,4.6068,0.9991,37.45
audioseal,8,chinese:SSB0057,1,28,dm,1,1,1,11,0.6875,4.5824,0.9988,36.80
audioseal,8,chinese:SSB0057,2,29,dm,1,1,1,12,0.7500,4.5938,0.9986,37.74
audioseal,8,chinese:SSB0073,0,30,dm,1,1,1,10,0.6250,4.5607,0.9997,32.37
audioseal,8,chinese:SSB0073,1,31,dm,1,1,1,12,0.7500,4.5799,0.9997,32.09
audioseal,8,chinese:SSB0073,2,32,dm,1,1,1,12,0.7500,4.5889,0.9998,31.59
audioseal,8,chinese:SSB0080,0,33,dm,1,1,1,11,0.6875,4.5689,0.9985,29.09
audioseal,8,chinese:SSB0080,1,34,dm,1,1,1,13,0.8125,4.5795,0.9989,29.94
audioseal,8,chinese:SSB0080,2,35,dm,1,1,1,13,0.8125,4.5550,0.9982,28.91
audioseal,8,chinese:SSB0112,0,36,dm,1,1,1,13,0.8125,4.4946,0.9987,27.97
audioseal,8,chinese:SSB0112,1,37,dm,1,1,1,11,0.6875,4.5266,0.9990,28.30
audioseal,8,chinese:SSB0112,2,38,dm,1,1,1,11,0.6875,4.5383,0.9991,28.06
audioseal,8,chinese:SSB0122,0,39,dm,1,1,1,11,0.6875,4.5793,0.9995,34.62
audioseal,8,chinese:SSB0122,1,40,dm,1,1,1,11,0.6875,4.5942,0.9994,34.23
audioseal,8,chinese:SSB0122,2,41,dm,1,1,1,13,0.8125,4.5988,0.9996,35.12
audioseal,8,chinese:SSB0133,0,42,dm,1,1,1,12,0.7500,4.5638,0.9983,35.53
audioseal,8,chinese:SSB0133,1,43,dm,1,1,1,11,0.6875,4.5704,0.9986,36.56
audioseal,8,chinese:SSB0133,2,44,dm,1,1,1,12,0.7500,4.5229,0.9984,36.07
audioseal,8,chinese:SSB0139,0,45,dm,1,1,1,13,0.8125,4.5931,0.9998,32.24
audioseal,8,chinese:SSB0139,1,46,dm,1,1,1,14,0.8750,4.5981,0.9997,33.06
audioseal,8,chinese:SSB0139,2,47,dm,1,1,1,11,0.6875,4.5827,0.9998,33.80
audioseal,8,chinese:SSB0145,0,48,dm,1,1,1,13,0.8125,4.5947,0.9994,33.22
audioseal,8,chinese:SSB0145,1,49,dm,1,1,1,12,0.7500,4.5744,0.9991,31.74
audioseal,8,chinese:SSB0145,2,50,dm,1,1,1,11,0.6875,4.5721,0.9992,33.09
audioseal,8,chinese:SSB0149,0,51,dm,1,1,1,12,0.7500,4.6101,0.9998,35.65
audioseal,8,chinese:SSB0149,1,52,dm,1,1,1,13,0.8125,4.5816,0.9996,33.55
audioseal,8,chinese:SSB0149,2,53,dm,1,1,1,13,0.8125,4.5790,0.9996,33.04
audioseal,8,chinese:SSB0193,0,54,dm,1,1,1,11,0.6875,4.5518,0.9994,31.43
audioseal,8,chinese:SSB0193,1,55,dm,1,1,1,12,0.7500,4.5743,0.9993,30.45
audioseal,8,chinese:SSB0193,2,56,dm,1,1,1,10,0.6250,4.5449,0.9995,30.11
audioseal,8,chinese:SSB0197,0,57,dm,1,1,1,10,0.6250,4.5126,0.9879,28.17
audioseal,8,chinese:SSB0197,1,58,dm,1,1,1,13,0.8125,4.5243,0.9886,27.88
audioseal,8,chinese:SSB0197,2,59,dm,1,1,1,13,0.8125,4.5376,0.9910,28.85
audioseal,8,chinese:SSB0200,0,60,dm,1,1,1,14,0.8750,4.5458,0.9993,28.09
audioseal,8,chinese:SSB0200,1,61,dm,1,1,1,12,0.7500,4.5609,0.9993,28.39
audioseal,8,chinese:SSB0200,2,62,dm,1,1,1,13,0.8125,4.5107,0.9990,27.28
audioseal,8,chinese:SSB0241,0,63,dm,1,1,1,11,0.6875,4.5904,0.9991,34.36
audioseal,8,chinese:SSB0241,1,64,dm,1,1,1,13,0.8125,4.5873,0.9992,34.78
audioseal,8,chinese:SSB0241,2,65,dm,1,1,1,12,0.7500,4.5978,0.9995,35.38
audioseal,8,chinese:SSB0246,0,66,dm,1,1,1,12,0.7500,4.5764,0.9986,32.11
audioseal,8,chinese:SSB0246,1,67,dm,1,1,1,12,0.7500,4.5539,0.9990,31.81
audioseal,8,chinese:SSB0246,2,68,dm,1,1,1,13,0.8125,4.5461,0.9987,32.52
audioseal,8,chinese:SSB0261,0,69,dm,1,1,1,11,0.6875,4.5743,0.9993,32.08
audioseal,8,chinese:SSB0261,1,70,dm,1,1,1,11,0.6875,4.5695,0.9995,32.30
audioseal,8,chinese:SSB0261,2,71,dm,1,1,1,11,0.6875,4.5694,0.9996,32.85
audioseal,8,chinese:SSB0267,0,72,dm,1,1,1,12,0.7500,4.5700,0.9986,33.32
audioseal,8,chinese:SSB0267,1,73,dm,1,1,1,11,0.6875,4.5692,0.9986,33.34
audioseal,8,chinese:SSB0267,2,74,dm,1,1,1,12,0.7500,4.5835,0.9985,34.04
audioseal,8,chinese:SSB0273,0,75,dm,1,1,1,11,0.6875,4.5990,0.9998,32.71
audioseal,8,chinese:SSB0273,1,76,dm,1,1,1,11,0.6875,4.5925,0.9997,34.05
audioseal,8,chinese:SSB0273,2,77,dm,1,1,1,11,0.6875,4.5870,0.9997,31.88
audioseal,8,chinese:SSB0287,0,78,dm,1,1,1,12,0.7500,4.5722,0.9996,33.97
audioseal,8,chinese:SSB0287,1,79,dm,1,1,1,12,0.7500,4.5933,0.9997,34.23
audioseal,8,chinese:SSB0287,2,80,dm,1,1,1,12,0.7500,4.5860,0.9997,35.62
audioseal,8,chinese:SSB0288,0,81,dm,1,1,1,12,0.7500,4.5937,0.9975,36.27
audioseal,8,chinese:SSB0288,1,82,dm,1,1,1,12,0.7500,4.5918,0.9981,36.84
audioseal,8,chinese:SSB0288,2,83,dm,1,1,1,13,0.8125,4.5674,0.9969,36.55
audioseal,8,chinese:SSB0299,0,84,dm,1,1,1,12,0.7500,4.5544,0.9998,35.39
audioseal,8,chinese:SSB0299,1,85,dm,1,1,1,13,0.8125,4.5457,0.9997,32.99
audioseal,8,chinese:SSB0299,2,86,dm,1,1,1,11,0.6875,4.5601,0.9996,32.27
audioseal,8,chinese:SSB0307,0,87,dm,1,1,1,11,0.6875,4.4995,0.9978,28.84
audioseal,8,chinese:SSB0307,1,88,dm,1,1,1,9,0.5625,4.5170,0.9974,28.62
audioseal,8,chinese:SSB0307,2,89,dm,1,1,1,13,0.8125,4.5087,0.9978,28.92
audioseal,8,chinese:SSB0309,0,90,dm,1,1,1,14,0.8750,4.5565,0.9985,34.42
audioseal,8,chinese:SSB0309,1,91,dm,1,1,1,11,0.6875,4.5839,0.9989,34.05
audioseal,8,chinese:SSB0309,2,92,dm,1,1,1,11,0.6875,4.5590,0.9984,33.68
audioseal,8,chinese:SSB0315,0,93,dm,1,1,1,12,0.7500,4.5972,0.9996,34.01
audioseal,8,chinese:SSB0315,1,94,dm,1,1,1,12,0.7500,4.5874,0.9996,33.97
audioseal,8,chinese:SSB0315,2,95,dm,1,1,1,10,0.6250,4.5956,0.9996,34.32
audioseal,8,chinese:SSB0316,0,96,dm,1,1,1,13,0.8125,4.5855,0.9993,34.29
audioseal,8,chinese:SSB0316,1,97,dm,1,1,1,13,0.8125,4.5823,0.9993,34.97
audioseal,8,chinese:SSB0316,2,98,dm,1,1,1,12,0.7500,4.5958,0.9994,33.79
audioseal,8,chinese:SSB0323,0,99,dm,1,1,1,11,0.6875,4.5939,0.9997,35.01
audioseal,8,chinese:SSB0323,1,100,dm,1,1,1,14,0.8750,4.5757,0.9996,35.16
audioseal,8,chinese:SSB0323,2,101,dm,1,1,1,13,0.8125,4.5850,0.9997,35.56
audioseal,8,chinese:SSB0338,0,102,dm,1,1,1,11,0.6875,4.5238,0.9996,27.95
audioseal,8,chinese:SSB0338,1,103,dm,1,1,1,13,0.8125,4.5542,0.9998,28.55
audioseal,8,chinese:SSB0338,2,104,dm,1,1,1,13,0.8125,4.5066,0.9997,28.21
audioseal,8,chinese:SSB0339,0,105,dm,1,1,1,12,0.7500,4.5552,0.9992,31.57
audioseal,8,chinese:SSB0339,1,106,dm,1,1,1,11,0.6875,4.5427,0.9992,32.03
audioseal,8,chinese:SSB0339,2,107,dm,1,1,1,13,0.8125,4.5410,0.9992,32.05
audioseal,8,chinese:SSB0341,0,108,dm,1,1,1,13,0.8125,4.5768,0.9993,36.81
audioseal,8,chinese:SSB0341,1,109,dm,1,1,1,12,0.7500,4.5857,0.9992,37.05
audioseal,8,chinese:SSB0341,2,110,dm,1,1,1,11,0.6875,4.5981,0.9994,38.02
audioseal,8,chinese:SSB0342,0,111,dm,1,1,1,12,0.7500,4.5742,0.9989,34.13
audioseal,8,chinese:SSB0342,1,112,dm,1,1,1,13,0.8125,4.5235,0.9985,34.21
audioseal,8,chinese:SSB0342,2,113,dm,1,1,1,10,0.6250,4.5314,0.9989,33.67
audioseal,8,chinese:SSB0354,0,114,dm,1,1,1,13,0.8125,4.5492,0.9983,34.99
audioseal,8,chinese:SSB0354,1,115,dm,1,1,1,13,0.8125,4.5267,0.9982,35.12
audioseal,8,chinese:SSB0354,2,116,dm,1,1,1,14,0.8750,4.5641,0.9980,35.39
audioseal,8,chinese:SSB0366,0,117,dm,1,1,1,11,0.6875,4.5205,0.9982,28.93
audioseal,8,chinese:SSB0366,1,118,dm,1,0,0,15,0.9375,4.5564,0.9986,28.58
audioseal,8,chinese:SSB0366,2,119,dm,1,1,1,13,0.8125,4.5406,0.9983,28.84
audioseal,8,chinese:SSB0375,0,120,dm,1,1,1,12,0.7500,4.5919,0.9993,31.74
audioseal,8,chinese:SSB0375,1,121,dm,1,1,1,10,0.6250,4.5719,0.9992,31.06
audioseal,8,chinese:SSB0375,2,122,dm,1,1,1,14,0.8750,4.5601,0.9993,31.20
audioseal,8,chinese:SSB0379,0,123,dm,1,1,1,15,0.9375,4.5667,0.9994,31.21
audioseal,8,chinese:SSB0379,1,124,dm,1,1,1,13,0.8125,4.5722,0.9995,30.54
audioseal,8,chinese:SSB0379,2,125,dm,1,1,1,12,0.7500,4.5474,0.9993,29.61
audioseal,8,chinese:SSB0380,0,126,dm,1,1,1,12,0.7500,4.5638,0.9991,27.91
