model,K,spk,local_t,gi,restart,start_id,objective,weights
timbrewm,5,chinese:SSB0005,0,0,0,0,0.0000026263,0.24074837;0.09395631;0.23285904;0.28257135;0.14986494
timbrewm,5,chinese:SSB0005,0,0,0,1,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,0,2,0.0000026263,0.24203664;0.08800103;0.23537847;0.28421287;0.15037100
timbrewm,5,chinese:SSB0005,0,0,0,3,0.0000026258,0.24599383;0.08302467;0.22899414;0.27451108;0.16747629
timbrewm,5,chinese:SSB0005,0,0,0,4,0.0000026264,0.24137885;0.08693187;0.23492892;0.28242346;0.15433690
timbrewm,5,chinese:SSB0005,0,0,0,5,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,0,6,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,1,0,0.0000026263,0.24074837;0.09395631;0.23285904;0.28257135;0.14986494
timbrewm,5,chinese:SSB0005,0,0,1,1,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,1,2,0.0000026263,0.24329029;0.09169452;0.22985643;0.28433162;0.15082715
timbrewm,5,chinese:SSB0005,0,0,1,3,0.0000026258,0.24599383;0.08302467;0.22899414;0.27451108;0.16747629
timbrewm,5,chinese:SSB0005,0,0,1,4,0.0000026265,0.24156912;0.08941134;0.23256699;0.28099540;0.15545715
timbrewm,5,chinese:SSB0005,0,0,1,5,0.0000026258,0.24599383;0.08302467;0.22899414;0.27451108;0.16747629
timbrewm,5,chinese:SSB0005,0,0,1,6,0.0000026262,0.23972409;0.08299761;0.23906646;0.27979589;0.15841595
timbrewm,5,chinese:SSB0005,0,0,2,0,0.0000026263,0.24074837;0.09395631;0.23285904;0.28257135;0.14986494
timbrewm,5,chinese:SSB0005,0,0,2,1,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,2,2,0.0000026264,0.24342174;0.08787675;0.23221189;0.28204988;0.15443975
timbrewm,5,chinese:SSB0005,0,0,2,3,0.0000026264,0.24342174;0.08787675;0.23221189;0.28204988;0.15443975
timbrewm,5,chinese:SSB0005,0,0,2,4,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,2,5,0.0000026262,0.23972409;0.08299761;0.23906646;0.27979589;0.15841595
timbrewm,5,chinese:SSB0005,0,0,2,6,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,3,0,0.0000026263,0.24074837;0.09395631;0.23285904;0.28257135;0.14986494
timbrewm,5,chinese:SSB0005,0,0,3,1,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,3,2,0.0000026262,0.23763121;0.09012383;0.23597926;0.28650755;0.14975815
timbrewm,5,chinese:SSB0005,0,0,3,3,0.0000026263,0.24203664;0.08800103;0.23537847;0.28421287;0.15037100
timbrewm,5,chinese:SSB0005,0,0,3,4,0.0000026263,0.24203664;0.08800103;0.23537847;0.28421287;0.15037100
timbrewm,5,chinese:SSB0005,0,0,3,5,0.0000026264,0.24196756;0.08941312;0.23343005;0.28292894;0.15226033
timbrewm,5,chinese:SSB0005,0,0,3,6,0.0000026263,0.24329029;0.09169452;0.22985643;0.28433162;0.15082715
timbrewm,5,chinese:SSB0009,0,1,0,0,0.0000038375,0.30331890;0.22518208;0.14732850;0.13380207;0.19036844
timbrewm,5,chinese:SSB0009,0,1,0,1,0.0000038380,0.30364615;0.21230250;0.13972108;0.14098888;0.20334139
timbrewm,5,chinese:SSB0009,0,1,0,2,0.0000038380,0.30364615;0.21230250;0.13972108;0.14098888;0.20334139
timbrewm,5,chinese:SSB0009,0,1,0,3,0.0000038380,0.30364615;0.21230250;0.13972108;0.14098888;0.20334139
timbrewm,5,chinese:SSB0009,0,1,0,4,0.0000038382,0.30669172;0.21617742;0.13980862;0.13626631;0.20105594
timbrewm,5,chinese:SSB0009,0,1,0,5,0.0000038382,0.30551968;0.21814374;0.13803307;0.13827042;0.20003308
timbrewm,5,chinese:SSB0009,0,1,0,6,0.0000038382,0.30688054;0.21625120;0.13992909;0.13588094;0.20105823
timbrewm,5,chinese:SSB0009,0,1,1,0,0.0000038375,0.30331890;0.22518208;0.14732850;0.13380207;0.19036844
timbrewm,5,chinese:SSB0009,0,1,1,1,0.0000038380,0.30364615;0.21230250;0.13972108;0.14098888;0.20334139
timbrewm,5,chinese:SSB0009,0,1,1,2,0.0000038382,0.30688054;0.21625120;0.13992909;0.13588094;0.20105823
timbrewm,5,chinese:SSB0009,0,1,1,3,0.0000038381,0.30808280;0.21809725;0.14220599;0.13220555;0.19940840
timbrewm,5,chinese:SSB0009,0,1,1,4,0.0000038382,0.30688054;0.21625120;0.13992909;0.13588092;0.20105825
timbrewm,5,chinese:SSB0009,0,1,1,5,0.0000038378,0.30719956;0.22014351;0.13083271;0.13724604;0.20457819
timbrewm,5,chinese:SSB0009,0,1,1,6,0.0000038378,0.30719956;0.22014351;0.13083271;0.13724604;0.20457819
timbrewm,5,chinese:SSB0009,0,1,2,0,0.0000038375,0.30331890;0.22518208;0.14732850;0.13380207;0.19036844
timbrewm,5,chinese:SSB0009,0,1,2,1,0.0000038380,0.30364615;0.21230250;0.13972108;0.14098888;0.20334139
timbrewm,5,chinese:SSB0009,0,1,2,2,0.0000038382,0.30551968;0.21814374;0.13803307;0.13827042;0.20003308
timbrewm,5,chinese:SSB0009,0,1,2,3,0.0000038378,0.30719956;0.22014351;0.13083271;0.13724604;0.20457819
timbrewm,5,chinese:SSB0009,0,1,2,4,0.0000038381,0.30808280;0.21809725;0.14220599;0.13220555;0.19940840
timbrewm,5,chinese:SSB0009,0,1,2,5,0.0000038381,0.30808280;0.21809725;0.14220599;0.13220555;0.19940840
timbrewm,5,chinese:SSB0009,0,1,2,6,0.0000038378,0.30719956;0.22014351;0.13083271;0.13724604;0.20457819
timbrewm,5,chinese:SSB0009,0,1,3,0,0.0000038375,0.30331890;0.22518208;0.14732850;0.13380207;0.19036844
timbrewm,5,chinese:SSB0009,0,1,3,1,0.0000038380,0.30364615;0.21230250;0.13972108;0.14098888;0.20334139
timbrewm,5,chinese:SSB0009,0,1,3,2,0.0000038382,0.30688054;0.21625120;0.13992909;0.13588094;0.20105823
timbrewm,5,chinese:SSB0009,0,1,3,3,0.0000038382,0.30669172;0.21617742;0.13980862;0.13626631;0.20105594
timbrewm,5,chinese:SSB0009,0,1,3,4,0.0000038382,0.30669172;0.21617742;0.13980862;0.13626631;0.20105594
timbrewm,5,chinese:SSB0009,0,1,3,5,0.0000038382,0.30669172;0.21617742;0.13980862;0.13626631;0.20105594
timbrewm,5,chinese:SSB0009,0,1,3,6,0.0000038380,0.30364615;0.21230250;0.13972108;0.14098888;0.20334139
timbrewm,5,chinese:SSB0011,0,2,0,0,0.0000014718,0.33113596;0.05828730;0.11980230;0.12870505;0.36206938
timbrewm,5,chinese:SSB0011,0,2,0,1,0.0000014711,0.32973302;0.03257812;0.13404587;0.12709598;0.37654701
timbrewm,5,chinese:SSB0011,0,2,0,2,0.0000014722,0.33156820;0.04413625;0.12210173;0.13351780;0.36867602
timbrewm,5,chinese:SSB0011,0,2,0,3,0.0000014722,0.31952110;0.04317769;0.10906998;0.15250317;0.37572806
timbrewm,5,chinese:SSB0011,0,2,0,4,0.0000014723,0.31909795;0.04911361;0.11693927;0.14710812;0.36774104
timbrewm,5,chinese:SSB0011,0,2,0,5,0.0000014722,0.31952110;0.04317769;0.10906998;0.15250317;0.37572806
timbrewm,5,chinese:SSB0011,0,2,0,6,0.0000014722,0.33156820;0.04413625;0.12210173;0.13351780;0.36867602
timbrewm,5,chinese:SSB0011,0,2,1,0,0.0000014718,0.33113596;0.05828730;0.11980230;0.12870505;0.36206938
timbrewm,5,chinese:SSB0011,0,2,1,1,0.0000014711,0.32973302;0.03257812;0.13404587;0.12709598;0.37654701
timbrewm,5,chinese:SSB0011,0,2,1,2,0.0000014716,0.34085147;0.04203077;0.12778199;0.12160888;0.36772688
timbrewm,5,chinese:SSB0011,0,2,1,3,0.0000014723,0.32224626;0.04712177;0.11679811;0.14444546;0.36938839
timbrewm,5,chinese:SSB0011,0,2,1,4,0.0000014722,0.32281406;0.04034679;0.11032707;0.14982837;0.37668371
timbrewm,5,chinese:SSB0011,0,2,1,5,0.0000014723,0.32224626;0.04712177;0.11679811;0.14444546;0.36938839
timbrewm,5,chinese:SSB0011,0,2,1,6,0.0000014708,0.33699277;0.03380054;0.14357065;0.12473752;0.36089851
timbrewm,5,chinese:SSB0011,0,2,2,0,0.0000014718,0.33113596;0.05828730;0.11980230;0.12870505;0.36206938
timbrewm,5,chinese:SSB0011,0,2,2,1,0.0000014711,0.32973302;0.03257812;0.13404587;0.12709598;0.37654701
timbrewm,5,chinese:SSB0011,0,2,2,2,0.0000014722,0.32281406;0.04034679;0.11032707;0.14982837;0.37668371
timbrewm,5,chinese:SSB0011,0,2,2,3,0.0000014722,0.32281406;0.04034679;0.11032707;0.14982837;0.37668371
timbrewm,5,chinese:SSB0011,0,2,2,4,0.0000014711,0.32973302;0.03257812;0.13404587;0.12709598;0.37654701
timbrewm,5,chinese:SSB0011,0,2,2,5,0.0000014723,0.32398864;0.04840114;0.11994729;0.14060545;0.36705749
timbrewm,5,chinese:SSB0011,0,2,2,6,0.0000014722,0.33156820;0.04413625;0.12210173;0.13351780;0.36867602
timbrewm,5,chinese:SSB0011,0,2,3,0,0.0000014718,0.33113596;0.05828730;0.11980230;0.12870505;0.36206938
timbrewm,5,chinese:SSB0011,0,2,3,1,0.0000014711,0.32973302;0.03257812;0.13404587;0.12709598;0.37654701
timbrewm,5,chinese:SSB0011,0,2,3,2,0.0000014723,0.32224626;0.04712177;0.11679811;0.14444546;0.36938839
timbrewm,5,chinese:SSB0011,0,2,3,3,0.0000014722,0.33156820;0.04413625;0.12210173;0.13351780;0.36867602
timbrewm,5,chinese:SSB0011,0,2,3,4,0.0000014711,0.32973302;0.03257812;0.13404587;0.12709598;0.37654701
timbrewm,5,chinese:SSB0011,0,2,3,5,0.0000014708,0.33699277;0.03380054;0.14357065;0.12473752;0.36089851
timbrewm,5,chinese:SSB0011,0,2,3,6,0.0000014708,0.33699277;0.03380054;0.14357065;0.12473752;0.36089851
timbrewm,5,chinese:SSB0012,0,3,0,0,0.0000024064,0.20236214;0.25559112;0.26533967;0.18343522;0.09327184
timbrewm,5,chinese:SSB0012,0,3,0,1,0.0000024067,0.20832617;0.25214083;0.26358607;0.18856686;0.08738008
timbrewm,5,chinese:SSB0012,0,3,0,2,0.0000024066,0.21096469;0.24958244;0.26066239;0.18908380;0.08970668
timbrewm,5,chinese:SSB0012,0,3,0,3,0.0000024064,0.21492262;0.25289757;0.26925406;0.18540442;0.07752134
timbrewm,5,chinese:SSB0012,0,3,0,4,0.0000024065,0.20584132;0.24910954;0.26043017;0.18935999;0.09525899
timbrewm,5,chinese:SSB0012,0,3,0,5,0.0000024056,0.22239563;0.24748911;0.27714965;0.18396691;0.06899870
timbrewm,5,chinese:SSB0012,0,3,0,6,0.0000024067,0.20928278;0.25229935;0.26285968;0.18714876;0.08840944
timbrewm,5,chinese:SSB0012,0,3,1,0,0.0000024064,0.20236214;0.25559112;0.26533967;0.18343522;0.09327184
timbrewm,5,chinese:SSB0012,0,3,1,1,0.0000024067,0.20832617;0.25214083;0.26358607;0.18856686;0.08738008
timbrewm,5,chinese:SSB0012,0,3,1,2,0.0000024064,0.21492262;0.25289757;0.26925406;0.18540442;0.07752134
timbrewm,5,chinese:SSB0012,0,3,1,3,0.0000024067,0.20832617;0.25214083;0.26358607;0.18856686;0.08738008
timbrewm,5,chinese:SSB0012,0,3,1,4,0.0000024067,0.20832617;0.25214083;0.26358607;0.18856686;0.08738008
timbrewm,5,chinese:SSB0012,0,3,1,5,0.0000024067,0.20928278;0.25229935;0.26285968;0.18714876;0.08840944
timbrewm,5,chinese:SSB0012,0,3,1,6,0.0000024067,0.20832617;0.25214083;0.26358607;0.18856686;0.08738008
timbrewm,5,chinese:SSB0012,0,3,2,0,0.0000024064,0.20236214;0.25559112;0.26533967;0.18343522;0.09327184
timbrewm,5,chinese:SSB0012,0,3,2,1,0.0000024067,0.20832617;0.25214083;0.26358607;0.18856686;0.08738008
timbrewm,5,chinese:SSB0012,0,3,2,2,0.0000024066,0.21149693;0.24886425;0.26326588;0.18883097;0.08754196
timbrewm,5,chinese:SSB0012,0,3,2,3,0.0000024067,0.20928278;0.25229935;0.26285968;0.18714876;0.08840944
timbrewm,5,chinese:SSB0012,0,3,2,4,0.0000024067,0.20822200;0.25240091;0.26361830;0.18828498;0.08747382
timbrewm,5,chinese:SSB0012,0,3,2,5,0.0000024067,0.20928278;0.25229935;0.26285968;0.18714876;0.08840944
timbrewm,5,chinese:SSB0012,0,3,2,6,0.0000024066,0.21096469;0.24958244;0.26066239;0.18908380;0.08970668
timbrewm,5,chinese:SSB0012,0,3,3,0,0.0000024064,0.20236214;0.25559112;0.26533967;0.18343522;0.09327184
