model,K,spk,local_t,gi,restart,start_id,objective,weights
voicemark,5,chinese:SSB0005,0,0,0,0,0.0003226682,0.14033921;0.22482606;0.25470220;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,0,1,0.0003226682,0.14033921;0.22482607;0.25470219;0.38013252;0.00000000
voicemark,5,chinese:SSB0005,0,0,0,2,0.0003226682,0.14033920;0.22482606;0.25470220;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,0,3,0.0003226682,0.14033921;0.22482608;0.25470218;0.38013252;0.00000000
voicemark,5,chinese:SSB0005,0,0,0,4,0.0003226682,0.14033945;0.22482743;0.25470168;0.38013144;0.00000000
voicemark,5,chinese:SSB0005,0,0,0,5,0.0003226682,0.14033920;0.22482605;0.25470222;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,0,6,0.0003226682,0.14033920;0.22482605;0.25470222;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,1,0,0.0003226682,0.14033921;0.22482606;0.25470220;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,1,1,0.0003226682,0.14033921;0.22482607;0.25470219;0.38013252;0.00000000
voicemark,5,chinese:SSB0005,0,0,1,2,0.0003226682,0.14033921;0.22482607;0.25470219;0.38013252;0.00000000
voicemark,5,chinese:SSB0005,0,0,1,3,0.0003226682,0.14033921;0.22482608;0.25470218;0.38013252;0.00000000
voicemark,5,chinese:SSB0005,0,0,1,4,0.0003226682,0.14033921;0.22482607;0.25470219;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,1,5,0.0003226682,0.14033921;0.22482608;0.25470218;0.38013252;0.00000000
voicemark,5,chinese:SSB0005,0,0,1,6,0.0003226682,0.14033903;0.22482340;0.25470519;0.38013238;0.00000000
voicemark,5,chinese:SSB0005,0,0,2,0,0.0003226682,0.14033921;0.22482606;0.25470220;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,2,1,0.0003226682,0.14033921;0.22482607;0.25470219;0.38013252;0.00000000
voicemark,5,chinese:SSB0005,0,0,2,2,0.0003226682,0.14034048;0.22482306;0.25470446;0.38013200;0.00000000
voicemark,5,chinese:SSB0005,0,0,2,3,0.0003226682,0.14034048;0.22482306;0.25470446;0.38013200;0.00000000
voicemark,5,chinese:SSB0005,0,0,2,4,0.0003226682,0.14033920;0.22482605;0.25470222;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,2,5,0.0003226682,0.14033903;0.22482340;0.25470519;0.38013238;0.00000000
voicemark,5,chinese:SSB0005,0,0,2,6,0.0003226682,0.14033920;0.22482605;0.25470222;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,3,0,0.0003226682,0.14033921;0.22482606;0.25470220;0.38013253;0.00000000
voicemark,5,chinese:SSB0005,0,0,3,1,0.0003226682,0.14033921;0.22482607;0.25470219;0.38013252;0.00000000
