model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
timbrewm,3,chinese:SSB0005,0,0,dm,1,1,1,8,0.8000,4.5224,0.9965,35.20
timbrewm,3,chinese:SSB0005,1,1,dm,1,1,1,9,0.9000,4.5735,0.9969,35.51
timbrewm,3,chinese:SSB0005,2,2,dm,1,1,1,8,0.8000,4.5899,0.9970,35.46
timbrewm,3,chinese:SSB0009,0,3,dm,1,1,0,9,0.9000,4.5697,0.9987,31.85
timbrewm,3,chinese:SSB0009,1,4,dm,1,1,1,8,0.8000,4.5838,0.9988,32.01
timbrewm,3,chinese:SSB0009,2,5,dm,1,1,1,8,0.8000,4.5833,0.9984,30.53
timbrewm,3,chinese:SSB0011,0,6,dm,1,1,1,8,0.8000,4.5904,0.9968,32.84
timbrewm,3,chinese:SSB0011,1,7,dm,1,1,0,9,0.9000,4.5525,0.9969,32.41
timbrewm,3,chinese:SSB0011,2,8,dm,1,1,1,9,0.9000,4.5170,0.9964,32.04
timbrewm,3,chinese:SSB0012,0,9,dm,1,1,1,8,0.8000,4.5043,0.9964,31.86
timbrewm,3,chinese:SSB0012,1,10,dm,1,0,0,9,0.9000,4.5532,0.9969,32.99
timbrewm,3,chinese:SSB0012,2,11,dm,1,1,1,9,0.9000,4.4884,0.9968,32.16
timbrewm,3,chinese:SSB0016,0,12,dm,1,1,1,8,0.8000,4.3707,0.9942,25.83
timbrewm,3,chinese:SSB0016,1,13,dm,0,0,0,10,1.0000,4.5584,0.9975,29.76
timbrewm,3,chinese:SSB0016,2,14,dm,1,1,1,8,0.8000,4.4815,0.9924,27.14
timbrewm,3,chinese:SSB0018,0,15,dm,1,1,1,9,0.9000,4.5164,0.9977,34.08
timbrewm,3,chinese:SSB0018,1,16,dm,1,1,1,9,0.9000,4.5798,0.9982,36.50
timbrewm,3,chinese:SSB0018,2,17,dm,0,0,0,10,1.0000,4.5237,0.9979,34.06
timbrewm,3,chinese:SSB0033,0,18,dm,1,1,1,9,0.9000,4.5561,0.9980,36.48
timbrewm,3,chinese:SSB0033,1,19,dm,1,1,1,8,0.8000,4.5897,0.9977,37.90
timbrewm,3,chinese:SSB0033,2,20,dm,1,1,1,8,0.8000,4.5852,0.9979,37.43
timbrewm,3,chinese:SSB0038,0,21,dm,1,1,1,8,0.8000,4.5809,0.9978,34.04
timbrewm,3,chinese:SSB0038,1,22,dm,1,1,1,8,0.8000,4.4584,0.9967,32.01
timbrewm,3,chinese:SSB0038,2,23,dm,1,1,1,7,0.7000,4.5793,0.9972,31.92
timbrewm,3,chinese:SSB0043,0,24,dm,1,1,1,8,0.8000,4.5708,0.9955,33.29
timbrewm,3,chinese:SSB0043,1,25,dm,1,1,1,8,0.8000,4.4015,0.9947,30.27
timbrewm,3,chinese:SSB0043,2,26,dm,1,1,1,8,0.8000,4.5539,0.9947,31.64
timbrewm,3,chinese:SSB0057,0,27,dm,1,1,1,9,0.9000,4.5919,0.9974,34.91
timbrewm,3,chinese:SSB0057,1,28,dm,1,1,1,7,0.7000,4.5516,0.9973,34.44
timbrewm,3,chinese:SSB0057,2,29,dm,1,1,1,8,0.8000,4.5753,0.9974,34.37
timbrewm,3,chinese:SSB0073,0,30,dm,1,1,1,8,0.8000,4.6064,0.9987,34.49
timbrewm,3,chinese:SSB0073,1,31,dm,1,1,1,8,0.8000,4.5715,0.9986,32.24
timbrewm,3,chinese:SSB0073,2,32,dm,1,1,0,9,0.9000,4.6010,0.9989,34.88
timbrewm,3,chinese:SSB0080,0,33,dm,1,1,1,8,0.8000,4.4639,0.9949,30.48
timbrewm,3,chinese:SSB0080,1,34,dm,1,1,1,9,0.9000,4.4564,0.9967,31.18
timbrewm,3,chinese:SSB0080,2,35,dm,1,1,1,8,0.8000,4.4356,0.9954,29.70
timbrewm,3,chinese:SSB0112,0,36,dm,1,1,1,7,0.7000,4.5623,0.9957,28.57
timbrewm,3,chinese:SSB0112,1,37,dm,1,1,1,8,0.8000,4.5120,0.9963,28.09
timbrewm,3,chinese:SSB0112,2,38,dm,1,1,1,8,0.8000,4.5414,0.9954,28.50
