model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
voicemark,8,chinese:SSB0005,0,0,dm,1,1,1,14,0.8750,4.1457,0.9551,15.57
voicemark,8,chinese:SSB0005,1,1,dm,1,1,1,11,0.6875,4.1896,0.9570,15.60
voicemark,8,chinese:SSB0005,2,2,dm,1,1,1,11,0.6875,4.2341,0.9653,14.82
voicemark,8,chinese:SSB0009,0,3,dm,1,1,1,12,0.7500,3.9967,0.9610,11.82
voicemark,8,chinese:SSB0009,1,4,dm,1,1,1,11,0.6875,3.7718,0.9556,11.66
voicemark,8,chinese:SSB0009,2,5,dm,1,1,1,10,0.6250,4.2270,0.9731,11.47
voicemark,8,chinese:SSB0011,0,6,dm,1,1,1,11,0.6875,3.7700,0.9580,17.16
voicemark,8,chinese:SSB0011,1,7,dm,1,1,1,12,0.7500,3.6854,0.9553,14.61
voicemark,8,chinese:SSB0011,2,8,dm,1,1,1,13,0.8125,4.0180,0.9563,15.56
voicemark,8,chinese:SSB0012,0,9,dm,1,1,1,12,0.7500,3.4164,0.9410,11.76
voicemark,8,chinese:SSB0012,1,10,dm,1,1,1,11,0.6875,4.0002,0.9502,14.76
voicemark,8,chinese:SSB0012,2,11,dm,1,1,1,12,0.7500,3.5323,0.9531,12.38
voicemark,8,chinese:SSB0016,0,12,dm,1,1,1,13,0.8125,3.7260,0.9369,15.78
voicemark,8,chinese:SSB0016,1,13,dm,1,1,1,11,0.6875,3.7130,0.9446,14.93
voicemark,8,chinese:SSB0016,2,14,dm,1,1,1,13,0.8125,4.1287,0.9600,13.40
voicemark,8,chinese:SSB0018,0,15,dm,1,1,1,13,0.8125,3.9336,0.9635,14.18
voicemark,8,chinese:SSB0018,1,16,dm,1,1,1,11,0.6875,3.5665,0.9631,13.33
voicemark,8,chinese:SSB0018,2,17,dm,1,1,0,13,0.8125,4.0350,0.9643,15.10
voicemark,8,chinese:SSB0033,0,18,dm,1,1,1,11,0.6875,4.1787,0.9675,18.09
voicemark,8,chinese:SSB0033,1,19,dm,1,1,1,13,0.8125,3.7678,0.9756,19.24
voicemark,8,chinese:SSB0033,2,20,dm,1,1,1,9,0.5625,4.1298,0.9600,17.98
voicemark,8,chinese:SSB0038,0,21,dm,1,1,1,12,0.7500,3.8952,0.9589,14.67
voicemark,8,chinese:SSB0038,1,22,dm,1,1,1,9,0.5625,4.2518,0.9729,16.07
voicemark,8,chinese:SSB0038,2,23,dm,1,1,1,11,0.6875,4.0663,0.9625,16.41
voicemark,8,chinese:SSB0043,0,24,dm,1,1,1,12,0.7500,3.6988,0.9532,16.50
voicemark,8,chinese:SSB0043,1,25,dm,1,1,1,14,0.8750,3.9202,0.9601,15.98
voicemark,8,chinese:SSB0043,2,26,dm,1,1,1,9,0.5625,3.5437,0.9539,17.39
voicemark,8,chinese:SSB0057,0,27,dm,1,1,1,11,0.6875,3.9106,0.9648,13.67
voicemark,8,chinese:SSB0057,1,28,dm,1,1,1,15,0.9375,3.9677,0.9667,13.90
voicemark,8,chinese:SSB0057,2,29,dm,1,1,1,9,0.5625,3.9354,0.9617,13.64
voicemark,8,chinese:SSB0073,0,30,dm,1,1,1,10,0.6250,3.9009,0.9597,11.45
voicemark,8,chinese:SSB0073,1,31,dm,1,1,1,13,0.8125,4.0034,0.9643,11.32
voicemark,8,chinese:SSB0073,2,32,dm,1,1,1,12,0.7500,3.5639,0.9494,11.92
voicemark,8,chinese:SSB0080,0,33,dm,1,1,1,13,0.8125,4.2078,0.9711,14.90
voicemark,8,chinese:SSB0080,1,34,dm,1,1,1,14,0.8750,3.4020,0.9557,14.52
voicemark,8,chinese:SSB0080,2,35,dm,1,1,1,11,0.6875,3.9024,0.9485,14.49
voicemark,8,chinese:SSB0112,0,36,dm,1,1,1,13,0.8125,3.9672,0.9633,15.74
voicemark,8,chinese:SSB0112,1,37,dm,1,1,1,11,0.6875,4.2225,0.9721,13.40
voicemark,8,chinese:SSB0112,2,38,dm,1,1,1,10,0.6250,3.7024,0.9647,13.62
voicemark,8,chinese:SSB0122,0,39,dm,1,1,1,10,0.6250,4.1458,0.9636,13.41
voicemark,8,chinese:SSB0122,1,40,dm,1,1,1,11,0.6875,4.2154,0.9753,13.46
voicemark,8,chinese:SSB0122,2,41,dm,1,1,1,11,0.6875,4.2516,0.9779,14.65
voicemark,8,chinese:SSB0133,0,42,dm,1,1,1,12,0.7500,3.9217,0.9632,15.38
voicemark,8,chinese:SSB0133,1,43,dm,1,1,1,12,0.7500,3.3367,0.9607,15.82
voicemark,8,chinese:SSB0133,2,44,dm,1,1,1,13,0.8125,3.0337,0.9594,15.47
voicemark,8,chinese:SSB0139,0,45,dm,1,1,1,13,0.8125,3.8033,0.9718,13.01
voicemark,8,chinese:SSB0139,1,46,dm,1,1,1,13,0.8125,3.9091,0.9771,13.70
voicemark,8,chinese:SSB0139,2,47,dm,1,1,1,10,0.6250,3.5429,0.9652,13.10
voicemark,8,chinese:SSB0145,0,48,dm,1,1,1,11,0.6875,4.3006,0.9782,14.27
voicemark,8,chinese:SSB0145,1,49,dm,1,1,1,10,0.6250,4.0849,0.9624,14.66
voicemark,8,chinese:SSB0145,2,50,dm,1,1,1,12,0.7500,4.1563,0.9758,14.21
voicemark,8,chinese:SSB0149,0,51,dm,1,1,1,12,0.7500,4.0106,0.9717,10.01
voicemark,8,chinese:SSB0149,1,52,dm,1,1,1,13,0.8125,3.6605,0.9674,13.16
voicemark,8,chinese:SSB0149,2,53,dm,1,1,1,12,0.7500,3.6764,0.9635,10.91
voicemark,8,chinese:SSB0193,0,54,dm,1,1,1,12,0.7500,4.2860,0.9786,12.81
voicemark,8,chinese:SSB0193,1,55,dm,1,1,1,12,0.7500,3.8961,0.9636,11.44
voicemark,8,chinese:SSB0193,2,56,dm,1,1,1,11,0.6875,3.8707,0.9690,13.52
voicemark,8,chinese:SSB0197,0,57,dm,1,1,1,11,0.6875,3.7869,0.9606,16.91
voicemark,8,chinese:SSB0197,1,58,dm,1,1,1,13,0.8125,3.2959,0.9459,15.84
voicemark,8,chinese:SSB0197,2,59,dm,1,1,1,14,0.8750,3.5461,0.9616,16.26
voicemark,8,chinese:SSB0200,0,60,dm,1,1,1,14,0.8750,3.8635,0.9658,14.12
voicemark,8,chinese:SSB0200,1,61,dm,1,1,1,13,0.8125,4.0184,0.9599,13.89
voicemark,8,chinese:SSB0200,2,62,dm,1,1,1,11,0.6875,4.1927,0.9650,12.90
voicemark,8,chinese:SSB0241,0,63,dm,1,1,1,10,0.6250,3.5117,0.9528,12.43
voicemark,8,chinese:SSB0241,1,64,dm,1,1,1,11,0.6875,3.9301,0.9574,13.55
voicemark,8,chinese:SSB0241,2,65,dm,1,1,1,12,0.7500,3.5437,0.9635,14.12
voicemark,8,chinese:SSB0246,0,66,dm,1,1,1,10,0.6250,4.1411,0.9679,15.64
voicemark,8,chinese:SSB0246,1,67,dm,1,1,1,12,0.7500,3.7609,0.9705,17.24
voicemark,8,chinese:SSB0246,2,68,dm,1,1,1,9,0.5625,3.8124,0.9702,17.00
voicemark,8,chinese:SSB0261,0,69,dm,1,1,1,12,0.7500,3.6608,0.9599,12.51
voicemark,8,chinese:SSB0261,1,70,dm,1,1,1,14,0.8750,3.2971,0.9466,13.53
voicemark,8,chinese:SSB0261,2,71,dm,1,1,1,10,0.6250,4.1571,0.9594,13.76
voicemark,8,chinese:SSB0267,0,72,dm,1,1,1,12,0.7500,4.0944,0.9593,16.40
voicemark,8,chinese:SSB0267,1,73,dm,1,1,1,12,0.7500,4.2806,0.9641,16.79
voicemark,8,chinese:SSB0267,2,74,dm,1,1,1,13,0.8125,4.3260,0.9739,17.19
voicemark,8,chinese:SSB0273,0,75,dm,1,1,1,11,0.6875,4.2261,0.9635,15.44
voicemark,8,chinese:SSB0273,1,76,dm,1,1,1,10,0.6250,4.2587,0.9715,14.96
voicemark,8,chinese:SSB0273,2,77,dm,1,1,1,11,0.6875,4.1203,0.9687,14.40
voicemark,8,chinese:SSB0287,0,78,dm,1,1,1,11,0.6875,3.8639,0.9510,12.01
voicemark,8,chinese:SSB0287,1,79,dm,1,1,1,11,0.6875,3.4240,0.9511,11.61
voicemark,8,chinese:SSB0287,2,80,dm,1,1,1,10,0.6250,4.0349,0.9665,11.68
voicemark,8,chinese:SSB0288,0,81,dm,1,1,1,11,0.6875,4.0131,0.9655,15.99
voicemark,8,chinese:SSB0288,1,82,dm,1,1,1,11,0.6875,4.0729,0.9641,16.06
voicemark,8,chinese:SSB0288,2,83,dm,1,1,1,12,0.7500,4.0562,0.9631,16.61
voicemark,8,chinese:SSB0299,0,84,dm,1,1,1,13,0.8125,4.1611,0.9757,13.57
voicemark,8,chinese:SSB0299,1,85,dm,1,1,1,13,0.8125,4.0333,0.9741,14.16
voicemark,8,chinese:SSB0299,2,86,dm,1,1,1,12,0.7500,3.8695,0.9794,15.84
voicemark,8,chinese:SSB0307,0,87,dm,1,1,1,14,0.8750,3.7664,0.9428,15.49
voicemark,8,chinese:SSB0307,1,88,dm,1,1,1,14,0.8750,4.0022,0.9567,17.11
voicemark,8,chinese:SSB0307,2,89,dm,1,1,1,11,0.6875,3.6178,0.9334,13.68
voicemark,8,chinese:SSB0309,0,90,dm,1,1,1,11,0.6875,3.8879,0.9697,15.22
voicemark,8,chinese:SSB0309,1,91,dm,1,1,1,12,0.7500,3.7230,0.9691,13.82
voicemark,8,chinese:SSB0309,2,92,dm,1,1,1,10,0.6250,4.1647,0.9764,14.16
voicemark,8,chinese:SSB0315,0,93,dm,1,1,1,11,0.6875,3.7673,0.9647,13.24
voicemark,8,chinese:SSB0315,1,94,dm,1,1,1,12,0.7500,3.9721,0.9645,13.31
voicemark,8,chinese:SSB0315,2,95,dm,1,1,1,14,0.8750,3.6113,0.9640,13.05
voicemark,8,chinese:SSB0316,0,96,dm,1,1,1,11,0.6875,3.9702,0.9690,16.54
voicemark,8,chinese:SSB0316,1,97,dm,1,1,1,11,0.6875,4.0967,0.9601,14.98
voicemark,8,chinese:SSB0316,2,98,dm,1,1,1,11,0.6875,4.3362,0.9737,14.79
voicemark,8,chinese:SSB0323,0,99,dm,1,1,1,13,0.8125,3.8385,0.9552,12.62
voicemark,8,chinese:SSB0323,1,100,dm,1,1,1,12,0.7500,3.5831,0.9639,14.85
voicemark,8,chinese:SSB0323,2,101,dm,1,1,1,12,0.7500,3.9557,0.9684,12.16
voicemark,8,chinese:SSB0338,0,102,dm,1,1,1,14,0.8750,3.4837,0.9544,11.93
voicemark,8,chinese:SSB0338,1,103,dm,1,1,1,11,0.6875,3.9528,0.9619,11.14
voicemark,8,chinese:SSB0338,2,104,dm,1,1,1,12,0.7500,3.6735,0.9695,12.06
voicemark,8,chinese:SSB0339,0,105,dm,1,1,1,11,0.6875,3.8248,0.9736,12.22
voicemark,8,chinese:SSB0339,1,106,dm,1,1,1,9,0.5625,4.0026,0.9604,12.17
voicemark,8,chinese:SSB0339,2,107,dm,1,1,1,12,0.7500,3.5608,0.9585,12.77
voicemark,8,chinese:SSB0341,0,108,dm,1,1,1,11,0.6875,4.0033,0.9688,14.22
voicemark,8,chinese:SSB0341,1,109,dm,1,1,1,13,0.8125,3.8312,0.9656,13.04
voicemark,8,chinese:SSB0341,2,110,dm,1,1,1,10,0.6250,3.5669,0.9606,11.90
voicemark,8,chinese:SSB0342,0,111,dm,1,1,1,11,0.6875,3.7445,0.9617,15.20
voicemark,8,chinese:SSB0342,1,112,dm,1,1,1,11,0.6875,3.7352,0.9603,16.17
