model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,PESQ,STOI,SI_SDR
wavmark,8,chinese:SSB0005,0,0,dm,1,1,1,12,0.7500,4.5661,0.9973,43.48
wavmark,8,chinese:SSB0005,1,1,dm,1,1,1,13,0.8125,4.5451,0.9974,43.68
wavmark,8,chinese:SSB0005,2,2,dm,1,1,1,12,0.7500,4.5227,0.9977,43.70
wavmark,8,chinese:SSB0009,0,3,dm,1,1,1,12,0.7500,4.5904,0.9999,42.32
wavmark,8,chinese:SSB0009,1,4,dm,1,1,1,11,0.6875,4.5522,0.9999,42.60
wavmark,8,chinese:SSB0009,2,5,dm,1,1,1,10,0.6250,4.5372,0.9999,42.22
wavmark,8,chinese:SSB0011,0,6,dm,1,1,1,13,0.8125,4.4927,0.9994,42.47
wavmark,8,chinese:SSB0011,1,7,dm,1,1,1,12,0.7500,4.4836,0.9994,41.67
wavmark,8,chinese:SSB0011,2,8,dm,1,1,1,12,0.7500,4.4047,0.9993,41.57
wavmark,8,chinese:SSB0012,0,9,dm,1,1,1,11,0.6875,4.5228,0.9997,42.38
wavmark,8,chinese:SSB0012,1,10,dm,1,1,1,12,0.7500,4.4994,0.9997,42.04
wavmark,8,chinese:SSB0012,2,11,dm,1,1,1,11,0.6875,4.4925,0.9997,42.44
wavmark,8,chinese:SSB0016,0,12,dm,1,1,1,13,0.8125,4.3176,0.9978,38.33
wavmark,8,chinese:SSB0016,1,13,dm,1,1,1,12,0.7500,4.3027,0.9980,37.78
wavmark,8,chinese:SSB0016,2,14,dm,1,1,1,12,0.7500,4.3338,0.9972,37.42
wavmark,8,chinese:SSB0018,0,15,dm,1,1,1,10,0.6250,4.4973,0.9994,42.83
wavmark,8,chinese:SSB0018,1,16,dm,1,1,1,11,0.6875,4.5029,0.9992,42.71
wavmark,8,chinese:SSB0018,2,17,dm,1,1,1,12,0.7500,4.5058,0.9993,43.47
wavmark,8,chinese:SSB0033,0,18,dm,1,1,1,14,0.8750,4.3838,0.9996,43.17
wavmark,8,chinese:SSB0033,1,19,dm,1,1,1,12,0.7500,4.4637,0.9996,42.96
wavmark,8,chinese:SSB0033,2,20,dm,1,1,1,13,0.8125,4.4715,0.9995,42.95
wavmark,8,chinese:SSB0038,0,21,dm,1,1,1,13,0.8125,4.5124,0.9998,42.70
wavmark,8,chinese:SSB0038,1,22,dm,1,1,1,12,0.7500,4.5560,0.9998,43.01
wavmark,8,chinese:SSB0038,2,23,dm,1,1,1,12,0.7500,4.4661,0.9998,42.16
wavmark,8,chinese:SSB0043,0,24,dm,1,1,1,13,0.8125,4.4818,0.9982,40.53
wavmark,8,chinese:SSB0043,1,25,dm,1,1,1,11,0.6875,4.4980,0.9983,41.35
wavmark,8,chinese:SSB0043,2,26,dm,1,1,1,13,0.8125,4.4669,0.9984,40.83
wavmark,8,chinese:SSB0057,0,27,dm,1,1,1,11,0.6875,4.5021,0.9952,42.95
wavmark,8,chinese:SSB0057,1,28,dm,1,1,1,12,0.7500,4.5134,0.9924,42.80
wavmark,8,chinese:SSB0057,2,29,dm,1,1,1,12,0.7500,4.5265,0.9927,43.28
wavmark,8,chinese:SSB0073,0,30,dm,1,1,1,12,0.7500,4.4538,0.9998,43.92
wavmark,8,chinese:SSB0073,1,31,dm,1,1,1,11,0.6875,4.3798,0.9998,43.69
wavmark,8,chinese:SSB0073,2,32,dm,1,1,1,13,0.8125,4.4458,0.9998,42.86
wavmark,8,chinese:SSB0080,0,33,dm,1,1,1,12,0.7500,4.5751,0.9970,43.46
wavmark,8,chinese:SSB0080,1,34,dm,1,1,1,15,0.9375,4.5508,0.9965,42.85
wavmark,8,chinese:SSB0080,2,35,dm,1,1,1,13,0.8125,4.5554,0.9971,43.03
wavmark,8,chinese:SSB0112,0,36,dm,1,1,1,12,0.7500,4.4618,0.9987,37.91
wavmark,8,chinese:SSB0112,1,37,dm,1,1,1,13,0.8125,4.4784,0.9989,38.50
wavmark,8,chinese:SSB0112,2,38,dm,1,1,1,12,0.7500,4.5074,0.9987,38.56
wavmark,8,chinese:SSB0122,0,39,dm,1,1,1,12,0.7500,4.3276,0.9998,41.61
wavmark,8,chinese:SSB0122,1,40,dm,1,1,1,13,0.8125,4.2891,0.9998,41.94
