model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,8,chinese:SSB0005,0,0,eep,1,1,1,13,0.8125,0.625000,4.5840,0.9990,34.32
audioseal,8,chinese:SSB0005,1,1,eep,1,1,1,14,0.8750,0.500000,4.6204,0.9997,38.74
audioseal,8,chinese:SSB0005,2,2,eep,1,1,1,12,0.7500,0.437500,4.5805,0.9990,34.25
audioseal,8,chinese:SSB0009,0,3,eep,1,1,1,15,0.9375,0.562500,4.5695,0.9994,31.95
audioseal,8,chinese:SSB0009,1,4,eep,1,1,1,14,0.8750,0.562500,4.6091,0.9999,37.10
audioseal,8,chinese:SSB0009,2,5,eep,1,1,1,13,0.8125,0.625000,4.5532,0.9995,31.38
audioseal,8,chinese:SSB0011,0,6,eep,1,1,1,14,0.8750,0.625000,4.5204,0.9981,30.99
audioseal,8,chinese:SSB0011,1,7,eep,1,1,1,15,0.9375,0.500000,4.5077,0.9974,29.01
audioseal,8,chinese:SSB0011,2,8,eep,1,1,1,12,0.7500,0.437500,4.5207,0.9984,32.96
audioseal,8,chinese:SSB0012,0,9,eep,1,1,1,13,0.8125,0.312500,4.5659,0.9990,31.80
audioseal,8,chinese:SSB0012,1,10,eep,1,1,1,13,0.8125,0.500000,4.5454,0.9986,30.99
audioseal,8,chinese:SSB0012,2,11,eep,1,1,1,15,0.9375,0.750000,4.5602,0.9989,29.92
audioseal,8,chinese:SSB0016,0,12,eep,1,1,1,13,0.8125,0.312500,4.3841,0.9975,29.78
audioseal,8,chinese:SSB0016,1,13,eep,1,1,1,14,0.8750,0.375000,4.5172,0.9973,30.61
audioseal,8,chinese:SSB0016,2,14,eep,1,1,1,12,0.7500,0.500000,4.5497,0.9988,34.38
audioseal,8,chinese:SSB0018,0,15,eep,1,1,1,12,0.7500,0.375000,4.5615,0.9994,31.86
audioseal,8,chinese:SSB0018,1,16,eep,1,1,1,12,0.7500,0.500000,4.5504,0.9994,32.44
audioseal,8,chinese:SSB0018,2,17,eep,1,1,1,12,0.7500,0.375000,4.5825,0.9998,35.80
audioseal,8,chinese:SSB0033,0,18,eep,1,1,1,12,0.7500,0.437500,4.6010,0.9996,40.43
audioseal,8,chinese:SSB0033,1,19,eep,1,1,1,13,0.8125,0.562500,4.5673,0.9991,37.30
audioseal,8,chinese:SSB0033,2,20,eep,1,1,1,11,0.6875,0.312500,4.5630,0.9992,36.57
audioseal,8,chinese:SSB0038,0,21,eep,1,1,1,10,0.6250,0.187500,4.5718,0.9984,29.06
audioseal,8,chinese:SSB0038,1,22,eep,1,1,1,13,0.8125,0.562500,4.5475,0.9987,32.82
audioseal,8,chinese:SSB0038,2,23,eep,1,1,1,13,0.8125,0.437500,4.5920,0.9992,35.48
audioseal,8,chinese:SSB0043,0,24,eep,1,1,1,11,0.6875,0.437500,4.5661,0.9993,33.75
audioseal,8,chinese:SSB0043,1,25,eep,1,1,1,13,0.8125,0.312500,4.5062,0.9980,30.60
audioseal,8,chinese:SSB0043,2,26,eep,1,1,1,14,0.8750,0.437500,4.5139,0.9984,30.39
audioseal,8,chinese:SSB0057,0,27,eep,1,1,1,12,0.7500,0.375000,4.6178,0.9993,38.60
audioseal,8,chinese:SSB0057,1,28,eep,1,1,1,11,0.6875,0.375000,4.5626,0.9979,34.71
audioseal,8,chinese:SSB0057,2,29,eep,1,1,1,12,0.7500,0.500000,4.6055,0.9986,38.53
audioseal,8,chinese:SSB0073,0,30,eep,1,1,1,14,0.8750,0.562500,4.5627,0.9996,30.90
audioseal,8,chinese:SSB0073,1,31,eep,1,1,1,14,0.8750,0.500000,4.6171,0.9999,35.21
audioseal,8,chinese:SSB0073,2,32,eep,1,1,1,14,0.8750,0.375000,4.5657,0.9996,28.57
audioseal,8,chinese:SSB0080,0,33,eep,1,1,1,12,0.7500,0.500000,4.5228,0.9974,27.07
audioseal,8,chinese:SSB0080,1,34,eep,1,1,1,15,0.9375,0.500000,4.5397,0.9977,27.24
audioseal,8,chinese:SSB0080,2,35,eep,1,1,1,13,0.8125,0.562500,4.5353,0.9975,27.71
audioseal,8,chinese:SSB0112,0,36,eep,1,1,1,11,0.6875,0.312500,4.5015,0.9986,27.29
audioseal,8,chinese:SSB0112,1,37,eep,1,1,1,14,0.8750,0.625000,4.5023,0.9980,25.75
audioseal,8,chinese:SSB0112,2,38,eep,1,1,1,11,0.6875,0.437500,4.5834,0.9992,29.73
audioseal,8,chinese:SSB0122,0,39,eep,1,1,1,11,0.6875,0.375000,4.5866,0.9995,33.76
audioseal,8,chinese:SSB0122,1,40,eep,1,1,1,13,0.8125,0.437500,4.5775,0.9991,32.98
audioseal,8,chinese:SSB0122,2,41,eep,1,1,1,12,0.7500,0.437500,4.5483,0.9992,30.55
audioseal,8,chinese:SSB0133,0,42,eep,1,1,1,14,0.8750,0.625000,4.5971,0.9994,39.10
audioseal,8,chinese:SSB0133,1,43,eep,1,1,1,11,0.6875,0.312500,4.5762,0.9987,36.92
audioseal,8,chinese:SSB0133,2,44,eep,1,1,1,13,0.8125,0.250000,4.5211,0.9981,35.31
audioseal,8,chinese:SSB0139,0,45,eep,1,1,1,14,0.8750,0.625000,4.6053,0.9999,33.34
audioseal,8,chinese:SSB0139,1,46,eep,1,1,1,12,0.7500,0.375000,4.5770,0.9994,29.19
audioseal,8,chinese:SSB0139,2,47,eep,1,1,1,12,0.7500,0.500000,4.6184,0.9999,37.53
audioseal,8,chinese:SSB0145,0,48,eep,1,1,1,12,0.7500,0.437500,4.5751,0.9990,30.17
