model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0005,0,0,eep,0,0,0,10,1.0000,0.600000,4.4390,0.9924,31.32
timbrewm,5,chinese:SSB0005,1,1,eep,1,0,0,9,0.9000,0.200000,4.4761,0.9950,31.96
timbrewm,5,chinese:SSB0005,2,2,eep,1,1,1,9,0.9000,0.500000,4.3725,0.9935,31.53
timbrewm,5,chinese:SSB0009,0,3,eep,1,1,1,8,0.8000,0.200000,4.6028,0.9985,31.01
timbrewm,5,chinese:SSB0009,1,4,eep,1,0,0,9,0.9000,0.700000,4.4020,0.9955,27.01
timbrewm,5,chinese:SSB0009,2,5,eep,1,1,1,8,0.8000,0.600000,4.3495,0.9954,26.99
timbrewm,5,chinese:SSB0011,0,6,eep,1,0,0,9,0.9000,0.600000,4.5523,0.9969,32.78
timbrewm,5,chinese:SSB0011,1,7,eep,1,0,0,9,0.9000,0.400000,4.2630,0.9877,26.89
timbrewm,5,chinese:SSB0011,2,8,eep,0,0,0,10,1.0000,0.600000,4.1225,0.9899,26.83
timbrewm,5,chinese:SSB0012,0,9,eep,1,0,0,9,0.9000,0.600000,4.4851,0.9979,35.04
timbrewm,5,chinese:SSB0012,1,10,eep,1,1,0,8,0.8000,0.500000,4.2883,0.9943,29.53
timbrewm,5,chinese:SSB0012,2,11,eep,1,1,1,8,0.8000,0.500000,4.5190,0.9978,33.29
timbrewm,5,chinese:SSB0016,0,12,eep,1,1,0,9,0.9000,0.500000,4.1955,0.9844,22.45
timbrewm,5,chinese:SSB0016,1,13,eep,1,1,1,9,0.9000,0.500000,4.5173,0.9959,27.91
timbrewm,5,chinese:SSB0016,2,14,eep,1,1,1,6,0.6000,0.100000,4.5491,0.9950,27.27
timbrewm,5,chinese:SSB0018,0,15,eep,1,1,0,9,0.9000,0.500000,4.3671,0.9934,30.23
timbrewm,5,chinese:SSB0018,1,16,eep,1,1,0,9,0.9000,0.400000,4.4341,0.9953,30.79
timbrewm,5,chinese:SSB0018,2,17,eep,1,1,0,8,0.8000,0.600000,4.3811,0.9925,29.94
timbrewm,5,chinese:SSB0033,0,18,eep,1,0,0,9,0.9000,0.800000,4.3664,0.9957,32.94
timbrewm,5,chinese:SSB0033,1,19,eep,1,1,1,7,0.7000,0.400000,4.4490,0.9953,33.93
timbrewm,5,chinese:SSB0033,2,20,eep,1,1,1,8,0.8000,0.500000,4.5274,0.9981,36.71
timbrewm,5,chinese:SSB0038,0,21,eep,1,1,1,7,0.7000,0.200000,4.5848,0.9961,31.76
timbrewm,5,chinese:SSB0038,1,22,eep,1,1,1,9,0.9000,0.300000,4.4652,0.9931,28.47
timbrewm,5,chinese:SSB0038,2,23,eep,1,0,0,9,0.9000,0.700000,4.4654,0.9936,28.25
timbrewm,5,chinese:SSB0043,0,24,eep,1,1,1,9,0.9000,0.500000,4.0094,0.9893,26.05
timbrewm,5,chinese:SSB0043,1,25,eep,1,1,1,8,0.8000,0.400000,4.2199,0.9917,27.14
timbrewm,5,chinese:SSB0043,2,26,eep,1,1,1,6,0.6000,0.100000,4.3698,0.9926,28.62
timbrewm,5,chinese:SSB0057,0,27,eep,1,0,0,9,0.9000,0.700000,4.5001,0.9948,30.87
timbrewm,5,chinese:SSB0057,1,28,eep,1,1,1,7,0.7000,0.300000,4.4401,0.9943,30.54
timbrewm,5,chinese:SSB0057,2,29,eep,1,1,1,9,0.9000,0.500000,4.5309,0.9960,33.51
timbrewm,5,chinese:SSB0073,0,30,eep,1,1,0,9,0.9000,0.500000,4.5053,0.9965,31.51
timbrewm,5,chinese:SSB0073,1,31,eep,1,1,0,8,0.8000,0.600000,4.3200,0.9962,29.05
timbrewm,5,chinese:SSB0073,2,32,eep,1,1,1,8,0.8000,0.400000,4.5672,0.9962,30.72
timbrewm,5,chinese:SSB0080,0,33,eep,1,1,0,8,0.8000,0.500000,4.1538,0.9920,27.90
timbrewm,5,chinese:SSB0080,1,34,eep,1,1,1,7,0.7000,0.400000,4.2632,0.9882,27.18
timbrewm,5,chinese:SSB0080,2,35,eep,1,1,1,9,0.9000,0.500000,4.2920,0.9886,26.18
timbrewm,5,chinese:SSB0112,0,36,eep,1,1,1,7,0.7000,0.200000,4.5149,0.9942,26.32
timbrewm,5,chinese:SSB0112,1,37,eep,1,0,0,9,0.9000,0.500000,4.5769,0.9967,29.02
timbrewm,5,chinese:SSB0112,2,38,eep,1,1,1,8,0.8000,0.400000,4.5188,0.9965,28.59
timbrewm,5,chinese:SSB0122,0,39,eep,1,1,1,8,0.8000,0.400000,4.4946,0.9982,32.16
timbrewm,5,chinese:SSB0122,1,40,eep,1,1,1,8,0.8000,0.500000,4.6161,0.9989,35.31
timbrewm,5,chinese:SSB0122,2,41,eep,1,1,0,9,0.9000,0.500000,4.4177,0.9954,28.79
timbrewm,5,chinese:SSB0133,0,42,eep,1,1,1,7,0.7000,0.300000,4.3092,0.9892,26.09
timbrewm,5,chinese:SSB0133,1,43,eep,1,0,0,9,0.9000,0.600000,4.5702,0.9977,32.51
timbrewm,5,chinese:SSB0133,2,44,eep,0,0,0,10,1.0000,0.700000,4.4172,0.9913,27.65
timbrewm,5,chinese:SSB0139,0,45,eep,1,0,0,9,0.9000,0.500000,4.5174,0.9982,32.88
timbrewm,5,chinese:SSB0139,1,46,eep,1,0,0,9,0.9000,0.400000,4.4992,0.9989,32.79
timbrewm,5,chinese:SSB0139,2,47,eep,1,1,1,7,0.7000,0.400000,4.6104,0.9993,36.32
timbrewm,5,chinese:SSB0145,0,48,eep,1,1,1,8,0.8000,0.500000,4.4998,0.9985,31.71
timbrewm,5,chinese:SSB0145,1,49,eep,1,1,1,8,0.8000,0.200000,4.4548,0.9975,30.65
timbrewm,5,chinese:SSB0145,2,50,eep,1,1,1,8,0.8000,0.500000,4.6188,0.9989,32.49
timbrewm,5,chinese:SSB0149,0,51,eep,0,0,0,10,1.0000,0.400000,4.3631,0.9946,29.73
timbrewm,5,chinese:SSB0149,1,52,eep,0,0,0,10,1.0000,0.600000,4.5713,0.9987,35.70
timbrewm,5,chinese:SSB0149,2,53,eep,1,1,1,8,0.8000,0.300000,4.5060,0.9976,31.44
timbrewm,5,chinese:SSB0193,0,54,eep,1,1,1,8,0.8000,0.500000,4.5259,0.9965,29.73
timbrewm,5,chinese:SSB0193,1,55,eep,1,0,0,9,0.9000,0.700000,4.2761,0.9915,24.98
timbrewm,5,chinese:SSB0193,2,56,eep,1,1,1,8,0.8000,0.500000,4.5304,0.9977,29.97
timbrewm,5,chinese:SSB0197,0,57,eep,1,0,0,9,0.9000,0.700000,4.1663,0.9824,21.32
timbrewm,5,chinese:SSB0197,1,58,eep,0,0,0,10,1.0000,0.700000,4.3032,0.9842,22.01
timbrewm,5,chinese:SSB0197,2,59,eep,0,0,0,10,1.0000,0.500000,4.3167,0.9895,23.33
timbrewm,5,chinese:SSB0200,0,60,eep,1,1,1,7,0.7000,0.300000,4.3269,0.9945,26.14
timbrewm,5,chinese:SSB0200,1,61,eep,1,1,1,7,0.7000,0.200000,4.3483,0.9929,25.61
timbrewm,5,chinese:SSB0200,2,62,eep,1,1,1,9,0.9000,0.400000,4.4971,0.9978,30.82
timbrewm,5,chinese:SSB0241,0,63,eep,1,1,1,8,0.8000,0.400000,4.5643,0.9987,32.03
timbrewm,5,chinese:SSB0241,1,64,eep,1,1,1,8,0.8000,0.500000,4.5426,0.9973,32.22
timbrewm,5,chinese:SSB0241,2,65,eep,1,1,0,9,0.9000,0.500000,4.3333,0.9931,29.73
timbrewm,5,chinese:SSB0246,0,66,eep,1,1,1,8,0.8000,0.200000,4.4636,0.9949,28.61
timbrewm,5,chinese:SSB0246,1,67,eep,1,0,0,9,0.9000,0.400000,4.3162,0.9960,29.04
timbrewm,5,chinese:SSB0246,2,68,eep,1,1,1,8,0.8000,0.400000,4.5052,0.9973,30.59
timbrewm,5,chinese:SSB0261,0,69,eep,1,1,1,7,0.7000,0.300000,4.4455,0.9963,31.36
timbrewm,5,chinese:SSB0261,1,70,eep,1,1,1,8,0.8000,0.300000,4.4092,0.9912,27.27
timbrewm,5,chinese:SSB0261,2,71,eep,1,0,0,9,0.9000,0.600000,4.6041,0.9986,34.63
timbrewm,5,chinese:SSB0267,0,72,eep,1,0,0,9,0.9000,0.400000,4.1535,0.9850,27.40
timbrewm,5,chinese:SSB0267,1,73,eep,1,1,0,9,0.9000,0.400000,4.5865,0.9967,33.45
timbrewm,5,chinese:SSB0267,2,74,eep,1,1,0,8,0.8000,0.600000,4.2985,0.9902,28.07
timbrewm,5,chinese:SSB0273,0,75,eep,1,1,1,9,0.9000,0.600000,4.6102,0.9993,41.64
timbrewm,5,chinese:SSB0273,1,76,eep,1,1,1,8,0.8000,0.400000,4.5508,0.9981,35.11
timbrewm,5,chinese:SSB0273,2,77,eep,1,1,1,8,0.8000,0.400000,4.5005,0.9983,34.10
timbrewm,5,chinese:SSB0287,0,78,eep,1,0,0,9,0.9000,0.600000,4.3510,0.9958,32.36
timbrewm,5,chinese:SSB0287,1,79,eep,1,1,1,8,0.8000,0.300000,4.5431,0.9984,37.11
timbrewm,5,chinese:SSB0287,2,80,eep,1,0,0,9,0.9000,0.600000,4.3689,0.9945,31.91
timbrewm,5,chinese:SSB0288,0,81,eep,1,1,1,8,0.8000,0.500000,4.3581,0.9933,28.25
timbrewm,5,chinese:SSB0288,1,82,eep,1,1,0,9,0.9000,0.400000,4.5059,0.9973,34.53
timbrewm,5,chinese:SSB0288,2,83,eep,1,1,1,8,0.8000,0.500000,4.6037,0.9981,34.39
timbrewm,5,chinese:SSB0299,0,84,eep,1,1,1,8,0.8000,0.300000,4.4799,0.9983,30.35
timbrewm,5,chinese:SSB0299,1,85,eep,1,0,0,9,0.9000,0.600000,4.5048,0.9980,30.05
timbrewm,5,chinese:SSB0299,2,86,eep,1,1,0,8,0.8000,0.100000,4.4970,0.9977,29.02
timbrewm,5,chinese:SSB0307,0,87,eep,1,1,1,8,0.8000,0.400000,4.3060,0.9928,24.42
timbrewm,5,chinese:SSB0307,1,88,eep,1,1,1,8,0.8000,0.500000,4.5501,0.9954,28.24
timbrewm,5,chinese:SSB0307,2,89,eep,1,1,1,9,0.9000,0.400000,4.5148,0.9945,26.27
timbrewm,5,chinese:SSB0309,0,90,eep,1,0,0,9,0.9000,0.600000,4.3759,0.9947,28.27
timbrewm,5,chinese:SSB0309,1,91,eep,1,1,0,9,0.9000,0.500000,4.3594,0.9942,27.80
timbrewm,5,chinese:SSB0309,2,92,eep,1,1,0,9,0.9000,0.400000,4.3534,0.9955,28.82
timbrewm,5,chinese:SSB0315,0,93,eep,1,1,1,8,0.8000,0.500000,4.5742,0.9981,34.30
timbrewm,5,chinese:SSB0315,1,94,eep,1,1,1,9,0.9000,0.600000,4.6190,0.9988,36.40
timbrewm,5,chinese:SSB0315,2,95,eep,1,1,1,8,0.8000,0.500000,4.4178,0.9958,30.51
timbrewm,5,chinese:SSB0316,0,96,eep,1,0,0,9,0.9000,0.600000,4.6307,0.9983,34.45
timbrewm,5,chinese:SSB0316,1,97,eep,1,1,1,8,0.8000,0.400000,4.5385,0.9974,31.14
timbrewm,5,chinese:SSB0316,2,98,eep,1,0,0,9,0.9000,0.700000,4.6106,0.9993,37.49
timbrewm,5,chinese:SSB0323,0,99,eep,1,1,1,8,0.8000,0.500000,4.5867,0.9983,32.74
timbrewm,5,chinese:SSB0323,1,100,eep,1,0,0,9,0.9000,0.800000,4.3750,0.9962,28.20
timbrewm,5,chinese:SSB0323,2,101,eep,1,1,1,8,0.8000,0.500000,4.3224,0.9974,28.73
timbrewm,5,chinese:SSB0338,0,102,eep,1,0,0,9,0.9000,0.400000,4.4273,0.9971,29.08
timbrewm,5,chinese:SSB0338,1,103,eep,1,1,1,8,0.8000,0.200000,4.5460,0.9977,28.04
timbrewm,5,chinese:SSB0338,2,104,eep,1,1,1,8,0.8000,0.500000,4.4183,0.9962,25.78
timbrewm,5,chinese:SSB0339,0,105,eep,1,1,1,8,0.8000,0.500000,4.3087,0.9923,24.31
timbrewm,5,chinese:SSB0339,1,106,eep,1,0,0,9,0.9000,0.600000,4.4732,0.9937,26.83
timbrewm,5,chinese:SSB0339,2,107,eep,1,0,0,9,0.9000,0.600000,4.5827,0.9977,29.90
timbrewm,5,chinese:SSB0341,0,108,eep,1,1,0,8,0.8000,0.600000,4.6062,0.9988,37.79
timbrewm,5,chinese:SSB0341,1,109,eep,1,1,1,9,0.9000,0.500000,4.5206,0.9987,34.60
timbrewm,5,chinese:SSB0341,2,110,eep,1,0,0,9,0.9000,0.700000,4.5349,0.9962,32.62
timbrewm,5,chinese:SSB0342,0,111,eep,1,1,0,8,0.8000,0.500000,4.5259,0.9959,31.38
timbrewm,5,chinese:SSB0342,1,112,eep,1,1,1,9,0.9000,0.600000,4.3615,0.9919,28.01
timbrewm,5,chinese:SSB0342,2,113,eep,1,1,1,8,0.8000,0.400000,4.1310,0.9909,27.32
timbrewm,5,chinese:SSB0354,0,114,eep,1,1,1,8,0.8000,0.500000,4.6055,0.9970,35.85
timbrewm,5,chinese:SSB0354,1,115,eep,1,0,0,9,0.9000,0.400000,4.4346,0.9913,30.54
timbrewm,5,chinese:SSB0354,2,116,eep,1,1,0,9,0.9000,0.500000,4.5145,0.9919,32.21
