model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,2,chinese:SSB0005,0,0,eep,1,1,1,10,0.6250,0.437500,4.4075,0.9905,19.01
wmcodec,2,chinese:SSB0005,1,1,eep,1,1,1,8,0.5000,0.375000,4.4371,0.9906,19.55
wmcodec,2,chinese:SSB0005,2,2,eep,1,1,1,13,0.8125,0.750000,4.4896,0.9914,19.80
wmcodec,2,chinese:SSB0009,0,3,eep,1,1,1,9,0.5625,0.812500,4.3485,0.9899,16.10
wmcodec,2,chinese:SSB0009,1,4,eep,1,1,1,12,0.7500,0.437500,4.3657,0.9881,15.48
wmcodec,2,chinese:SSB0009,2,5,eep,1,1,1,9,0.5625,0.437500,4.3968,0.9901,15.87
wmcodec,2,chinese:SSB0011,0,6,eep,1,1,1,9,0.5625,0.500000,4.1514,0.9883,18.12
wmcodec,2,chinese:SSB0011,1,7,eep,1,1,1,10,0.6250,0.500000,4.2375,0.9886,18.56
wmcodec,2,chinese:SSB0011,2,8,eep,1,1,1,10,0.6250,0.375000,4.2816,0.9895,19.59
wmcodec,2,chinese:SSB0012,0,9,eep,1,1,1,9,0.5625,0.500000,4.3790,0.9898,14.40
wmcodec,2,chinese:SSB0012,1,10,eep,1,1,1,10,0.6250,0.437500,4.4866,0.9896,16.04
wmcodec,2,chinese:SSB0012,2,11,eep,1,1,1,12,0.7500,0.812500,4.4038,0.9895,15.37
wmcodec,2,chinese:SSB0016,0,12,eep,1,1,1,14,0.8750,0.625000,4.4400,0.9906,18.61
wmcodec,2,chinese:SSB0016,1,13,eep,1,1,1,9,0.5625,0.437500,4.3329,0.9885,17.43
wmcodec,2,chinese:SSB0016,2,14,eep,1,1,1,14,0.8750,0.812500,4.3806,0.9895,18.20
wmcodec,2,chinese:SSB0018,0,15,eep,1,1,1,10,0.6250,0.437500,4.4126,0.9905,17.07
wmcodec,2,chinese:SSB0018,1,16,eep,1,1,1,11,0.6875,0.312500,4.3848,0.9907,16.48
wmcodec,2,chinese:SSB0018,2,17,eep,1,1,0,14,0.8750,0.625000,4.4543,0.9917,18.31
wmcodec,2,chinese:SSB0033,0,18,eep,1,1,1,11,0.6875,0.375000,4.4842,0.9936,22.41
wmcodec,2,chinese:SSB0033,1,19,eep,1,1,1,11,0.6875,0.375000,4.4437,0.9941,22.55
wmcodec,2,chinese:SSB0033,2,20,eep,1,1,1,12,0.7500,0.500000,4.4281,0.9927,22.09
wmcodec,2,chinese:SSB0038,0,21,eep,1,1,1,12,0.7500,0.312500,4.4782,0.9921,18.85
wmcodec,2,chinese:SSB0038,1,22,eep,1,1,1,9,0.5625,0.312500,4.4630,0.9921,19.17
wmcodec,2,chinese:SSB0038,2,23,eep,1,1,1,13,0.8125,0.625000,4.4670,0.9928,19.45
