model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
audioseal,3,chinese:SSB0005,0,0,single_copy,0,1.0000,-3.9538,1.0580,4.6439,1.0000,147.63,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,mean,1,1.0000,-7.3476,-2.1681,4.6051,0.9996,39.54,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,rp,1,0.9999,-7.4451,-2.4074,4.6167,0.9997,42.52,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,random_dirichlet,1,1.0000,-6.2948,-1.3483,4.5867,0.9992,35.42,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,eep,1,1.0000,-9.0254,-3.8231,4.5838,0.9992,36.02,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,fwp,1,1.0000,-9.0254,-3.8231,4.5838,0.9992,36.02,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,dm,1,1.0000,-9.4553,-5.2431,4.5920,0.9994,37.39,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,tct,1,1.0000,-6.9816,-2.0526,4.6098,0.9997,40.77,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,0,0,payload_farthest,1,1.0000,-10.4448,-5.6710,4.6081,0.9996,38.06,0.5000,-0.9276,-2.0526,-2.0526
audioseal,3,chinese:SSB0005,1,1,single_copy,0,0.9998,-4.2302,0.9882,4.6439,1.0000,147.63,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,mean,1,1.0000,-8.4867,-3.2092,4.5968,0.9992,35.65,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,rp,1,0.9999,-8.4021,-2.8226,4.6101,0.9995,37.54,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,random_dirichlet,1,1.0000,-8.4706,-3.6055,4.6041,0.9993,36.23,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,eep,1,1.0000,-4.9097,-0.1214,4.5642,0.9984,32.13,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,fwp,1,0.9999,-8.4021,-2.8226,4.6101,0.9995,37.54,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,dm,1,1.0000,-9.1382,-3.7026,4.6064,0.9994,37.01,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,tct,1,0.9999,-7.6590,-2.7223,4.6003,0.9993,36.14,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,1,1,payload_farthest,1,0.9999,-8.4021,-2.8226,4.6101,0.9995,37.54,1.0000,-0.8760,-2.7223,-2.7223
audioseal,3,chinese:SSB0005,2,2,single_copy,0,1.0000,-4.1959,0.9682,4.6439,1.0000,147.63,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,mean,1,1.0000,-7.1859,-1.6505,4.6055,0.9995,39.04,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,rp,1,1.0000,-7.8268,-1.9303,4.6059,0.9995,38.15,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,random_dirichlet,1,0.9999,-5.3307,-0.0087,4.6012,0.9996,38.27,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,eep,1,1.0000,-5.6760,-0.1305,4.6146,0.9998,41.26,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,fwp,1,1.0000,-6.2294,-0.6626,4.5768,0.9990,35.52,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,dm,1,1.0000,-7.0382,-1.2370,4.5955,0.9993,37.29,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,tct,0,1.0000,-5.3530,0.0595,4.6173,0.9997,40.83,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0005,2,2,payload_farthest,1,1.0000,-7.8268,-1.9303,4.6059,0.9995,38.15,0.8660,-0.6892,0.0595,0.0595
audioseal,3,chinese:SSB0009,0,3,single_copy,0,1.0000,-4.2238,0.8168,4.6439,1.0000,145.15,0.5000,-0.8786,-0.0252,-0.0251
audioseal,3,chinese:SSB0009,0,3,mean,1,1.0000,-5.7431,-0.8911,4.6277,0.9999,39.71,0.5000,-0.8786,-0.0252,-0.0251
audioseal,3,chinese:SSB0009,0,3,rp,1,1.0000,-6.0065,-0.6277,4.6291,0.9999,40.49,0.5000,-0.8786,-0.0252,-0.0251
audioseal,3,chinese:SSB0009,0,3,random_dirichlet,1,1.0000,-5.8565,-0.7891,4.6242,0.9998,38.54,0.5000,-0.8786,-0.0252,-0.0251
audioseal,3,chinese:SSB0009,0,3,eep,1,1.0000,-5.7080,-1.1369,4.6304,0.9999,42.58,0.5000,-0.8786,-0.0252,-0.0251
audioseal,3,chinese:SSB0009,0,3,fwp,1,1.0000,-6.0065,-0.6277,4.6291,0.9999,40.49,0.5000,-0.8786,-0.0252,-0.0251
audioseal,3,chinese:SSB0009,0,3,dm,1,1.0000,-5.6329,-0.4240,4.6300,0.9999,40.40,0.5000,-0.8786,-0.0252,-0.0251
audioseal,3,chinese:SSB0009,0,3,tct,1,1.0000,-4.6435,-0.0252,4.6261,0.9999,39.67,0.5000,-0.8786,-0.0252,-0.0251
