model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
timbrewm,2,chinese:SSB0005,0,0,single_copy,0,,-3.2846,0.7461,4.6439,1.0000,147.69,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,mean,1,,-5.3600,-0.3076,4.5630,0.9969,34.63,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,rp,1,,-5.3600,-0.3076,4.5630,0.9969,34.63,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,random_dirichlet,0,,-4.4423,0.2262,4.5030,0.9941,31.91,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,eep,1,,-5.3600,-0.3076,4.5630,0.9969,34.63,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,fwp,1,,-5.3600,-0.3076,4.5630,0.9969,34.63,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,dm,1,,-5.3600,-0.3076,4.5630,0.9969,34.63,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,tct,1,,-5.3600,-0.3076,4.5630,0.9969,34.63,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,0,0,payload_farthest,1,,-5.3600,-0.3076,4.5630,0.9969,34.63,nan,nan,-0.3076,-0.3076
timbrewm,2,chinese:SSB0005,1,1,single_copy,0,,-3.2323,0.7097,4.6439,1.0000,147.69,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,mean,1,,-5.3519,-0.0876,4.5914,0.9976,35.55,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,rp,1,,-5.3519,-0.0876,4.5914,0.9976,35.55,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,random_dirichlet,0,,-4.2919,0.2804,4.5292,0.9947,32.10,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,eep,1,,-5.3519,-0.0876,4.5914,0.9976,35.55,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,fwp,1,,-5.3519,-0.0876,4.5914,0.9976,35.55,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,dm,1,,-5.3519,-0.0876,4.5914,0.9976,35.55,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,tct,1,,-5.3519,-0.0876,4.5914,0.9976,35.55,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,1,1,payload_farthest,1,,-5.3519,-0.0876,4.5914,0.9976,35.55,nan,nan,-0.0876,-0.0876
timbrewm,2,chinese:SSB0005,2,2,single_copy,0,,-3.3696,0.7921,4.6439,1.0000,147.69,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,mean,1,,-4.2308,-0.0034,4.6009,0.9979,37.51,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,rp,1,,-4.2308,-0.0034,4.6009,0.9979,37.51,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,random_dirichlet,0,,-4.1824,0.0281,4.6064,0.9982,38.23,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,eep,1,,-4.2308,-0.0034,4.6009,0.9979,37.51,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,fwp,1,,-4.2308,-0.0034,4.6009,0.9979,37.51,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,dm,1,,-4.2308,-0.0034,4.6009,0.9979,37.51,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,tct,1,,-4.2308,-0.0034,4.6009,0.9979,37.51,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0005,2,2,payload_farthest,1,,-4.2308,-0.0034,4.6009,0.9979,37.51,nan,nan,-0.0034,-0.0034
timbrewm,2,chinese:SSB0009,0,3,single_copy,0,,-3.3577,0.7217,4.6439,1.0000,145.16,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,mean,1,,-4.5269,-0.1004,4.4706,0.9986,32.39,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,rp,1,,-4.5269,-0.1004,4.4706,0.9986,32.39,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,random_dirichlet,0,,-3.8647,0.3174,4.5998,0.9997,38.93,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,eep,1,,-4.5269,-0.1004,4.4706,0.9986,32.39,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,fwp,1,,-4.5269,-0.1004,4.4706,0.9986,32.39,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,dm,1,,-4.5269,-0.1004,4.4706,0.9986,32.39,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,tct,1,,-4.5269,-0.1004,4.4706,0.9986,32.39,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,0,3,payload_farthest,1,,-4.5269,-0.1004,4.4706,0.9986,32.39,nan,nan,-0.1004,-0.1004
timbrewm,2,chinese:SSB0009,1,4,single_copy,0,,-3.1853,0.7923,4.6439,1.0000,145.15,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,mean,1,,-4.4725,-0.1913,4.4825,0.9985,32.45,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,rp,1,,-4.4725,-0.1913,4.4825,0.9985,32.45,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,random_dirichlet,0,,-3.4906,0.4811,4.2146,0.9955,27.56,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,eep,1,,-4.4725,-0.1913,4.4825,0.9985,32.45,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,fwp,1,,-4.4725,-0.1913,4.4825,0.9985,32.45,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,dm,1,,-4.4725,-0.1913,4.4825,0.9985,32.45,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,tct,1,,-4.4725,-0.1913,4.4825,0.9985,32.45,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,1,4,payload_farthest,1,,-4.4725,-0.1913,4.4825,0.9985,32.45,nan,nan,-0.1913,-0.1913
timbrewm,2,chinese:SSB0009,2,5,single_copy,0,,-3.3841,0.7447,4.6439,1.0000,145.16,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,mean,1,,-4.3141,-0.0162,4.5752,0.9993,34.54,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,rp,1,,-4.3141,-0.0162,4.5752,0.9993,34.54,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,random_dirichlet,0,,-3.8708,0.3129,4.6269,0.9998,40.26,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,eep,1,,-4.3141,-0.0162,4.5752,0.9993,34.54,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,fwp,1,,-4.3141,-0.0162,4.5752,0.9993,34.54,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,dm,1,,-4.3141,-0.0162,4.5752,0.9993,34.54,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,tct,1,,-4.3141,-0.0162,4.5752,0.9993,34.54,nan,nan,-0.0162,-0.0162
timbrewm,2,chinese:SSB0009,2,5,payload_farthest,1,,-4.3141,-0.0162,4.5752,0.9993,34.54,nan,nan,-0.0162,-0.0162
