model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
voicemark,3,chinese:SSB0005,0,0,single_copy,0,0.6590,-0.0005,8.3035,4.6439,1.0000,149.44,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,mean,1,0.6812,-7.4443,-5.8191,4.3595,0.9730,17.46,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,rp,1,0.6845,-17.6069,-17.4790,4.4142,0.9770,16.98,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,random_dirichlet,0,0.6944,-0.6277,1.0428,4.2123,0.9656,16.29,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,eep,1,0.6845,-17.6069,-17.4790,4.4142,0.9770,16.98,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,fwp,1,0.6845,-17.6069,-17.4790,4.4142,0.9770,16.98,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,dm,1,0.6833,-12.6906,-11.8868,4.3233,0.9707,16.45,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,tct,1,0.6813,-11.0918,-10.0717,4.3737,0.9741,17.13,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,0,0,payload_farthest,1,0.6763,-9.8904,-9.6528,4.4167,0.9768,20.07,-1.0000,0.8226,-10.0717,-10.0717
voicemark,3,chinese:SSB0005,1,1,single_copy,0,0.7373,-0.0002,9.7904,4.6439,1.0000,149.80,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,mean,1,0.7345,-14.7280,-14.4938,4.3732,0.9765,16.19,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,rp,1,0.7394,-12.1905,-12.0971,4.3811,0.9805,18.14,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,random_dirichlet,1,0.7282,-17.6591,-17.3491,4.4301,0.9848,16.82,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,eep,1,0.7297,-10.3595,-10.1437,3.9481,0.9471,12.61,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,fwp,1,0.7394,-12.1905,-12.0971,4.3811,0.9805,18.14,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,dm,1,0.7315,-15.6353,-14.5455,4.4365,0.9834,17.64,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,tct,1,0.7391,-9.0174,-8.9915,4.3504,0.9755,16.69,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,1,1,payload_farthest,1,0.7394,-12.1905,-12.0971,4.3811,0.9805,18.14,1.0000,-0.6283,-8.9915,-8.9915
voicemark,3,chinese:SSB0005,2,2,single_copy,0,0.7312,-0.0000,11.7379,4.6439,1.0000,149.55,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,mean,1,0.7215,-26.7943,-26.7764,4.3604,0.9685,19.20,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,rp,1,0.7213,-4.1019,-3.1308,4.3781,0.9731,20.20,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,random_dirichlet,1,0.7487,-1.0399,-0.3629,4.2681,0.9569,16.24,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,eep,1,0.7295,-11.6961,-11.1549,4.1060,0.9541,15.73,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,fwp,1,0.7295,-11.6961,-11.1549,4.1060,0.9541,15.73,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,dm,1,0.7262,-16.7441,-16.0843,4.2226,0.9597,16.95,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,tct,1,0.7231,-23.3670,-23.3660,4.4418,0.9769,21.78,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0005,2,2,payload_farthest,1,0.7213,-4.1019,-3.1308,4.3781,0.9731,20.20,0.0000,0.2017,-23.3660,-23.3660
voicemark,3,chinese:SSB0009,0,3,single_copy,1,0.7821,-3.3652,-3.2177,4.6439,1.0000,146.93,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,mean,1,0.7750,-15.0461,-14.2738,4.4695,0.9905,16.77,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,rp,1,0.7843,-6.9931,-6.4231,4.4393,0.9902,17.14,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,random_dirichlet,1,0.7729,-11.1916,-10.4107,4.4194,0.9875,15.62,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,eep,1,0.7843,-6.9931,-6.4231,4.4393,0.9902,17.14,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,fwp,1,0.7843,-6.9931,-6.4231,4.4393,0.9902,17.14,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,dm,1,0.7706,-11.4327,-11.1119,4.4642,0.9905,16.89,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,tct,1,0.7799,-5.6288,-5.4825,4.4676,0.9905,16.69,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,0,3,payload_farthest,1,0.7843,-6.9931,-6.4231,4.4393,0.9902,17.14,1.0000,-0.8650,-5.4825,-5.4873
voicemark,3,chinese:SSB0009,1,4,single_copy,0,0.7117,-0.0639,2.8194,4.6439,1.0000,147.13,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,mean,1,0.6963,-11.7566,-10.6396,4.0315,0.9704,13.63,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,rp,1,0.6706,-20.6759,-19.3685,3.9465,0.9744,14.23,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,random_dirichlet,1,0.6766,-6.5915,-6.3252,3.5241,0.9595,10.47,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,eep,1,0.7384,-16.6391,-16.6230,4.3240,0.9801,15.68,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,fwp,1,0.6706,-20.6759,-19.3685,3.9465,0.9744,14.23,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,dm,1,0.6923,-16.8983,-16.7576,3.9916,0.9704,13.52,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,tct,1,0.7039,-11.4221,-11.1864,4.0875,0.9711,13.85,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,1,4,payload_farthest,1,0.6706,-20.6759,-19.3685,3.9465,0.9744,14.23,0.5000,-0.7274,-11.1864,-11.1864
voicemark,3,chinese:SSB0009,2,5,single_copy,0,0.8319,-0.0198,4.6043,4.6439,1.0000,147.02,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,mean,1,0.7624,-14.6459,-14.0178,4.3120,0.9806,12.53,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,rp,1,0.7994,-12.7590,-12.7196,4.2445,0.9777,12.84,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,random_dirichlet,1,0.7234,-33.7095,-33.2342,4.0305,0.9603,9.59,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,eep,1,0.7512,-19.6350,-19.6160,3.9023,0.9517,8.83,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,fwp,1,0.7994,-12.7590,-12.7196,4.2445,0.9777,12.84,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,dm,1,0.7711,-14.1634,-14.0874,4.2725,0.9784,12.43,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,tct,1,0.7682,-29.7398,-29.7233,4.1156,0.9671,10.61,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0009,2,5,payload_farthest,1,0.7994,-12.7590,-12.7196,4.2445,0.9777,12.84,0.8660,0.5891,-29.7233,-29.7233
voicemark,3,chinese:SSB0011,0,6,single_copy,0,0.6484,-0.0002,8.8053,4.6439,1.0000,142.60,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,mean,1,0.6700,-20.4442,-19.5417,4.2842,0.9701,18.42,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,rp,1,0.6509,-8.1871,-6.8017,4.3304,0.9731,20.12,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,random_dirichlet,1,0.6742,-13.7762,-13.6501,4.2846,0.9704,17.88,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,eep,1,0.6729,-15.4246,-14.7700,4.3882,0.9789,19.07,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,fwp,1,0.6729,-15.4246,-14.7700,4.3882,0.9789,19.07,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,dm,1,0.6697,-17.2795,-17.1568,4.2756,0.9695,18.07,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,tct,1,0.6763,-13.3191,-13.3098,4.2594,0.9689,17.46,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,0,6,payload_farthest,1,0.6698,-17.5446,-17.0975,3.9863,0.9532,14.96,0.5000,0.9837,-13.3098,-13.3098
voicemark,3,chinese:SSB0011,1,7,single_copy,0,0.6329,-0.0001,10.1505,4.6439,1.0000,142.71,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,mean,1,0.6475,-13.6779,-12.2494,4.0577,0.9703,17.70,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,rp,1,0.6186,-11.0704,-9.5831,4.0326,0.9712,17.93,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,random_dirichlet,0,0.6516,-0.0007,7.6622,3.7516,0.9508,14.11,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,eep,1,0.6551,-11.8409,-11.5381,3.7802,0.9531,14.14,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,fwp,1,0.6551,-11.8409,-11.5381,3.7802,0.9531,14.14,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,dm,1,0.6465,-17.9833,-17.6277,4.0147,0.9667,16.89,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,tct,1,0.6234,-12.2649,-11.0634,4.0922,0.9743,18.76,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,1,7,payload_farthest,1,0.6186,-11.0704,-9.5831,4.0326,0.9712,17.93,0.5000,-0.8590,-11.0634,-11.0637
voicemark,3,chinese:SSB0011,2,8,single_copy,0,0.6664,-0.1578,1.7907,4.6439,1.0000,143.44,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,mean,1,0.6616,-32.4450,-32.0876,4.1856,0.9677,17.18,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,rp,1,0.6822,-28.2700,-27.9671,3.7471,0.9451,13.42,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,random_dirichlet,0,0.6450,-0.0070,6.4395,3.9955,0.9605,15.89,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,eep,1,0.6389,-16.0736,-16.0135,4.3317,0.9770,19.67,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,fwp,1,0.6801,-11.5318,-10.8364,4.1333,0.9676,17.64,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,dm,1,0.6649,-28.6238,-28.5821,4.1726,0.9676,17.15,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,tct,1,0.6454,-13.2589,-12.5532,4.3264,0.9746,18.90,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0011,2,8,payload_farthest,1,0.6389,-16.0736,-16.0135,4.3317,0.9770,19.67,-1.0000,0.7885,-12.5532,-12.5532
voicemark,3,chinese:SSB0012,0,9,single_copy,1,0.7799,-1.2219,-0.7326,4.6439,1.0000,147.21,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,mean,1,0.7189,-34.2448,-33.0112,4.3128,0.9783,15.65,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,rp,1,0.7638,-17.7924,-17.2774,4.4097,0.9810,14.83,0.8660,-0.9577,-25.9770,-25.9770
voicemark,3,chinese:SSB0012,0,9,random_dirichlet,0,0.6909,-0.0027,6.4466,3.8243,0.9573,13.10,0.8660,-0.9577,-25.9770,-25.9770
