model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wavmark,5,chinese:SSB0005,0,0,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,mean,1,1.0000,-3.0000,-3.0000,4.5766,0.9982,44.25,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,rp,1,1.0000,-3.0000,-3.0000,4.5229,0.9966,40.86,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,random_dirichlet,0,1.0000,-0.0000,1.0000,4.5624,0.9977,42.68,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,eep,1,1.0000,-4.0000,-4.0000,4.5253,0.9968,42.20,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,fwp,1,1.0000,-4.0000,-4.0000,4.5433,0.9973,42.74,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,dm,1,1.0000,-3.0000,-3.0000,4.5766,0.9982,44.25,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,tct,1,1.0000,-2.0000,-2.0000,4.5458,0.9973,42.41,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,0,0,payload_farthest,1,1.0000,-4.0000,-4.0000,4.5433,0.9973,42.74,0.8842,-0.2182,-2.0000,-2.0000
wavmark,5,chinese:SSB0005,1,1,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,mean,1,1.0000,-2.0000,-2.0000,4.5207,0.9967,43.11,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,rp,1,1.0000,-3.0000,-3.0000,4.4523,0.9949,41.21,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,random_dirichlet,1,1.0000,-3.0000,-3.0000,4.4990,0.9962,42.69,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,eep,1,1.0000,-2.0000,-2.0000,4.5954,0.9987,46.97,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,fwp,1,1.0000,-7.0000,-7.0000,4.5610,0.9982,44.24,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,dm,1,1.0000,-3.0000,-3.0000,4.5446,0.9975,43.69,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,tct,1,1.0000,-3.0000,-3.0000,4.4579,0.9953,41.40,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,1,1,payload_farthest,1,1.0000,-7.0000,-7.0000,4.5610,0.9982,44.24,0.9203,-0.9744,-3.0000,-3.0000
wavmark,5,chinese:SSB0005,2,2,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,147.65,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,mean,1,1.0000,-4.0000,-4.0000,4.5612,0.9979,43.55,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,rp,1,1.0000,-3.0000,-3.0000,4.5634,0.9984,45.58,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,random_dirichlet,0,1.0000,-0.0000,1.0000,4.4834,0.9950,40.90,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,eep,1,1.0000,-3.0000,-3.0000,4.5753,0.9988,46.08,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,fwp,1,1.0000,-4.0000,-4.0000,4.5816,0.9985,45.05,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,dm,1,1.0000,-5.0000,-5.0000,4.5657,0.9979,43.81,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,tct,1,1.0000,-4.0000,-4.0000,4.5760,0.9986,45.32,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0005,2,2,payload_farthest,1,1.0000,-4.0000,-4.0000,4.5816,0.9985,45.05,0.9723,-0.7924,-4.0000,-4.0000
wavmark,5,chinese:SSB0009,0,3,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,145.16,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,mean,1,1.0000,-1.0000,-1.0000,4.5937,0.9999,42.35,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,rp,1,1.0000,-4.0000,-4.0000,4.5581,0.9998,39.57,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,random_dirichlet,0,1.0000,-0.0000,1.0000,4.5554,0.9999,39.46,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,eep,1,1.0000,-2.0000,-2.0000,4.5556,0.9999,39.69,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,fwp,1,1.0000,-5.0000,-5.0000,4.6022,0.9999,43.53,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,dm,1,1.0000,-5.0000,-5.0000,4.5979,0.9999,42.81,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,tct,1,1.0000,-5.0000,-5.0000,4.5555,0.9999,40.11,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,0,3,payload_farthest,1,1.0000,-5.0000,-5.0000,4.6022,0.9999,43.53,0.9416,-0.9600,-5.0000,-5.0000
wavmark,5,chinese:SSB0009,1,4,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,145.16,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,mean,1,1.0000,-2.0000,-2.0000,4.5779,0.9999,42.21,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,rp,1,1.0000,-3.0000,-3.0000,4.5566,0.9999,40.60,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,random_dirichlet,1,1.0000,-4.0000,-4.0000,4.5843,0.9999,43.04,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,eep,1,1.0000,-3.0000,-3.0000,4.5920,1.0000,44.75,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,fwp,1,1.0000,-4.0000,-4.0000,4.5914,1.0000,44.48,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,dm,1,1.0000,-3.0000,-3.0000,4.5941,0.9999,43.45,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,tct,1,1.0000,-3.0000,-3.0000,4.5938,0.9999,43.71,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,1,4,payload_farthest,1,1.0000,-4.0000,-4.0000,4.5914,1.0000,44.48,0.9847,-0.8446,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,145.16,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,mean,1,1.0000,-3.0000,-3.0000,4.5922,0.9999,42.95,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,rp,1,1.0000,-2.0000,-2.0000,4.5538,0.9998,40.43,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,random_dirichlet,1,1.0000,-2.0000,-2.0000,4.5754,0.9999,41.32,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,eep,1,1.0000,-2.0000,-2.0000,4.5704,0.9999,41.25,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,fwp,1,1.0000,-5.0000,-5.0000,4.6024,0.9999,44.64,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,dm,1,1.0000,-3.0000,-3.0000,4.5985,0.9999,43.31,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,tct,1,1.0000,-3.0000,-3.0000,4.6004,0.9999,43.67,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0009,2,5,payload_farthest,1,1.0000,-5.0000,-5.0000,4.6024,0.9999,44.64,0.9661,-0.5835,-3.0000,-3.0000
wavmark,5,chinese:SSB0011,0,6,single_copy,0,1.0000,-0.0000,1.0000,4.6439,1.0000,140.67,0.7916,-0.9771,-2.0000,-2.0000
wavmark,5,chinese:SSB0011,0,6,mean,1,1.0000,-3.0000,-3.0000,4.3243,0.9993,41.26,0.7916,-0.9771,-2.0000,-2.0000
wavmark,5,chinese:SSB0011,0,6,rp,1,1.0000,-2.0000,-2.0000,4.1534,0.9986,38.48,0.7916,-0.9771,-2.0000,-2.0000
