model,K,spk,local_t,gi,method,ASR,presence,S_C,margin,PESQ,STOI,SI_SDR,rho_wave,rho_det,cb_margin,cb_shuf_margin
wmcodec,5,chinese:SSB0005,0,0,single_copy,0,,-0.0009,7.2902,4.6439,1.0000,147.75,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,mean,1,,-27.6849,-27.2398,4.3676,0.9856,17.41,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,rp,1,,-12.5904,-11.4475,4.0836,0.9783,14.42,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,random_dirichlet,1,,-6.7976,-6.7612,4.2728,0.9847,16.31,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,eep,1,,-31.4090,-30.8849,4.1864,0.9787,14.80,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,fwp,1,,-31.4090,-30.8849,4.1864,0.9787,14.80,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,dm,1,,-28.6563,-28.1946,4.3602,0.9852,17.21,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,tct,1,,-17.6670,-17.2618,4.2169,0.9802,15.21,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,0,0,payload_farthest,1,,-20.6142,-19.9418,4.1840,0.9789,14.89,0.3016,0.6398,-17.2618,-17.2618
wmcodec,5,chinese:SSB0005,1,1,single_copy,1,,-8.6567,-8.5555,4.6439,1.0000,147.76,0.7363,-0.3554,-17.3629,-17.3624
wmcodec,5,chinese:SSB0005,1,1,mean,1,,-15.2668,-14.5482,4.3786,0.9847,17.30,0.7363,-0.3554,-17.3629,-17.3624
wmcodec,5,chinese:SSB0005,1,1,rp,1,,-7.9604,-7.9102,4.1430,0.9792,14.61,0.7363,-0.3554,-17.3629,-17.3624
wmcodec,5,chinese:SSB0005,1,1,random_dirichlet,1,,-11.9039,-11.6259,4.3253,0.9835,16.62,0.7363,-0.3554,-17.3629,-17.3624
wmcodec,5,chinese:SSB0005,1,1,eep,1,,-7.4264,-6.9450,4.2124,0.9792,14.52,0.7363,-0.3554,-17.3629,-17.3624
wmcodec,5,chinese:SSB0005,1,1,fwp,1,,-17.5183,-16.4588,4.1877,0.9777,14.80,0.7363,-0.3554,-17.3629,-17.3624
wmcodec,5,chinese:SSB0005,1,1,dm,1,,-17.7047,-16.3798,4.3733,0.9845,17.23,0.7363,-0.3554,-17.3629,-17.3624
wmcodec,5,chinese:SSB0005,1,1,tct,1,,-18.6278,-17.3629,4.2242,0.9806,15.63,0.7363,-0.3554,-17.3629,-17.3624
