model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
audioseal,2,chinese:SSB0005,0,0,48190,mean,0.942809,0,-2.546292
audioseal,2,chinese:SSB0005,0,0,48190,tct,0.942809,0,-2.546292
audioseal,2,chinese:SSB0005,0,0,22712,mean,0.942809,0,-3.190210
audioseal,2,chinese:SSB0005,0,0,22712,tct,0.942809,0,-3.190210
audioseal,2,chinese:SSB0005,0,0,35898,mean,1.247219,0,-4.913061
audioseal,2,chinese:SSB0005,0,0,35898,tct,1.247219,0,-4.913061
audioseal,2,chinese:SSB0005,0,0,63640,mean,1.247219,0,-1.410504
audioseal,2,chinese:SSB0005,0,0,63640,tct,1.247219,0,-1.410504
audioseal,2,chinese:SSB0005,0,0,48174,mean,1.374369,0,-3.880190
audioseal,2,chinese:SSB0005,0,0,48174,tct,1.374369,0,-3.880190
audioseal,2,chinese:SSB0005,0,0,20634,mean,1.374369,0,-2.915830
audioseal,2,chinese:SSB0005,0,0,20634,tct,1.374369,0,-2.915830
audioseal,2,chinese:SSB0005,0,0,36414,mean,1.374369,0,-5.643980
audioseal,2,chinese:SSB0005,0,0,36414,tct,1.374369,0,-5.643980
audioseal,2,chinese:SSB0005,0,0,19096,mean,1.374369,0,-4.428841
audioseal,2,chinese:SSB0005,0,0,19096,tct,1.374369,0,-4.428841
audioseal,2,chinese:SSB0005,0,0,18488,mean,1.414214,0,-3.900857
audioseal,2,chinese:SSB0005,0,0,18488,tct,1.414214,0,-3.900857
audioseal,2,chinese:SSB0005,0,0,47134,mean,1.414214,0,-0.296533
audioseal,2,chinese:SSB0005,0,0,47134,tct,1.414214,0,-0.296533
audioseal,2,chinese:SSB0009,0,1,8368,mean,1.000000,0,-2.765913
audioseal,2,chinese:SSB0009,0,1,8368,tct,1.000000,0,-2.765913
audioseal,2,chinese:SSB0009,0,1,62512,mean,1.000000,0,-1.799033
audioseal,2,chinese:SSB0009,0,1,62512,tct,1.000000,0,-1.799033
audioseal,2,chinese:SSB0009,0,1,40976,mean,1.290994,0,-1.838422
audioseal,2,chinese:SSB0009,0,1,40976,tct,1.290994,0,-1.838422
audioseal,2,chinese:SSB0009,0,1,43168,mean,1.414214,0,-3.688443
audioseal,2,chinese:SSB0009,0,1,43168,tct,1.414214,0,-3.688443
audioseal,2,chinese:SSB0009,0,1,60528,mean,1.414214,0,-3.172070
audioseal,2,chinese:SSB0009,0,1,60528,tct,1.414214,0,-3.172070
audioseal,2,chinese:SSB0009,0,1,59184,mean,1.414214,0,-3.022056
audioseal,2,chinese:SSB0009,0,1,59184,tct,1.414214,0,-3.022056
audioseal,2,chinese:SSB0009,0,1,43188,mean,1.414214,0,-3.653299
audioseal,2,chinese:SSB0009,0,1,43188,tct,1.414214,0,-3.653299
audioseal,2,chinese:SSB0009,0,1,41652,mean,1.414214,0,-3.792586
audioseal,2,chinese:SSB0009,0,1,41652,tct,1.414214,0,-3.792586
audioseal,2,chinese:SSB0009,0,1,60976,mean,1.414214,0,-2.947118
audioseal,2,chinese:SSB0009,0,1,60976,tct,1.414214,0,-2.947118
audioseal,2,chinese:SSB0009,0,1,41145,mean,1.414214,0,-3.894393
audioseal,2,chinese:SSB0009,0,1,41145,tct,1.414214,0,-3.894393
audioseal,2,chinese:SSB0011,0,2,25271,mean,1.000000,0,-4.598760
audioseal,2,chinese:SSB0011,0,2,25271,tct,1.000000,0,-4.598760
audioseal,2,chinese:SSB0011,0,2,37946,mean,1.000000,0,-3.666610
audioseal,2,chinese:SSB0011,0,2,37946,tct,1.000000,0,-3.666610
audioseal,2,chinese:SSB0011,0,2,13371,mean,1.224745,0,-3.304451
audioseal,2,chinese:SSB0011,0,2,13371,tct,1.224745,0,-3.304451
audioseal,2,chinese:SSB0011,0,2,45112,mean,1.369306,0,-4.024608
