model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
timbrewm,2,chinese:SSB0005,0,0,690,mean,0.912871,0,-0.602204
timbrewm,2,chinese:SSB0005,0,0,690,tct,0.912871,0,-0.602204
timbrewm,2,chinese:SSB0005,0,0,866,mean,0.912871,0,-0.256949
timbrewm,2,chinese:SSB0005,0,0,866,tct,0.912871,0,-0.256949
timbrewm,2,chinese:SSB0005,0,0,752,mean,0.912871,0,-0.240251
timbrewm,2,chinese:SSB0005,0,0,752,tct,0.912871,0,-0.240251
timbrewm,2,chinese:SSB0005,0,0,944,mean,0.912871,0,-0.216238
timbrewm,2,chinese:SSB0005,0,0,944,tct,0.912871,0,-0.216238
timbrewm,2,chinese:SSB0005,0,0,370,mean,0.912871,0,-0.404235
timbrewm,2,chinese:SSB0005,0,0,370,tct,0.912871,0,-0.404235
timbrewm,2,chinese:SSB0005,0,0,482,mean,0.912871,0,-0.293001
timbrewm,2,chinese:SSB0005,0,0,482,tct,0.912871,0,-0.293001
timbrewm,2,chinese:SSB0005,0,0,290,mean,0.912871,0,-0.427146
timbrewm,2,chinese:SSB0005,0,0,290,tct,0.912871,0,-0.427146
timbrewm,2,chinese:SSB0005,0,0,98,mean,0.912871,0,-0.451159
timbrewm,2,chinese:SSB0005,0,0,98,tct,0.912871,0,-0.451159
timbrewm,2,chinese:SSB0005,0,0,352,mean,0.912871,0,-0.065193
timbrewm,2,chinese:SSB0005,0,0,352,tct,0.912871,0,-0.065193
timbrewm,2,chinese:SSB0005,0,0,672,mean,0.912871,0,-0.263162
timbrewm,2,chinese:SSB0005,0,0,672,tct,0.912871,0,-0.263162
timbrewm,2,chinese:SSB0005,1,1,818,mean,0.912871,0,-0.170013
timbrewm,2,chinese:SSB0005,1,1,818,tct,0.912871,0,-0.170013
timbrewm,2,chinese:SSB0005,1,1,570,mean,0.912871,0,-0.036590
timbrewm,2,chinese:SSB0005,1,1,570,tct,0.912871,0,-0.036590
timbrewm,2,chinese:SSB0005,1,1,842,mean,0.912871,0,-0.063026
timbrewm,2,chinese:SSB0005,1,1,842,tct,0.912871,0,-0.063026
timbrewm,2,chinese:SSB0005,1,1,626,mean,0.912871,0,-0.208300
timbrewm,2,chinese:SSB0005,1,1,626,tct,0.912871,0,-0.208300
timbrewm,2,chinese:SSB0005,1,1,346,mean,0.912871,0,-0.087782
timbrewm,2,chinese:SSB0005,1,1,346,tct,0.912871,0,-0.087782
timbrewm,2,chinese:SSB0005,1,1,362,mean,0.912871,0,-0.026453
timbrewm,2,chinese:SSB0005,1,1,362,tct,0.912871,0,-0.026453
timbrewm,2,chinese:SSB0005,1,1,322,mean,0.912871,0,-0.257441
timbrewm,2,chinese:SSB0005,1,1,322,tct,0.912871,0,-0.257441
timbrewm,2,chinese:SSB0005,1,1,74,mean,0.912871,0,-0.124018
timbrewm,2,chinese:SSB0005,1,1,74,tct,0.912871,0,-0.124018
timbrewm,2,chinese:SSB0005,1,1,266,mean,0.912871,0,-0.085731
timbrewm,2,chinese:SSB0005,1,1,266,tct,0.912871,0,-0.085731
timbrewm,2,chinese:SSB0005,1,1,530,mean,0.912871,0,-0.267578
timbrewm,2,chinese:SSB0005,1,1,530,tct,0.912871,0,-0.267578
timbrewm,2,chinese:SSB0005,2,2,608,mean,0.816497,0,-0.018900
timbrewm,2,chinese:SSB0005,2,2,608,tct,0.816497,0,-0.018900
timbrewm,2,chinese:SSB0005,2,2,97,mean,0.816497,1,0.003436
timbrewm,2,chinese:SSB0005,2,2,97,tct,0.816497,1,0.003436
timbrewm,2,chinese:SSB0005,2,2,96,mean,0.816497,0,-0.015465
timbrewm,2,chinese:SSB0005,2,2,96,tct,0.816497,0,-0.015465
timbrewm,2,chinese:SSB0005,2,2,624,mean,0.816497,0,-0.060455
timbrewm,2,chinese:SSB0005,2,2,624,tct,0.816497,0,-0.060455
timbrewm,2,chinese:SSB0005,2,2,113,mean,0.816497,0,-0.041555
timbrewm,2,chinese:SSB0005,2,2,113,tct,0.816497,0,-0.041555
timbrewm,2,chinese:SSB0005,2,2,625,mean,0.816497,0,-0.044990
timbrewm,2,chinese:SSB0005,2,2,625,tct,0.816497,0,-0.044990
timbrewm,2,chinese:SSB0005,2,2,545,mean,1.000000,0,-1.107497
timbrewm,2,chinese:SSB0005,2,2,545,tct,1.000000,0,-1.107497
timbrewm,2,chinese:SSB0005,2,2,577,mean,1.000000,0,-1.044727
timbrewm,2,chinese:SSB0005,2,2,577,tct,1.000000,0,-1.044727
timbrewm,2,chinese:SSB0005,2,2,80,mean,1.000000,0,-1.098312
timbrewm,2,chinese:SSB0005,2,2,80,tct,1.000000,0,-1.098312
timbrewm,2,chinese:SSB0005,2,2,48,mean,1.000000,0,-1.161081
timbrewm,2,chinese:SSB0005,2,2,48,tct,1.000000,0,-1.161081
timbrewm,2,chinese:SSB0009,0,3,907,mean,0.866025,1,0.008673
timbrewm,2,chinese:SSB0009,0,3,907,tct,0.866025,1,0.008673
timbrewm,2,chinese:SSB0009,0,3,650,mean,0.866025,0,-0.104547
timbrewm,2,chinese:SSB0009,0,3,650,tct,0.866025,0,-0.104547
timbrewm,2,chinese:SSB0009,0,3,898,mean,0.866025,0,-0.189552
timbrewm,2,chinese:SSB0009,0,3,898,tct,0.866025,0,-0.189552
timbrewm,2,chinese:SSB0009,0,3,646,mean,0.866025,0,-0.385857
timbrewm,2,chinese:SSB0009,0,3,646,tct,0.866025,0,-0.385857
timbrewm,2,chinese:SSB0009,0,3,655,mean,0.866025,0,-0.196305
timbrewm,2,chinese:SSB0009,0,3,655,tct,0.866025,0,-0.196305
timbrewm,2,chinese:SSB0009,0,3,643,mean,0.866025,0,-0.276752
timbrewm,2,chinese:SSB0009,0,3,643,tct,0.866025,0,-0.276752
timbrewm,2,chinese:SSB0009,0,3,910,mean,0.866025,0,-0.109105
timbrewm,2,chinese:SSB0009,0,3,910,tct,0.866025,0,-0.109105
timbrewm,2,chinese:SSB0009,0,3,903,mean,0.866025,0,-0.281311
timbrewm,2,chinese:SSB0009,0,3,903,tct,0.866025,0,-0.281311
