model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
voicemark,2,chinese:SSB0005,0,0,48190,mean,0.942809,0,-40.053287
voicemark,2,chinese:SSB0005,0,0,48190,tct,0.942809,0,-40.053287
voicemark,2,chinese:SSB0005,0,0,22712,mean,0.942809,0,-20.277992
voicemark,2,chinese:SSB0005,0,0,22712,tct,0.942809,0,-20.277992
voicemark,2,chinese:SSB0005,0,0,35898,mean,1.247219,0,-42.835060
voicemark,2,chinese:SSB0005,0,0,35898,tct,1.247219,0,-42.835060
voicemark,2,chinese:SSB0005,0,0,63640,mean,1.247219,0,-18.815794
voicemark,2,chinese:SSB0005,0,0,63640,tct,1.247219,0,-18.815794
voicemark,2,chinese:SSB0005,0,0,48174,mean,1.374369,0,-46.133782
voicemark,2,chinese:SSB0005,0,0,48174,tct,1.374369,0,-46.133782
voicemark,2,chinese:SSB0005,0,0,20634,mean,1.374369,0,-25.265270
voicemark,2,chinese:SSB0005,0,0,20634,tct,1.374369,0,-25.265270
voicemark,2,chinese:SSB0005,0,0,36414,mean,1.374369,0,-46.830238
voicemark,2,chinese:SSB0005,0,0,36414,tct,1.374369,0,-46.830238
voicemark,2,chinese:SSB0005,0,0,19096,mean,1.374369,0,-28.780798
voicemark,2,chinese:SSB0005,0,0,19096,tct,1.374369,0,-28.780798
voicemark,2,chinese:SSB0005,0,0,18488,mean,1.414214,0,-21.106762
voicemark,2,chinese:SSB0005,0,0,18488,tct,1.414214,0,-21.106762
voicemark,2,chinese:SSB0005,0,0,47134,mean,1.414214,0,-46.537341
voicemark,2,chinese:SSB0005,0,0,47134,tct,1.414214,0,-46.537341
voicemark,2,chinese:SSB0005,1,1,33986,mean,0.948683,0,-22.409969
voicemark,2,chinese:SSB0005,1,1,33986,tct,0.948683,0,-22.409969
voicemark,2,chinese:SSB0005,1,1,16551,mean,1.264911,0,-36.722353
voicemark,2,chinese:SSB0005,1,1,16551,tct,1.264911,0,-36.722353
