model,K,spk,local_t,gi,target,method,d_hull,target_hit,target_margin
wmcodec,8,chinese:SSB0005,0,0,47706,mean,0.812047,0,-51.887254
wmcodec,8,chinese:SSB0005,0,0,47706,tct,0.812047,0,-21.918033
wmcodec,8,chinese:SSB0005,0,0,47963,mean,0.812926,0,-21.701502
wmcodec,8,chinese:SSB0005,0,0,47963,tct,0.812926,0,-16.330539
wmcodec,8,chinese:SSB0005,0,0,56146,mean,0.837931,0,-30.458603
wmcodec,8,chinese:SSB0005,0,0,56146,tct,0.837931,0,-19.629065
wmcodec,8,chinese:SSB0005,0,0,43566,mean,0.845154,0,-26.351217
wmcodec,8,chinese:SSB0005,0,0,43566,tct,0.845154,0,-11.743212
wmcodec,8,chinese:SSB0005,0,0,49050,mean,0.872070,0,-51.750226
wmcodec,8,chinese:SSB0005,0,0,49050,tct,0.872070,0,-37.049461
wmcodec,8,chinese:SSB0005,0,0,9062,mean,0.920187,0,-27.405991
wmcodec,8,chinese:SSB0005,0,0,9062,tct,0.920187,0,-19.412342
wmcodec,8,chinese:SSB0005,0,0,55618,mean,0.920447,0,-39.180769
wmcodec,8,chinese:SSB0005,0,0,55618,tct,0.920447,0,-27.631021
wmcodec,8,chinese:SSB0005,0,0,64677,mean,0.937691,0,-30.016561
wmcodec,8,chinese:SSB0005,0,0,64677,tct,0.937691,0,-27.252602
wmcodec,8,chinese:SSB0005,0,0,27813,mean,0.939336,0,-18.577841
wmcodec,8,chinese:SSB0005,0,0,27813,tct,0.939336,0,-15.707970
wmcodec,8,chinese:SSB0005,0,0,11054,mean,1.085620,0,-13.917283
wmcodec,8,chinese:SSB0005,0,0,11054,tct,1.085620,0,-34.896242
wmcodec,8,chinese:SSB0005,1,1,42843,mean,0.892759,0,-30.477513
wmcodec,8,chinese:SSB0005,1,1,42843,tct,0.892759,0,-8.289617
wmcodec,8,chinese:SSB0005,1,1,50517,mean,0.912871,0,-10.087332
wmcodec,8,chinese:SSB0005,1,1,50517,tct,0.912871,1,0.852472
wmcodec,8,chinese:SSB0005,1,1,44890,mean,0.933700,0,-33.584453
wmcodec,8,chinese:SSB0005,1,1,44890,tct,0.933700,0,-17.362083
wmcodec,8,chinese:SSB0005,1,1,58759,mean,1.033679,0,-8.214790
wmcodec,8,chinese:SSB0005,1,1,58759,tct,1.033679,0,-9.351200
wmcodec,8,chinese:SSB0005,1,1,49031,mean,1.047270,0,-17.729921
wmcodec,8,chinese:SSB0005,1,1,49031,tct,1.047270,0,-36.605521
wmcodec,8,chinese:SSB0005,1,1,25863,mean,1.084652,0,-20.139306
wmcodec,8,chinese:SSB0005,1,1,25863,tct,1.084652,0,-29.874001
wmcodec,8,chinese:SSB0005,1,1,55109,mean,1.106648,0,-30.889111
wmcodec,8,chinese:SSB0005,1,1,55109,tct,1.106648,0,-24.843190
wmcodec,8,chinese:SSB0005,1,1,46503,mean,1.110875,0,-12.442198
wmcodec,8,chinese:SSB0005,1,1,46503,tct,1.110875,0,-12.052524
wmcodec,8,chinese:SSB0005,1,1,25795,mean,1.127312,0,-25.114666
wmcodec,8,chinese:SSB0005,1,1,25795,tct,1.127312,0,-39.230431
wmcodec,8,chinese:SSB0005,1,1,50508,mean,1.128152,0,-16.305043
wmcodec,8,chinese:SSB0005,1,1,50508,tct,1.128152,0,-20.411385
wmcodec,8,chinese:SSB0005,2,2,15904,mean,0.881225,0,-29.963228
wmcodec,8,chinese:SSB0005,2,2,15904,tct,0.881225,0,-8.365556
wmcodec,8,chinese:SSB0005,2,2,22032,mean,0.894427,0,-33.540169
wmcodec,8,chinese:SSB0005,2,2,22032,tct,0.894427,0,-32.187187
wmcodec,8,chinese:SSB0005,2,2,60922,mean,0.896378,0,-20.334208
wmcodec,8,chinese:SSB0005,2,2,60922,tct,0.896378,0,-9.423818
wmcodec,8,chinese:SSB0005,2,2,44006,mean,0.896421,0,-49.564438
wmcodec,8,chinese:SSB0005,2,2,44006,tct,0.896421,0,-37.193735
wmcodec,8,chinese:SSB0005,2,2,60947,mean,0.904534,0,-30.620583
wmcodec,8,chinese:SSB0005,2,2,60947,tct,0.904534,0,-20.408946
wmcodec,8,chinese:SSB0005,2,2,59896,mean,0.912871,0,-23.098259
wmcodec,8,chinese:SSB0005,2,2,59896,tct,0.912871,0,-9.345286
wmcodec,8,chinese:SSB0005,2,2,60948,mean,1.057394,0,-31.679807
wmcodec,8,chinese:SSB0005,2,2,60948,tct,1.057394,0,-5.405097
wmcodec,8,chinese:SSB0005,2,2,29718,mean,1.091089,0,-29.705034
wmcodec,8,chinese:SSB0005,2,2,29718,tct,1.091089,0,-37.500806
wmcodec,8,chinese:SSB0005,2,2,22064,mean,1.095445,0,-41.047835
wmcodec,8,chinese:SSB0005,2,2,22064,tct,1.095445,0,-36.863234
wmcodec,8,chinese:SSB0005,2,2,64726,mean,1.104315,0,-55.704925
