model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
timbrewm,8,chinese:SSB0005,0,0,pgr,1,1,1,7,0.7000,0.098246,4.5538,0.9964,34.65
timbrewm,8,chinese:SSB0005,1,1,pgr,1,1,1,7,0.7000,0.090227,4.5028,0.9962,33.38
timbrewm,8,chinese:SSB0005,2,2,pgr,1,1,1,8,0.8000,0.000000,4.4430,0.9966,32.45
timbrewm,8,chinese:SSB0009,0,3,pgr,1,1,1,7,0.7000,0.128146,4.5675,0.9983,29.71
timbrewm,8,chinese:SSB0009,1,4,pgr,1,1,1,7,0.7000,0.100069,4.5861,0.9981,31.09
timbrewm,8,chinese:SSB0009,2,5,pgr,1,1,1,8,0.8000,0.049670,4.5026,0.9967,28.73
timbrewm,8,chinese:SSB0011,0,6,pgr,1,1,1,7,0.7000,0.035956,4.5111,0.9958,30.97
timbrewm,8,chinese:SSB0011,1,7,pgr,1,1,1,8,0.8000,0.092956,4.4661,0.9935,29.52
timbrewm,8,chinese:SSB0011,2,8,pgr,1,1,1,8,0.8000,0.130434,4.4057,0.9907,27.56
timbrewm,8,chinese:SSB0012,0,9,pgr,1,1,1,7,0.7000,0.074547,4.4868,0.9959,32.13
timbrewm,8,chinese:SSB0012,1,10,pgr,1,1,1,6,0.6000,0.063240,4.4103,0.9955,32.06
timbrewm,8,chinese:SSB0012,2,11,pgr,1,1,1,8,0.8000,0.065703,4.4349,0.9973,33.28
timbrewm,8,chinese:SSB0016,0,12,pgr,1,1,1,8,0.8000,0.093914,4.5016,0.9946,27.79
timbrewm,8,chinese:SSB0016,1,13,pgr,1,1,1,7,0.7000,0.099357,4.5094,0.9952,27.38
timbrewm,8,chinese:SSB0016,2,14,pgr,1,1,1,8,0.8000,0.068114,4.3932,0.9933,25.72
timbrewm,8,chinese:SSB0018,0,15,pgr,1,1,1,7,0.7000,0.086964,4.5017,0.9966,31.87
timbrewm,8,chinese:SSB0018,1,16,pgr,1,1,1,9,0.9000,0.069919,4.4600,0.9976,33.22
timbrewm,8,chinese:SSB0018,2,17,pgr,1,1,1,7,0.7000,0.035960,4.4930,0.9955,31.74
timbrewm,8,chinese:SSB0033,0,18,pgr,1,1,1,8,0.8000,0.085561,4.5146,0.9973,34.23
timbrewm,8,chinese:SSB0033,1,19,pgr,1,1,1,8,0.8000,0.105465,4.5076,0.9971,35.13
timbrewm,8,chinese:SSB0033,2,20,pgr,1,1,1,7,0.7000,0.093236,4.5302,0.9960,35.47
timbrewm,8,chinese:SSB0038,0,21,pgr,1,1,1,7,0.7000,0.062579,4.5204,0.9958,29.94
timbrewm,8,chinese:SSB0038,1,22,pgr,1,1,1,7,0.7000,0.055032,4.5804,0.9973,32.30
timbrewm,8,chinese:SSB0038,2,23,pgr,1,1,1,8,0.8000,0.061784,4.5525,0.9968,31.89
timbrewm,8,chinese:SSB0043,0,24,pgr,1,1,1,6,0.6000,0.065620,4.4763,0.9935,28.31
timbrewm,8,chinese:SSB0043,1,25,pgr,1,1,1,7,0.7000,0.052992,4.5025,0.9945,30.05
timbrewm,8,chinese:SSB0043,2,26,pgr,1,1,1,7,0.7000,0.079418,4.3794,0.9932,29.70
timbrewm,8,chinese:SSB0057,0,27,pgr,1,1,1,7,0.7000,0.081883,4.5412,0.9960,33.33
timbrewm,8,chinese:SSB0057,1,28,pgr,1,1,1,7,0.7000,0.023163,4.5886,0.9972,33.99
timbrewm,8,chinese:SSB0057,2,29,pgr,1,1,1,8,0.8000,0.082447,4.5940,0.9973,33.95
timbrewm,8,chinese:SSB0073,0,30,pgr,1,1,1,8,0.8000,0.238908,4.5315,0.9987,33.44
timbrewm,8,chinese:SSB0073,1,31,pgr,1,1,1,7,0.7000,0.119230,4.5810,0.9989,34.05
timbrewm,8,chinese:SSB0073,2,32,pgr,1,1,1,7,0.7000,0.068965,4.5399,0.9976,31.45
timbrewm,8,chinese:SSB0080,0,33,pgr,1,1,1,7,0.7000,0.079505,4.4934,0.9950,31.88
timbrewm,8,chinese:SSB0080,1,34,pgr,1,1,1,7,0.7000,0.105658,4.5038,0.9939,29.64
timbrewm,8,chinese:SSB0080,2,35,pgr,1,1,1,8,0.8000,0.074728,4.4461,0.9936,28.59
timbrewm,8,chinese:SSB0112,0,36,pgr,1,1,1,8,0.8000,0.081075,4.5057,0.9943,26.26
timbrewm,8,chinese:SSB0112,1,37,pgr,1,1,1,8,0.8000,0.018358,4.4568,0.9919,24.74
timbrewm,8,chinese:SSB0112,2,38,pgr,1,1,1,7,0.7000,0.129749,4.5317,0.9955,27.78
timbrewm,8,chinese:SSB0122,0,39,pgr,1,1,1,7,0.7000,0.052709,4.5241,0.9972,31.90
timbrewm,8,chinese:SSB0122,1,40,pgr,1,1,1,7,0.7000,0.138563,4.5554,0.9968,31.26
timbrewm,8,chinese:SSB0122,2,41,pgr,1,1,1,9,0.9000,0.076301,4.5801,0.9984,32.89
timbrewm,8,chinese:SSB0133,0,42,pgr,1,1,1,8,0.8000,0.011720,4.4955,0.9953,28.25
timbrewm,8,chinese:SSB0133,1,43,pgr,1,1,1,7,0.7000,0.105059,4.5504,0.9974,30.50
timbrewm,8,chinese:SSB0133,2,44,pgr,1,1,1,8,0.8000,0.064591,4.5620,0.9954,29.83
timbrewm,8,chinese:SSB0139,0,45,pgr,1,1,1,7,0.7000,0.068880,4.5136,0.9990,34.57
timbrewm,8,chinese:SSB0139,1,46,pgr,1,1,1,7,0.7000,0.034596,4.5650,0.9985,33.42
timbrewm,8,chinese:SSB0139,2,47,pgr,1,1,1,7,0.7000,0.061548,4.5773,0.9985,35.04
timbrewm,8,chinese:SSB0145,0,48,pgr,1,1,1,9,0.9000,0.180012,4.5854,0.9981,31.14
timbrewm,8,chinese:SSB0145,1,49,pgr,1,1,1,8,0.8000,0.072718,4.5609,0.9976,30.45
timbrewm,8,chinese:SSB0145,2,50,pgr,1,1,1,7,0.7000,0.120343,4.5242,0.9967,28.89
timbrewm,8,chinese:SSB0149,0,51,pgr,1,1,1,8,0.8000,0.254920,4.5449,0.9979,32.15
timbrewm,8,chinese:SSB0149,1,52,pgr,1,1,1,7,0.7000,0.055605,4.4696,0.9962,30.96
timbrewm,8,chinese:SSB0149,2,53,pgr,1,1,1,7,0.7000,0.075992,4.4929,0.9983,33.17
timbrewm,8,chinese:SSB0193,0,54,pgr,1,1,1,7,0.7000,0.057057,4.5651,0.9958,28.18
timbrewm,8,chinese:SSB0193,1,55,pgr,1,1,1,7,0.7000,0.058380,4.4782,0.9947,27.90
timbrewm,8,chinese:SSB0193,2,56,pgr,1,1,1,8,0.8000,0.067695,4.4706,0.9947,27.51
timbrewm,8,chinese:SSB0197,0,57,pgr,1,1,1,8,0.8000,0.066651,4.3595,0.9914,24.22
timbrewm,8,chinese:SSB0197,1,58,pgr,1,1,1,7,0.7000,0.022358,4.3926,0.9879,22.78
timbrewm,8,chinese:SSB0197,2,59,pgr,1,1,1,7,0.7000,0.047099,4.5063,0.9922,25.21
timbrewm,8,chinese:SSB0200,0,60,pgr,1,0,0,9,0.9000,0.085030,4.5570,0.9977,29.61
timbrewm,8,chinese:SSB0200,1,61,pgr,1,1,1,7,0.7000,0.027799,4.4605,0.9959,28.93
timbrewm,8,chinese:SSB0200,2,62,pgr,1,1,1,7,0.7000,0.014496,4.5451,0.9958,29.13
timbrewm,8,chinese:SSB0241,0,63,pgr,1,1,1,7,0.7000,0.065595,4.5142,0.9984,30.17
timbrewm,8,chinese:SSB0241,1,64,pgr,1,1,1,9,0.9000,0.181860,4.5294,0.9987,33.27
timbrewm,8,chinese:SSB0241,2,65,pgr,1,1,1,7,0.7000,0.061544,4.5502,0.9975,31.85
timbrewm,8,chinese:SSB0246,0,66,pgr,1,1,1,7,0.7000,0.052609,4.4889,0.9962,29.40
timbrewm,8,chinese:SSB0246,1,67,pgr,1,1,1,7,0.7000,0.049198,4.4601,0.9946,28.33
timbrewm,8,chinese:SSB0246,2,68,pgr,1,1,1,7,0.7000,0.051653,4.3837,0.9961,28.79
timbrewm,8,chinese:SSB0261,0,69,pgr,1,1,1,9,0.9000,0.153165,4.5641,0.9973,31.63
timbrewm,8,chinese:SSB0261,1,70,pgr,1,1,1,9,0.9000,0.120398,4.5230,0.9961,30.85
timbrewm,8,chinese:SSB0261,2,71,pgr,1,1,1,7,0.7000,0.074007,4.5502,0.9964,31.24
timbrewm,8,chinese:SSB0267,0,72,pgr,1,1,1,9,0.9000,0.093772,4.4753,0.9924,30.06
timbrewm,8,chinese:SSB0267,1,73,pgr,1,1,1,8,0.8000,0.080623,4.5186,0.9948,31.36
timbrewm,8,chinese:SSB0267,2,74,pgr,1,1,1,9,0.9000,0.061496,4.4820,0.9929,30.99
timbrewm,8,chinese:SSB0273,0,75,pgr,1,1,1,8,0.8000,0.097457,4.5771,0.9979,34.97
timbrewm,8,chinese:SSB0273,1,76,pgr,1,1,1,7,0.7000,0.069725,4.5519,0.9979,35.23
timbrewm,8,chinese:SSB0273,2,77,pgr,1,1,1,7,0.7000,0.030324,4.5902,0.9983,35.84
timbrewm,8,chinese:SSB0287,0,78,pgr,1,1,1,8,0.8000,0.084205,4.5496,0.9978,36.46
timbrewm,8,chinese:SSB0287,1,79,pgr,1,1,1,9,0.9000,0.043193,4.5310,0.9958,34.45
timbrewm,8,chinese:SSB0287,2,80,pgr,1,1,1,7,0.7000,0.060964,4.4697,0.9957,33.25
timbrewm,8,chinese:SSB0288,0,81,pgr,1,1,1,7,0.7000,0.082280,4.5493,0.9956,30.68
timbrewm,8,chinese:SSB0288,1,82,pgr,1,1,1,7,0.7000,0.053090,4.5612,0.9959,31.80
