model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,3,chinese:SSB0005,0,0,pgr,1,1,1,10,0.6250,0.139770,4.3940,0.9752,18.95
voicemark,3,chinese:SSB0005,1,1,pgr,1,1,1,15,0.9375,0.297277,4.4038,0.9816,18.10
voicemark,3,chinese:SSB0005,2,2,pgr,1,1,1,13,0.8125,0.384735,4.3372,0.9675,18.91
voicemark,3,chinese:SSB0009,0,3,pgr,1,1,1,14,0.8750,0.661033,4.4532,0.9900,16.79
voicemark,3,chinese:SSB0009,1,4,pgr,1,1,1,10,0.6250,0.240025,3.9786,0.9745,14.37
voicemark,3,chinese:SSB0009,2,5,pgr,1,1,1,15,0.9375,0.081414,4.2900,0.9798,12.91
voicemark,3,chinese:SSB0011,0,6,pgr,1,1,1,12,0.7500,0.436002,4.2072,0.9653,17.18
voicemark,3,chinese:SSB0011,1,7,pgr,1,1,1,13,0.8125,0.312500,4.0326,0.9712,17.93
voicemark,3,chinese:SSB0011,2,8,pgr,1,1,1,11,0.6875,0.130178,4.2254,0.9686,17.47
voicemark,3,chinese:SSB0012,0,9,pgr,1,1,1,10,0.6250,0.387574,4.2798,0.9756,15.13
voicemark,3,chinese:SSB0012,1,10,pgr,1,1,1,11,0.6875,0.319153,4.1424,0.9728,16.44
voicemark,3,chinese:SSB0012,2,11,pgr,1,1,1,9,0.5625,0.260889,4.1027,0.9719,14.45
voicemark,3,chinese:SSB0016,0,12,pgr,1,1,1,11,0.6875,0.438142,4.4076,0.9823,18.25
voicemark,3,chinese:SSB0016,1,13,pgr,1,1,1,12,0.7500,0.379124,4.5176,0.9894,17.55
voicemark,3,chinese:SSB0016,2,14,pgr,1,1,1,9,0.5625,0.333333,4.0378,0.9528,17.58
voicemark,3,chinese:SSB0018,0,15,pgr,1,1,1,11,0.6875,0.301474,4.3202,0.9796,15.37
voicemark,3,chinese:SSB0018,1,16,pgr,1,1,1,12,0.7500,0.329933,4.3877,0.9853,17.99
voicemark,3,chinese:SSB0018,2,17,pgr,1,1,1,9,0.5625,0.362531,4.1972,0.9834,17.68
voicemark,3,chinese:SSB0033,0,18,pgr,1,1,1,10,0.6250,0.197566,4.2654,0.9796,20.33
voicemark,3,chinese:SSB0033,1,19,pgr,1,1,1,13,0.8125,0.438142,4.0944,0.9701,18.09
voicemark,3,chinese:SSB0033,2,20,pgr,1,1,1,10,0.6250,0.384735,4.3553,0.9866,21.03
voicemark,3,chinese:SSB0038,0,21,pgr,1,1,1,10,0.6250,0.272962,4.1534,0.9742,17.03
voicemark,3,chinese:SSB0038,1,22,pgr,1,1,1,9,0.5625,0.139770,3.9075,0.9474,13.45
voicemark,3,chinese:SSB0038,2,23,pgr,1,1,1,12,0.7500,0.276810,4.2284,0.9719,17.57
voicemark,3,chinese:SSB0043,0,24,pgr,1,1,1,13,0.8125,0.300220,3.8837,0.9719,18.10
voicemark,3,chinese:SSB0043,1,25,pgr,1,1,1,11,0.6875,0.379124,4.1109,0.9723,16.81
voicemark,3,chinese:SSB0043,2,26,pgr,1,1,1,13,0.8125,0.271043,3.9601,0.9628,17.95
voicemark,3,chinese:SSB0057,0,27,pgr,1,1,1,11,0.6875,0.155319,4.3950,0.9818,18.33
voicemark,3,chinese:SSB0057,1,28,pgr,1,1,1,14,0.8750,0.258568,4.4184,0.9811,15.50
voicemark,3,chinese:SSB0057,2,29,pgr,1,1,1,7,0.4375,0.329933,4.3914,0.9773,17.09
voicemark,3,chinese:SSB0073,0,30,pgr,1,0,0,14,0.8750,0.319153,3.7665,0.9627,12.66
voicemark,3,chinese:SSB0073,1,31,pgr,1,1,1,11,0.6875,0.214606,3.5597,0.9615,14.38
voicemark,3,chinese:SSB0073,2,32,pgr,1,1,1,9,0.5625,0.436002,3.9135,0.9676,15.60
voicemark,3,chinese:SSB0080,0,33,pgr,1,1,1,13,0.8125,0.438142,3.9822,0.9648,18.38
voicemark,3,chinese:SSB0080,1,34,pgr,1,1,1,13,0.8125,0.271043,3.4336,0.9675,14.78
voicemark,3,chinese:SSB0080,2,35,pgr,1,1,1,12,0.7500,0.320532,4.3965,0.9727,18.78
voicemark,3,chinese:SSB0112,0,36,pgr,1,1,1,12,0.7500,0.329933,4.4481,0.9849,17.58
voicemark,3,chinese:SSB0112,1,37,pgr,1,1,1,12,0.7500,0.260889,4.4110,0.9797,16.60
voicemark,3,chinese:SSB0112,2,38,pgr,1,1,1,11,0.6875,0.272962,4.2944,0.9808,14.50
voicemark,3,chinese:SSB0122,0,39,pgr,1,1,1,10,0.6250,0.415643,3.9605,0.9743,15.91
voicemark,3,chinese:SSB0122,1,40,pgr,1,1,1,15,0.9375,0.325172,4.3730,0.9819,16.43
voicemark,3,chinese:SSB0122,2,41,pgr,1,1,1,9,0.5625,0.272962,4.2734,0.9810,13.99
voicemark,3,chinese:SSB0133,0,42,pgr,1,1,0,13,0.8125,0.319153,3.7016,0.9685,17.84
voicemark,3,chinese:SSB0133,1,43,pgr,1,1,1,13,0.8125,0.609505,3.6141,0.9681,17.59
voicemark,3,chinese:SSB0133,2,44,pgr,1,1,1,12,0.7500,0.218815,4.2067,0.9809,20.41
voicemark,3,chinese:SSB0139,0,45,pgr,1,1,1,13,0.8125,0.422946,3.6410,0.9607,12.94
voicemark,3,chinese:SSB0139,1,46,pgr,1,1,0,14,0.8750,0.272962,4.2071,0.9784,17.23
voicemark,3,chinese:SSB0139,2,47,pgr,1,1,1,12,0.7500,0.320532,4.2803,0.9845,15.29
voicemark,3,chinese:SSB0145,0,48,pgr,1,1,1,13,0.8125,0.387574,4.2063,0.9775,15.39
voicemark,3,chinese:SSB0145,1,49,pgr,1,1,1,9,0.5625,0.422946,3.7221,0.9690,15.91
voicemark,3,chinese:SSB0145,2,50,pgr,1,1,1,12,0.7500,0.272962,4.2964,0.9790,15.48
voicemark,3,chinese:SSB0149,0,51,pgr,1,1,1,13,0.8125,0.379124,4.0842,0.9785,13.83
voicemark,3,chinese:SSB0149,1,52,pgr,1,1,1,13,0.8125,0.320532,4.1269,0.9791,10.85
voicemark,3,chinese:SSB0149,2,53,pgr,1,1,1,13,0.8125,0.235261,3.9380,0.9811,12.71
voicemark,3,chinese:SSB0193,0,54,pgr,1,1,1,12,0.7500,0.221187,4.0936,0.9748,14.00
voicemark,3,chinese:SSB0193,1,55,pgr,1,1,1,13,0.8125,0.235261,4.2052,0.9699,15.25
voicemark,3,chinese:SSB0193,2,56,pgr,1,1,1,13,0.8125,0.436002,3.7502,0.9673,13.48
voicemark,3,chinese:SSB0197,0,57,pgr,1,1,1,13,0.8125,0.314674,4.1227,0.9632,17.17
voicemark,3,chinese:SSB0197,1,58,pgr,1,1,1,13,0.8125,0.436002,4.2879,0.9736,15.68
voicemark,3,chinese:SSB0197,2,59,pgr,1,1,1,14,0.8750,0.314674,4.4086,0.9811,18.54
voicemark,3,chinese:SSB0200,0,60,pgr,1,1,1,12,0.7500,0.495587,4.1992,0.9743,15.43
voicemark,3,chinese:SSB0200,1,61,pgr,1,1,0,13,0.8125,0.362531,4.2028,0.9672,13.15
voicemark,3,chinese:SSB0200,2,62,pgr,1,1,1,14,0.8750,0.437500,4.4227,0.9806,18.59
voicemark,3,chinese:SSB0241,0,63,pgr,1,1,1,13,0.8125,0.415643,3.8516,0.9745,17.51
voicemark,3,chinese:SSB0241,1,64,pgr,1,1,1,11,0.6875,0.221187,4.2314,0.9739,15.21
voicemark,3,chinese:SSB0241,2,65,pgr,1,1,1,14,0.8750,0.495587,3.7930,0.9653,15.21
voicemark,3,chinese:SSB0246,0,66,pgr,1,1,1,11,0.6875,0.221187,4.2421,0.9796,17.42
voicemark,3,chinese:SSB0246,1,67,pgr,1,1,1,12,0.7500,0.495587,3.9790,0.9824,17.19
voicemark,3,chinese:SSB0246,2,68,pgr,1,1,1,9,0.5625,0.443232,4.2675,0.9821,16.30
voicemark,3,chinese:SSB0261,0,69,pgr,1,1,1,12,0.7500,0.214606,4.2397,0.9673,14.79
voicemark,3,chinese:SSB0261,1,70,pgr,1,1,1,10,0.6250,0.276810,4.1563,0.9668,13.88
voicemark,3,chinese:SSB0261,2,71,pgr,0,0,0,16,1.0000,0.387574,3.7459,0.9670,14.55
voicemark,3,chinese:SSB0267,0,72,pgr,1,1,1,12,0.7500,0.276810,4.2935,0.9669,20.00
voicemark,3,chinese:SSB0267,1,73,pgr,1,1,1,10,0.6250,0.375599,4.3468,0.9748,17.25
