model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,5,chinese:SSB0005,0,0,pgr,1,1,1,14,0.8750,0.221515,4.5572,0.9977,43.52
wavmark,5,chinese:SSB0005,1,1,pgr,1,1,1,13,0.8125,0.063820,4.5526,0.9978,43.85
wavmark,5,chinese:SSB0005,2,2,pgr,1,1,1,11,0.6875,0.172632,4.5741,0.9981,44.33
wavmark,5,chinese:SSB0009,0,3,pgr,1,1,1,10,0.6250,0.107346,4.5962,0.9999,42.73
wavmark,5,chinese:SSB0009,1,4,pgr,1,1,1,13,0.8125,0.254939,4.5956,0.9999,43.62
wavmark,5,chinese:SSB0009,2,5,pgr,1,1,1,13,0.8125,0.269863,4.6039,0.9999,43.99
wavmark,5,chinese:SSB0011,0,6,pgr,1,1,1,12,0.7500,0.153644,4.3561,0.9993,41.69
wavmark,5,chinese:SSB0011,1,7,pgr,1,1,1,11,0.6875,0.113031,4.4703,0.9994,42.67
wavmark,5,chinese:SSB0011,2,8,pgr,1,1,1,13,0.8125,0.251214,4.4670,0.9994,42.09
wavmark,5,chinese:SSB0012,0,9,pgr,1,1,1,13,0.8125,0.305167,4.5187,0.9998,42.91
wavmark,5,chinese:SSB0012,1,10,pgr,1,1,1,13,0.8125,0.139661,4.5273,0.9998,42.85
wavmark,5,chinese:SSB0012,2,11,pgr,1,1,1,11,0.6875,0.182364,4.5300,0.9998,42.89
wavmark,5,chinese:SSB0016,0,12,pgr,1,1,1,12,0.7500,0.175730,4.2902,0.9979,38.12
wavmark,5,chinese:SSB0016,1,13,pgr,1,1,1,12,0.7500,0.067036,4.1108,0.9974,37.32
wavmark,5,chinese:SSB0016,2,14,pgr,1,1,1,13,0.8125,0.093928,4.3666,0.9980,38.33
wavmark,5,chinese:SSB0018,0,15,pgr,1,1,1,12,0.7500,0.165086,4.4920,0.9994,43.84
wavmark,5,chinese:SSB0018,1,16,pgr,1,1,1,10,0.6250,0.042266,4.5347,0.9995,43.36
wavmark,5,chinese:SSB0018,2,17,pgr,1,1,1,11,0.6875,0.121901,4.4601,0.9994,43.79
wavmark,5,chinese:SSB0033,0,18,pgr,1,1,1,12,0.7500,0.190368,4.2800,0.9995,41.95
wavmark,5,chinese:SSB0033,1,19,pgr,1,1,1,13,0.8125,0.243114,4.4643,0.9995,43.16
wavmark,5,chinese:SSB0033,2,20,pgr,1,1,1,11,0.6875,0.115496,4.4067,0.9995,42.48
wavmark,5,chinese:SSB0038,0,21,pgr,1,1,1,11,0.6875,0.083460,4.4689,0.9997,41.68
wavmark,5,chinese:SSB0038,1,22,pgr,1,1,1,10,0.6250,0.104982,4.5300,0.9998,42.60
wavmark,5,chinese:SSB0038,2,23,pgr,1,1,1,14,0.8750,0.181089,4.5440,0.9998,43.26
wavmark,5,chinese:SSB0043,0,24,pgr,1,1,1,12,0.7500,0.070026,4.3705,0.9980,40.33
wavmark,5,chinese:SSB0043,1,25,pgr,1,1,1,12,0.7500,0.173592,4.4868,0.9984,41.32
wavmark,5,chinese:SSB0043,2,26,pgr,1,1,1,12,0.7500,0.180604,4.5333,0.9985,41.62
wavmark,5,chinese:SSB0057,0,27,pgr,1,1,1,12,0.7500,0.232345,4.5298,0.9946,43.87
wavmark,5,chinese:SSB0057,1,28,pgr,1,1,1,11,0.6875,0.128908,4.4748,0.9915,42.17
wavmark,5,chinese:SSB0057,2,29,pgr,1,1,1,11,0.6875,0.142157,4.4828,0.9913,42.05
wavmark,5,chinese:SSB0073,0,30,pgr,1,1,1,13,0.8125,0.268959,4.4449,0.9998,42.83
wavmark,5,chinese:SSB0073,1,31,pgr,1,1,1,12,0.7500,0.173324,4.3706,0.9997,43.18
wavmark,5,chinese:SSB0073,2,32,pgr,1,1,1,11,0.6875,0.142668,4.4884,0.9998,43.94
wavmark,5,chinese:SSB0080,0,33,pgr,1,1,1,11,0.6875,0.221291,4.5495,0.9972,43.26
wavmark,5,chinese:SSB0080,1,34,pgr,1,1,1,12,0.7500,0.139613,4.5313,0.9971,42.77
wavmark,5,chinese:SSB0080,2,35,pgr,1,1,1,12,0.7500,0.139017,4.5031,0.9965,42.43
wavmark,5,chinese:SSB0112,0,36,pgr,1,1,1,11,0.6875,0.137316,4.4851,0.9982,37.83
wavmark,5,chinese:SSB0112,1,37,pgr,1,1,1,13,0.8125,0.155684,4.4963,0.9988,38.31
wavmark,5,chinese:SSB0112,2,38,pgr,1,1,1,12,0.7500,0.198410,4.2791,0.9987,38.34
wavmark,5,chinese:SSB0122,0,39,pgr,1,1,1,12,0.7500,0.148024,4.4891,0.9999,42.86
wavmark,5,chinese:SSB0122,1,40,pgr,1,1,1,11,0.6875,0.101792,4.4778,0.9998,42.16
wavmark,5,chinese:SSB0122,2,41,pgr,1,1,1,14,0.8750,0.281407,4.5294,0.9998,43.30
wavmark,5,chinese:SSB0133,0,42,pgr,1,1,1,11,0.6875,0.100382,4.1919,0.9993,40.22
