model,K,spk,local_t,gi,method,block_seconds,fade_seconds,num_blocks,selection_rule,ASR,R3_escape,R5_escape,NAC,PESQ,STOI,SI_SDR
timbrewm,5,chinese:SSB0005,0,0,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5486,0.9972,34.38
timbrewm,5,chinese:SSB0005,0,0,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5820,0.9966,35.62
timbrewm,5,chinese:SSB0005,0,0,rp,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.4390,0.9924,31.32
timbrewm,5,chinese:SSB0005,0,0,eep,0.5,0.02,8,blockwise_max_pair_mse,0,0,0,1.0000,4.4390,0.9924,31.32
timbrewm,5,chinese:SSB0005,0,0,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.4319,0.9970,33.98
timbrewm,5,chinese:SSB0005,0,0,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.3797,0.9958,31.67
timbrewm,5,chinese:SSB0005,0,0,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.8000,4.3683,0.9957,31.63
timbrewm,5,chinese:SSB0005,0,0,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.5351,0.9945,33.16
timbrewm,5,chinese:SSB0009,0,1,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5564,0.9979,29.21
timbrewm,5,chinese:SSB0009,0,1,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.6028,0.9985,31.01
timbrewm,5,chinese:SSB0009,0,1,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,0,0.9000,4.4079,0.9970,26.91
timbrewm,5,chinese:SSB0009,0,1,eep,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.6028,0.9985,31.01
timbrewm,5,chinese:SSB0009,0,1,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5129,0.9975,28.57
timbrewm,5,chinese:SSB0009,0,1,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4667,0.9974,27.06
timbrewm,5,chinese:SSB0009,0,1,maximum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.4864,0.9975,27.09
timbrewm,5,chinese:SSB0009,0,1,block_fwp50_smooth,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5885,0.9986,30.98
timbrewm,5,chinese:SSB0011,0,2,mean,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.5166,0.9945,29.77
timbrewm,5,chinese:SSB0011,0,2,fwp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.6000,4.5126,0.9957,30.27
timbrewm,5,chinese:SSB0011,0,2,rp,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.1292,0.9862,25.41
timbrewm,5,chinese:SSB0011,0,2,eep,0.5,0.02,8,blockwise_max_pair_mse,1,0,0,0.9000,4.5523,0.9969,32.78
timbrewm,5,chinese:SSB0011,0,2,median,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.9000,4.2890,0.9939,29.51
timbrewm,5,chinese:SSB0011,0,2,minimum,0.5,0.02,8,blockwise_max_pair_mse,1,1,1,0.8000,4.2004,0.9920,27.09
