model,K,spk,local_t,eps,r0,ASR
wavmark,3,chinese:SSB0005,0,0.0,0.05,1
wavmark,3,chinese:SSB0005,0,0.0,0.1,1
wavmark,3,chinese:SSB0005,0,0.0,0.3,1
wavmark,3,chinese:SSB0005,0,0.001,0.05,1
wavmark,3,chinese:SSB0005,0,0.001,0.1,1
wavmark,3,chinese:SSB0005,0,0.001,0.3,1
wavmark,3,chinese:SSB0005,0,0.01,0.05,1
wavmark,3,chinese:SSB0005,0,0.01,0.1,1
wavmark,3,chinese:SSB0005,0,0.01,0.3,1
wavmark,3,chinese:SSB0005,0,0.05,0.05,1
wavmark,3,chinese:SSB0005,0,0.05,0.1,1
wavmark,3,chinese:SSB0005,0,0.05,0.3,1
wavmark,3,chinese:SSB0009,0,0.0,0.05,1
wavmark,3,chinese:SSB0009,0,0.0,0.1,1
wavmark,3,chinese:SSB0009,0,0.0,0.3,1
wavmark,3,chinese:SSB0009,0,0.001,0.05,1
wavmark,3,chinese:SSB0009,0,0.001,0.1,1
wavmark,3,chinese:SSB0009,0,0.001,0.3,1
wavmark,3,chinese:SSB0009,0,0.01,0.05,1
wavmark,3,chinese:SSB0009,0,0.01,0.1,1
wavmark,3,chinese:SSB0009,0,0.01,0.3,1
wavmark,3,chinese:SSB0009,0,0.05,0.05,1
wavmark,3,chinese:SSB0009,0,0.05,0.1,1
wavmark,3,chinese:SSB0009,0,0.05,0.3,1
wavmark,3,chinese:SSB0011,0,0.0,0.05,1
wavmark,3,chinese:SSB0011,0,0.0,0.1,1
wavmark,3,chinese:SSB0011,0,0.0,0.3,1
wavmark,3,chinese:SSB0011,0,0.001,0.05,1
wavmark,3,chinese:SSB0011,0,0.001,0.1,1
wavmark,3,chinese:SSB0011,0,0.001,0.3,1
wavmark,3,chinese:SSB0011,0,0.01,0.05,1
wavmark,3,chinese:SSB0011,0,0.01,0.1,1
wavmark,3,chinese:SSB0011,0,0.01,0.3,1
wavmark,3,chinese:SSB0011,0,0.05,0.05,1
wavmark,3,chinese:SSB0011,0,0.05,0.1,1
wavmark,3,chinese:SSB0011,0,0.05,0.3,1
wavmark,3,chinese:SSB0012,0,0.0,0.05,1
wavmark,3,chinese:SSB0012,0,0.0,0.1,1
wavmark,3,chinese:SSB0012,0,0.0,0.3,1
wavmark,3,chinese:SSB0012,0,0.001,0.05,1
wavmark,3,chinese:SSB0012,0,0.001,0.1,1
wavmark,3,chinese:SSB0012,0,0.001,0.3,1
wavmark,3,chinese:SSB0012,0,0.01,0.05,1
wavmark,3,chinese:SSB0012,0,0.01,0.1,1
wavmark,3,chinese:SSB0012,0,0.01,0.3,1
wavmark,3,chinese:SSB0012,0,0.05,0.05,1
wavmark,3,chinese:SSB0012,0,0.05,0.1,1
wavmark,3,chinese:SSB0012,0,0.05,0.3,1
wavmark,3,chinese:SSB0016,0,0.0,0.05,1
wavmark,3,chinese:SSB0016,0,0.0,0.1,1
wavmark,3,chinese:SSB0016,0,0.0,0.3,1
wavmark,3,chinese:SSB0016,0,0.001,0.05,1
wavmark,3,chinese:SSB0016,0,0.001,0.1,1
wavmark,3,chinese:SSB0016,0,0.001,0.3,1
wavmark,3,chinese:SSB0016,0,0.01,0.05,1
wavmark,3,chinese:SSB0016,0,0.01,0.1,1
wavmark,3,chinese:SSB0016,0,0.01,0.3,1
wavmark,3,chinese:SSB0016,0,0.05,0.05,1
wavmark,3,chinese:SSB0016,0,0.05,0.1,1
wavmark,3,chinese:SSB0016,0,0.05,0.3,1
wavmark,3,chinese:SSB0018,0,0.0,0.05,1
wavmark,3,chinese:SSB0018,0,0.0,0.1,1
wavmark,3,chinese:SSB0018,0,0.0,0.3,1
wavmark,3,chinese:SSB0018,0,0.001,0.05,1
wavmark,3,chinese:SSB0018,0,0.001,0.1,1
wavmark,3,chinese:SSB0018,0,0.001,0.3,1
