model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
audioseal,3,chinese:SSB0005,0,0,rp,1,1,1,13,0.8125,0.562500,4.6167,0.9997,42.52
audioseal,3,chinese:SSB0005,1,1,rp,1,1,1,14,0.8750,0.312500,4.6101,0.9995,37.54
audioseal,3,chinese:SSB0005,2,2,rp,1,1,1,14,0.8750,0.500000,4.6059,0.9995,38.15
audioseal,3,chinese:SSB0009,0,3,rp,1,1,1,14,0.8750,0.687500,4.6291,0.9999,40.49
audioseal,3,chinese:SSB0009,1,4,rp,1,1,1,12,0.7500,0.250000,4.5970,0.9997,33.92
audioseal,3,chinese:SSB0009,2,5,rp,1,1,1,10,0.6250,0.125000,4.6038,0.9997,35.37
audioseal,3,chinese:SSB0011,0,6,rp,1,1,1,15,0.9375,0.687500,4.5906,0.9996,38.87
audioseal,3,chinese:SSB0011,1,7,rp,1,1,1,14,0.8750,0.312500,4.5530,0.9988,32.57
audioseal,3,chinese:SSB0011,2,8,rp,1,1,1,11,0.6875,0.250000,4.5068,0.9974,30.75
audioseal,3,chinese:SSB0012,0,9,rp,1,1,1,14,0.8750,0.562500,4.6147,0.9997,34.46
audioseal,3,chinese:SSB0012,1,10,rp,1,1,1,11,0.6875,0.375000,4.6041,0.9994,34.04
audioseal,3,chinese:SSB0012,2,11,rp,1,1,1,13,0.8125,0.562500,4.5498,0.9990,28.89
audioseal,3,chinese:SSB0016,0,12,rp,1,1,1,13,0.8125,0.500000,4.5983,0.9991,33.58
audioseal,3,chinese:SSB0016,1,13,rp,1,1,1,13,0.8125,0.625000,4.4922,0.9976,30.10
audioseal,3,chinese:SSB0016,2,14,rp,1,1,1,13,0.8125,0.500000,4.5922,0.9987,33.94
audioseal,3,chinese:SSB0018,0,15,rp,1,1,1,14,0.8750,0.625000,4.5558,0.9994,34.94
audioseal,3,chinese:SSB0018,1,16,rp,1,1,1,13,0.8125,0.500000,4.5588,0.9993,31.62
audioseal,3,chinese:SSB0018,2,17,rp,1,1,1,11,0.6875,0.375000,4.5944,0.9997,35.74
audioseal,3,chinese:SSB0033,0,18,rp,1,1,1,13,0.8125,0.250000,4.5846,0.9995,41.15
audioseal,3,chinese:SSB0033,1,19,rp,1,1,1,14,0.8750,0.625000,4.6030,0.9998,41.99
audioseal,3,chinese:SSB0033,2,20,rp,1,1,1,12,0.7500,0.500000,4.5960,0.9997,43.44
audioseal,3,chinese:SSB0038,0,21,rp,1,1,0,15,0.9375,0.500000,4.6013,0.9994,37.61
audioseal,3,chinese:SSB0038,1,22,rp,1,1,1,14,0.8750,0.375000,4.5996,0.9994,35.33
audioseal,3,chinese:SSB0038,2,23,rp,1,1,1,12,0.7500,0.437500,4.5565,0.9980,31.56
audioseal,3,chinese:SSB0043,0,24,rp,1,1,1,13,0.8125,0.500000,4.6040,0.9994,37.47
audioseal,3,chinese:SSB0043,1,25,rp,1,1,1,13,0.8125,0.562500,4.5119,0.9979,30.51
audioseal,3,chinese:SSB0043,2,26,rp,1,1,1,13,0.8125,0.562500,4.5697,0.9994,35.32
audioseal,3,chinese:SSB0057,0,27,rp,1,1,1,12,0.7500,0.375000,4.5623,0.9977,34.71
audioseal,3,chinese:SSB0057,1,28,rp,1,1,1,14,0.8750,0.625000,4.6246,0.9996,43.16
audioseal,3,chinese:SSB0057,2,29,rp,1,1,1,15,0.9375,0.562500,4.5780,0.9979,30.05
audioseal,3,chinese:SSB0073,0,30,rp,1,1,1,12,0.7500,0.500000,4.5817,0.9995,30.99
audioseal,3,chinese:SSB0073,1,31,rp,1,1,1,14,0.8750,0.500000,4.6014,0.9998,34.93
audioseal,3,chinese:SSB0073,2,32,rp,1,1,1,13,0.8125,0.562500,4.5670,0.9995,28.05
audioseal,3,chinese:SSB0080,0,33,rp,1,1,1,13,0.8125,0.625000,4.5591,0.9985,28.89
audioseal,3,chinese:SSB0080,1,34,rp,1,1,1,13,0.8125,0.437500,4.5306,0.9985,26.98
audioseal,3,chinese:SSB0080,2,35,rp,1,1,1,11,0.6875,0.375000,4.5980,0.9989,32.79
audioseal,3,chinese:SSB0112,0,36,rp,1,1,1,12,0.7500,0.500000,4.5745,0.9993,31.04
audioseal,3,chinese:SSB0112,1,37,rp,1,1,1,12,0.7500,0.562500,4.5190,0.9980,26.66
audioseal,3,chinese:SSB0112,2,38,rp,1,1,1,12,0.7500,0.375000,4.5834,0.9993,30.29
audioseal,3,chinese:SSB0122,0,39,rp,1,1,1,15,0.9375,0.437500,4.5933,0.9996,34.37
audioseal,3,chinese:SSB0122,1,40,rp,1,1,1,12,0.7500,0.437500,4.5994,0.9997,35.31
audioseal,3,chinese:SSB0122,2,41,rp,1,1,1,12,0.7500,0.500000,4.6024,0.9998,40.17
audioseal,3,chinese:SSB0133,0,42,rp,1,1,1,14,0.8750,0.625000,4.5020,0.9970,32.76
audioseal,3,chinese:SSB0133,1,43,rp,1,1,1,14,0.8750,0.687500,4.5996,0.9990,38.45
audioseal,3,chinese:SSB0133,2,44,rp,1,1,1,14,0.8750,0.500000,4.5084,0.9973,32.59
audioseal,3,chinese:SSB0139,0,45,rp,1,1,1,12,0.7500,0.437500,4.6008,0.9999,34.43
audioseal,3,chinese:SSB0139,1,46,rp,1,1,1,12,0.7500,0.500000,4.6019,0.9998,33.74
audioseal,3,chinese:SSB0139,2,47,rp,1,1,1,13,0.8125,0.562500,4.6146,0.9999,36.06
audioseal,3,chinese:SSB0145,0,48,rp,1,1,1,13,0.8125,0.500000,4.5699,0.9988,30.07
audioseal,3,chinese:SSB0145,1,49,rp,1,1,1,14,0.8750,0.687500,4.6043,0.9996,36.06
audioseal,3,chinese:SSB0145,2,50,rp,1,1,1,14,0.8750,0.500000,4.6010,0.9995,34.93
audioseal,3,chinese:SSB0149,0,51,rp,1,1,1,14,0.8750,0.625000,4.6171,0.9999,37.90
audioseal,3,chinese:SSB0149,1,52,rp,1,1,1,11,0.6875,0.375000,4.5967,0.9998,37.25
audioseal,3,chinese:SSB0149,2,53,rp,1,1,1,10,0.6250,0.250000,4.5800,0.9998,33.86
audioseal,3,chinese:SSB0193,0,54,rp,1,1,1,13,0.8125,0.437500,4.5086,0.9984,27.96
audioseal,3,chinese:SSB0193,1,55,rp,1,1,1,12,0.7500,0.375000,4.5378,0.9990,29.33
audioseal,3,chinese:SSB0193,2,56,rp,1,1,1,13,0.8125,0.500000,4.5524,0.9990,28.46
audioseal,3,chinese:SSB0197,0,57,rp,1,1,1,14,0.8750,0.687500,4.6000,0.9937,32.16
audioseal,3,chinese:SSB0197,1,58,rp,1,1,1,14,0.8750,0.687500,4.5818,0.9963,33.73
audioseal,3,chinese:SSB0197,2,59,rp,1,1,1,14,0.8750,0.687500,4.4583,0.9821,26.24
audioseal,3,chinese:SSB0200,0,60,rp,1,1,1,13,0.8125,0.625000,4.5193,0.9984,23.99
audioseal,3,chinese:SSB0200,1,61,rp,1,1,1,13,0.8125,0.625000,4.6128,0.9998,33.49
audioseal,3,chinese:SSB0200,2,62,rp,1,1,1,13,0.8125,0.562500,4.6011,0.9996,31.01
audioseal,3,chinese:SSB0241,0,63,rp,1,0,0,15,0.9375,0.812500,4.6172,0.9998,37.43
audioseal,3,chinese:SSB0241,1,64,rp,1,1,1,12,0.7500,0.437500,4.5926,0.9997,39.43
audioseal,3,chinese:SSB0241,2,65,rp,1,1,0,15,0.9375,0.687500,4.5829,0.9993,34.83
audioseal,3,chinese:SSB0246,0,66,rp,1,1,1,13,0.8125,0.437500,4.5825,0.9990,33.99
audioseal,3,chinese:SSB0246,1,67,rp,1,1,1,14,0.8750,0.625000,4.6126,0.9995,35.03
audioseal,3,chinese:SSB0246,2,68,rp,1,1,1,13,0.8125,0.562500,4.5630,0.9986,31.79
audioseal,3,chinese:SSB0261,0,69,rp,1,1,1,11,0.6875,0.312500,4.6044,0.9997,36.87
audioseal,3,chinese:SSB0261,1,70,rp,1,1,1,14,0.8750,0.437500,4.6122,0.9998,36.18
audioseal,3,chinese:SSB0261,2,71,rp,1,1,1,12,0.7500,0.500000,4.6032,0.9997,34.37
audioseal,3,chinese:SSB0267,0,72,rp,1,1,1,12,0.7500,0.437500,4.5224,0.9978,32.50
audioseal,3,chinese:SSB0267,1,73,rp,1,1,1,15,0.9375,0.687500,4.6022,0.9996,38.65
audioseal,3,chinese:SSB0267,2,74,rp,1,1,1,13,0.8125,0.625000,4.5161,0.9986,33.04
audioseal,3,chinese:SSB0273,0,75,rp,1,1,1,13,0.8125,0.500000,4.5829,0.9996,33.27
audioseal,3,chinese:SSB0273,1,76,rp,1,1,1,13,0.8125,0.562500,4.5977,0.9997,34.01
audioseal,3,chinese:SSB0273,2,77,rp,1,1,1,13,0.8125,0.562500,4.6208,0.9999,39.27
audioseal,3,chinese:SSB0287,0,78,rp,1,1,1,13,0.8125,0.437500,4.6070,0.9997,35.89
audioseal,3,chinese:SSB0287,1,79,rp,1,1,1,14,0.8750,0.750000,4.6269,0.9999,39.82
