model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
voicemark,8,chinese:SSB0005,0,0,rp,1,1,1,13,0.8125,0.312500,3.6877,0.9388,12.66
voicemark,8,chinese:SSB0005,1,1,rp,1,1,1,11,0.6875,0.500000,4.0800,0.9606,15.58
voicemark,8,chinese:SSB0005,2,2,rp,1,1,1,11,0.6875,0.437500,4.2557,0.9712,14.75
voicemark,8,chinese:SSB0009,0,3,rp,1,1,1,12,0.7500,0.687500,3.6312,0.9501,9.47
voicemark,8,chinese:SSB0009,1,4,rp,1,1,1,12,0.7500,0.500000,4.0706,0.9755,14.05
voicemark,8,chinese:SSB0009,2,5,rp,1,1,1,13,0.8125,0.250000,4.0849,0.9718,10.10
voicemark,8,chinese:SSB0011,0,6,rp,1,1,0,14,0.8750,0.437500,3.6991,0.9461,15.56
voicemark,8,chinese:SSB0011,1,7,rp,1,1,1,12,0.7500,0.437500,3.6610,0.9481,13.77
voicemark,8,chinese:SSB0011,2,8,rp,1,1,1,13,0.8125,0.437500,3.9065,0.9568,14.34
voicemark,8,chinese:SSB0012,0,9,rp,1,1,1,12,0.7500,0.500000,3.9645,0.9648,11.99
voicemark,8,chinese:SSB0012,1,10,rp,1,1,1,14,0.8750,0.437500,3.5903,0.9363,13.02
voicemark,8,chinese:SSB0012,2,11,rp,1,1,1,15,0.9375,0.437500,3.2615,0.9391,9.76
voicemark,8,chinese:SSB0016,0,12,rp,1,0,0,14,0.8750,0.625000,4.3680,0.9670,20.33
voicemark,8,chinese:SSB0016,1,13,rp,1,1,1,13,0.8125,0.375000,3.8337,0.9495,14.27
voicemark,8,chinese:SSB0016,2,14,rp,1,1,1,12,0.7500,0.500000,4.1066,0.9527,13.25
voicemark,8,chinese:SSB0018,0,15,rp,1,1,1,11,0.6875,0.375000,3.8491,0.9508,13.49
voicemark,8,chinese:SSB0018,1,16,rp,1,1,1,13,0.8125,0.625000,3.3669,0.9576,12.70
voicemark,8,chinese:SSB0018,2,17,rp,1,1,1,12,0.7500,0.437500,3.9464,0.9647,14.85
voicemark,8,chinese:SSB0033,0,18,rp,1,1,1,13,0.8125,0.625000,3.7060,0.9506,14.17
voicemark,8,chinese:SSB0033,1,19,rp,1,1,1,13,0.8125,0.375000,3.8236,0.9579,16.96
voicemark,8,chinese:SSB0033,2,20,rp,0,0,0,16,1.0000,0.375000,4.2397,0.9672,18.70
voicemark,8,chinese:SSB0038,0,21,rp,1,1,1,12,0.7500,0.437500,4.2169,0.9724,16.45
voicemark,8,chinese:SSB0038,1,22,rp,1,1,1,12,0.7500,0.437500,4.0708,0.9623,14.46
voicemark,8,chinese:SSB0038,2,23,rp,1,1,1,14,0.8750,0.437500,4.2854,0.9772,19.43
voicemark,8,chinese:SSB0043,0,24,rp,1,1,0,15,0.9375,0.687500,3.6737,0.9345,13.01
voicemark,8,chinese:SSB0043,1,25,rp,1,1,1,11,0.6875,0.687500,3.3321,0.9403,12.24
voicemark,8,chinese:SSB0043,2,26,rp,1,1,1,14,0.8750,0.562500,3.7295,0.9548,14.71
voicemark,8,chinese:SSB0057,0,27,rp,1,1,1,14,0.8750,0.375000,4.1206,0.9767,16.34
voicemark,8,chinese:SSB0057,1,28,rp,1,1,1,10,0.6250,0.250000,4.2083,0.9822,16.86
voicemark,8,chinese:SSB0057,2,29,rp,1,1,1,13,0.8125,0.625000,3.4555,0.9448,10.36
voicemark,8,chinese:SSB0073,0,30,rp,1,1,1,11,0.6875,0.687500,3.6339,0.9472,9.83
voicemark,8,chinese:SSB0073,1,31,rp,1,1,1,12,0.7500,0.500000,4.0901,0.9637,14.18
voicemark,8,chinese:SSB0073,2,32,rp,1,1,1,14,0.8750,0.562500,4.1578,0.9667,14.12
voicemark,8,chinese:SSB0080,0,33,rp,1,1,1,15,0.9375,0.812500,3.7024,0.9336,11.07
voicemark,8,chinese:SSB0080,1,34,rp,1,0,0,15,0.9375,0.625000,3.3421,0.9326,12.08
voicemark,8,chinese:SSB0080,2,35,rp,1,1,1,12,0.7500,0.437500,3.8117,0.9447,13.61
voicemark,8,chinese:SSB0112,0,36,rp,1,1,1,10,0.6250,0.625000,4.3599,0.9722,17.29
voicemark,8,chinese:SSB0112,1,37,rp,1,1,1,13,0.8125,0.500000,4.0360,0.9575,11.31
voicemark,8,chinese:SSB0112,2,38,rp,1,1,1,13,0.8125,0.625000,4.4536,0.9907,20.76
voicemark,8,chinese:SSB0122,0,39,rp,1,0,0,13,0.8125,0.375000,4.0360,0.9580,12.14
voicemark,8,chinese:SSB0122,1,40,rp,1,1,1,12,0.7500,0.562500,3.9539,0.9635,12.58
voicemark,8,chinese:SSB0122,2,41,rp,1,1,1,12,0.7500,0.312500,3.5091,0.9576,10.89
voicemark,8,chinese:SSB0133,0,42,rp,1,0,0,14,0.8750,0.500000,3.5903,0.9493,13.35
voicemark,8,chinese:SSB0133,1,43,rp,1,0,0,12,0.7500,0.562500,2.6666,0.9446,12.11
voicemark,8,chinese:SSB0133,2,44,rp,1,1,1,13,0.8125,0.625000,2.7752,0.9444,12.46
voicemark,8,chinese:SSB0139,0,45,rp,1,1,1,11,0.6875,0.375000,4.0558,0.9791,16.08
voicemark,8,chinese:SSB0139,1,46,rp,1,1,1,14,0.8750,0.375000,4.2720,0.9849,17.74
voicemark,8,chinese:SSB0139,2,47,rp,1,0,0,12,0.7500,0.625000,3.0416,0.9599,10.99
voicemark,8,chinese:SSB0145,0,48,rp,1,1,1,12,0.7500,0.562500,4.1145,0.9665,12.79
voicemark,8,chinese:SSB0145,1,49,rp,1,1,1,13,0.8125,0.312500,3.6831,0.9599,12.78
voicemark,8,chinese:SSB0145,2,50,rp,1,1,1,13,0.8125,0.562500,3.9452,0.9657,12.24
voicemark,8,chinese:SSB0149,0,51,rp,1,1,1,12,0.7500,0.625000,4.0352,0.9711,9.69
voicemark,8,chinese:SSB0149,1,52,rp,1,1,1,13,0.8125,0.375000,3.4832,0.9564,11.68
voicemark,8,chinese:SSB0149,2,53,rp,1,1,1,11,0.6875,0.437500,3.5240,0.9598,11.00
voicemark,8,chinese:SSB0193,0,54,rp,1,1,1,9,0.5625,0.562500,4.3539,0.9894,15.05
voicemark,8,chinese:SSB0193,1,55,rp,1,1,0,15,0.9375,0.500000,4.3850,0.9882,15.05
voicemark,8,chinese:SSB0193,2,56,rp,1,0,0,12,0.7500,0.250000,4.0006,0.9733,14.76
voicemark,8,chinese:SSB0197,0,57,rp,1,1,1,10,0.6250,0.312500,3.7344,0.9490,14.28
voicemark,8,chinese:SSB0197,1,58,rp,1,1,1,12,0.7500,0.562500,3.2309,0.9437,14.63
voicemark,8,chinese:SSB0197,2,59,rp,1,0,0,14,0.8750,0.437500,3.2726,0.9566,14.19
voicemark,8,chinese:SSB0200,0,60,rp,1,1,1,11,0.6875,0.437500,3.9962,0.9627,13.71
voicemark,8,chinese:SSB0200,1,61,rp,1,1,1,12,0.7500,0.500000,3.7825,0.9544,13.12
voicemark,8,chinese:SSB0200,2,62,rp,0,0,0,16,1.0000,0.500000,3.9123,0.9400,10.77
voicemark,8,chinese:SSB0241,0,63,rp,1,1,1,13,0.8125,0.437500,3.7391,0.9537,11.65
voicemark,8,chinese:SSB0241,1,64,rp,1,1,1,14,0.8750,0.687500,3.6810,0.9584,12.89
voicemark,8,chinese:SSB0241,2,65,rp,1,1,1,12,0.7500,0.437500,3.0058,0.9401,11.17
voicemark,8,chinese:SSB0246,0,66,rp,1,1,1,14,0.8750,0.500000,3.6765,0.9561,13.87
voicemark,8,chinese:SSB0246,1,67,rp,1,1,1,14,0.8750,0.750000,4.3030,0.9799,20.77
voicemark,8,chinese:SSB0246,2,68,rp,1,1,1,11,0.6875,0.437500,3.8289,0.9788,18.28
voicemark,8,chinese:SSB0261,0,69,rp,1,1,1,13,0.8125,0.750000,3.6809,0.9461,11.38
voicemark,8,chinese:SSB0261,1,70,rp,1,1,1,14,0.8750,0.500000,3.8907,0.9700,18.50
voicemark,8,chinese:SSB0261,2,71,rp,1,1,1,12,0.7500,0.562500,4.0658,0.9543,12.34
voicemark,8,chinese:SSB0267,0,72,rp,1,1,1,12,0.7500,0.500000,3.8715,0.9512,15.52
voicemark,8,chinese:SSB0267,1,73,rp,1,1,1,13,0.8125,0.312500,4.2135,0.9613,15.68
voicemark,8,chinese:SSB0267,2,74,rp,1,1,1,13,0.8125,0.562500,4.4641,0.9883,22.08
voicemark,8,chinese:SSB0273,0,75,rp,0,0,0,16,1.0000,0.812500,3.6450,0.9467,11.90
voicemark,8,chinese:SSB0273,1,76,rp,1,1,1,11,0.6875,0.375000,3.8484,0.9601,11.86
voicemark,8,chinese:SSB0273,2,77,rp,1,1,1,10,0.6250,0.500000,4.1274,0.9584,14.28
voicemark,8,chinese:SSB0287,0,78,rp,1,1,1,12,0.7500,0.500000,3.8820,0.9433,11.18
voicemark,8,chinese:SSB0287,1,79,rp,1,1,1,14,0.8750,0.250000,3.2709,0.9437,9.83
voicemark,8,chinese:SSB0287,2,80,rp,1,1,1,9,0.5625,0.500000,3.9925,0.9552,12.01
