model,K,spk,local_t,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wavmark,2,chinese:SSB0005,0,0,rp,1,1,1,14,0.8750,0.437500,4.5812,0.9978,45.79
wavmark,2,chinese:SSB0005,1,1,rp,1,1,1,12,0.7500,0.375000,4.5708,0.9985,45.40
wavmark,2,chinese:SSB0005,2,2,rp,1,1,1,14,0.8750,0.750000,4.6118,0.9990,48.15
wavmark,2,chinese:SSB0009,0,3,rp,1,1,1,15,0.9375,0.812500,4.6184,1.0000,48.11
wavmark,2,chinese:SSB0009,1,4,rp,1,1,1,12,0.7500,0.437500,4.6179,1.0000,44.95
wavmark,2,chinese:SSB0009,2,5,rp,1,1,1,13,0.8125,0.437500,4.5803,0.9999,44.15
wavmark,2,chinese:SSB0011,0,6,rp,1,1,1,13,0.8125,0.500000,4.5268,0.9997,44.31
wavmark,2,chinese:SSB0011,1,7,rp,1,1,1,13,0.8125,0.500000,4.5299,0.9997,44.34
wavmark,2,chinese:SSB0011,2,8,rp,1,1,1,12,0.7500,0.375000,4.4758,0.9995,43.61
wavmark,2,chinese:SSB0012,0,9,rp,1,1,1,13,0.8125,0.500000,4.5779,0.9998,44.85
wavmark,2,chinese:SSB0012,1,10,rp,1,1,1,13,0.8125,0.437500,4.5493,0.9998,44.74
wavmark,2,chinese:SSB0012,2,11,rp,1,1,1,15,0.9375,0.812500,4.5910,0.9999,48.62
wavmark,2,chinese:SSB0016,0,12,rp,1,1,1,15,0.9375,0.625000,4.4780,0.9990,41.42
wavmark,2,chinese:SSB0016,1,13,rp,1,1,1,13,0.8125,0.437500,4.4887,0.9986,39.92
wavmark,2,chinese:SSB0016,2,14,rp,1,1,1,15,0.9375,0.812500,4.5846,0.9995,44.71
wavmark,2,chinese:SSB0018,0,15,rp,1,1,1,12,0.7500,0.437500,4.5344,0.9997,45.70
wavmark,2,chinese:SSB0018,1,16,rp,1,1,1,12,0.7500,0.312500,4.5003,0.9995,44.52
wavmark,2,chinese:SSB0018,2,17,rp,1,1,1,14,0.8750,0.625000,4.5782,0.9997,46.66
wavmark,2,chinese:SSB0033,0,18,rp,1,1,1,13,0.8125,0.375000,4.5227,0.9997,44.92
wavmark,2,chinese:SSB0033,1,19,rp,1,1,1,14,0.8750,0.375000,4.4996,0.9997,44.96
wavmark,2,chinese:SSB0033,2,20,rp,1,1,1,14,0.8750,0.500000,4.5164,0.9998,45.70
