model,K,spk,local_t,gi,target,method,target_top1
timbrewm,3,chinese:SSB0005,0,0,96,mean,0
timbrewm,3,chinese:SSB0005,0,0,96,tct,0
timbrewm,3,chinese:SSB0005,0,0,623,mean,0
timbrewm,3,chinese:SSB0005,0,0,623,tct,0
timbrewm,3,chinese:SSB0005,0,0,268,mean,0
timbrewm,3,chinese:SSB0005,0,0,268,tct,0
timbrewm,3,chinese:SSB0005,0,0,889,mean,0
timbrewm,3,chinese:SSB0005,0,0,889,tct,0
timbrewm,3,chinese:SSB0005,0,0,530,mean,0
timbrewm,3,chinese:SSB0005,0,0,530,tct,0
timbrewm,3,chinese:SSB0005,0,0,1010,mean,0
timbrewm,3,chinese:SSB0005,0,0,1010,tct,0
timbrewm,3,chinese:SSB0005,0,0,293,mean,0
timbrewm,3,chinese:SSB0005,0,0,293,tct,0
timbrewm,3,chinese:SSB0005,0,0,0,mean,0
timbrewm,3,chinese:SSB0005,0,0,0,tct,0
timbrewm,3,chinese:SSB0005,0,0,46,mean,0
timbrewm,3,chinese:SSB0005,0,0,46,tct,0
timbrewm,3,chinese:SSB0005,0,0,150,mean,0
timbrewm,3,chinese:SSB0005,0,0,150,tct,0
timbrewm,3,chinese:SSB0005,1,1,608,mean,0
timbrewm,3,chinese:SSB0005,1,1,608,tct,0
timbrewm,3,chinese:SSB0005,1,1,898,mean,0
timbrewm,3,chinese:SSB0005,1,1,898,tct,0
timbrewm,3,chinese:SSB0005,1,1,102,mean,0
timbrewm,3,chinese:SSB0005,1,1,102,tct,0
timbrewm,3,chinese:SSB0005,1,1,767,mean,0
timbrewm,3,chinese:SSB0005,1,1,767,tct,0
timbrewm,3,chinese:SSB0005,1,1,873,mean,0
timbrewm,3,chinese:SSB0005,1,1,873,tct,0
timbrewm,3,chinese:SSB0005,1,1,285,mean,0
timbrewm,3,chinese:SSB0005,1,1,285,tct,0
timbrewm,3,chinese:SSB0005,1,1,393,mean,0
timbrewm,3,chinese:SSB0005,1,1,393,tct,0
