model,K,spk,local_t,gi,target,method,target_top1
wmcodec,3,chinese:SSB0005,0,0,6251,mean,0
wmcodec,3,chinese:SSB0005,0,0,6251,tct,0
wmcodec,3,chinese:SSB0005,0,0,40159,mean,0
wmcodec,3,chinese:SSB0005,0,0,40159,tct,0
wmcodec,3,chinese:SSB0005,0,0,17402,mean,0
wmcodec,3,chinese:SSB0005,0,0,17402,tct,0
wmcodec,3,chinese:SSB0005,0,0,57195,mean,0
wmcodec,3,chinese:SSB0005,0,0,57195,tct,0
wmcodec,3,chinese:SSB0005,0,0,34223,mean,0
wmcodec,3,chinese:SSB0005,0,0,34223,tct,0
wmcodec,3,chinese:SSB0005,0,0,64646,mean,0
wmcodec,3,chinese:SSB0005,0,0,64646,tct,0
wmcodec,3,chinese:SSB0005,0,0,18875,mean,0
wmcodec,3,chinese:SSB0005,0,0,18875,tct,0
wmcodec,3,chinese:SSB0005,0,0,16,mean,0
wmcodec,3,chinese:SSB0005,0,0,16,tct,0
wmcodec,3,chinese:SSB0005,0,0,2960,mean,0
wmcodec,3,chinese:SSB0005,0,0,2960,tct,0
wmcodec,3,chinese:SSB0005,0,0,9688,mean,0
wmcodec,3,chinese:SSB0005,0,0,9688,tct,0
wmcodec,3,chinese:SSB0005,1,1,39130,mean,0
wmcodec,3,chinese:SSB0005,1,1,39130,tct,0
wmcodec,3,chinese:SSB0005,1,1,57498,mean,0
wmcodec,3,chinese:SSB0005,1,1,57498,tct,0
wmcodec,3,chinese:SSB0005,1,1,6547,mean,0
wmcodec,3,chinese:SSB0005,1,1,6547,tct,0
wmcodec,3,chinese:SSB0005,1,1,49242,mean,0
wmcodec,3,chinese:SSB0005,1,1,49242,tct,0
wmcodec,3,chinese:SSB0005,1,1,56108,mean,0
wmcodec,3,chinese:SSB0005,1,1,56108,tct,0
wmcodec,3,chinese:SSB0005,1,1,18317,mean,0
wmcodec,3,chinese:SSB0005,1,1,18317,tct,0
wmcodec,3,chinese:SSB0005,1,1,25256,mean,0
wmcodec,3,chinese:SSB0005,1,1,25256,tct,0
wmcodec,3,chinese:SSB0005,1,1,49154,mean,0
wmcodec,3,chinese:SSB0005,1,1,49154,tct,0
wmcodec,3,chinese:SSB0005,1,1,56844,mean,0
wmcodec,3,chinese:SSB0005,1,1,56844,tct,0
wmcodec,3,chinese:SSB0005,1,1,4040,mean,0
wmcodec,3,chinese:SSB0005,1,1,4040,tct,0
wmcodec,3,chinese:SSB0005,2,2,21338,mean,0
wmcodec,3,chinese:SSB0005,2,2,21338,tct,0
wmcodec,3,chinese:SSB0005,2,2,18609,mean,0
wmcodec,3,chinese:SSB0005,2,2,18609,tct,0
wmcodec,3,chinese:SSB0005,2,2,20792,mean,0
wmcodec,3,chinese:SSB0005,2,2,20792,tct,0
wmcodec,3,chinese:SSB0005,2,2,33833,mean,0
wmcodec,3,chinese:SSB0005,2,2,33833,tct,0
wmcodec,3,chinese:SSB0005,2,2,33025,mean,0
wmcodec,3,chinese:SSB0005,2,2,33025,tct,0
wmcodec,3,chinese:SSB0005,2,2,49099,mean,0
wmcodec,3,chinese:SSB0005,2,2,49099,tct,0
wmcodec,3,chinese:SSB0005,2,2,32021,mean,0
wmcodec,3,chinese:SSB0005,2,2,32021,tct,0
wmcodec,3,chinese:SSB0005,2,2,17790,mean,0
wmcodec,3,chinese:SSB0005,2,2,17790,tct,0
wmcodec,3,chinese:SSB0005,2,2,4931,mean,0
wmcodec,3,chinese:SSB0005,2,2,4931,tct,0
wmcodec,3,chinese:SSB0005,2,2,23272,mean,0
wmcodec,3,chinese:SSB0005,2,2,23272,tct,0
wmcodec,3,chinese:SSB0009,0,3,24461,mean,0
wmcodec,3,chinese:SSB0009,0,3,24461,tct,0
wmcodec,3,chinese:SSB0009,0,3,25556,mean,0
wmcodec,3,chinese:SSB0009,0,3,25556,tct,0
wmcodec,3,chinese:SSB0009,0,3,39289,mean,0
wmcodec,3,chinese:SSB0009,0,3,39289,tct,0
wmcodec,3,chinese:SSB0009,0,3,40485,mean,0
wmcodec,3,chinese:SSB0009,0,3,40485,tct,0
wmcodec,3,chinese:SSB0009,0,3,13773,mean,0
wmcodec,3,chinese:SSB0009,0,3,13773,tct,0
wmcodec,3,chinese:SSB0009,0,3,37007,mean,0
wmcodec,3,chinese:SSB0009,0,3,37007,tct,0
wmcodec,3,chinese:SSB0009,0,3,8267,mean,0
wmcodec,3,chinese:SSB0009,0,3,8267,tct,0
wmcodec,3,chinese:SSB0009,0,3,63839,mean,0
wmcodec,3,chinese:SSB0009,0,3,63839,tct,0
wmcodec,3,chinese:SSB0009,0,3,10336,mean,0
wmcodec,3,chinese:SSB0009,0,3,10336,tct,0
wmcodec,3,chinese:SSB0009,0,3,58590,mean,0
wmcodec,3,chinese:SSB0009,0,3,58590,tct,0
wmcodec,3,chinese:SSB0009,1,4,32973,mean,0
wmcodec,3,chinese:SSB0009,1,4,32973,tct,0
wmcodec,3,chinese:SSB0009,1,4,53833,mean,0
wmcodec,3,chinese:SSB0009,1,4,53833,tct,0
wmcodec,3,chinese:SSB0009,1,4,2031,mean,0
wmcodec,3,chinese:SSB0009,1,4,2031,tct,0
wmcodec,3,chinese:SSB0009,1,4,32374,mean,0
wmcodec,3,chinese:SSB0009,1,4,32374,tct,0
wmcodec,3,chinese:SSB0009,1,4,30168,mean,0
wmcodec,3,chinese:SSB0009,1,4,30168,tct,0
wmcodec,3,chinese:SSB0009,1,4,57979,mean,0
wmcodec,3,chinese:SSB0009,1,4,57979,tct,0
wmcodec,3,chinese:SSB0009,1,4,34867,mean,0
wmcodec,3,chinese:SSB0009,1,4,34867,tct,0
wmcodec,3,chinese:SSB0009,1,4,39538,mean,0
wmcodec,3,chinese:SSB0009,1,4,39538,tct,0
wmcodec,3,chinese:SSB0009,1,4,51704,mean,0
wmcodec,3,chinese:SSB0009,1,4,51704,tct,0
