model,K,spk,local_t,gi,target,method,target_top1
audioseal,2,chinese:SSB0005,0,0,48190,mean,0
audioseal,2,chinese:SSB0005,0,0,48190,tct,0
audioseal,2,chinese:SSB0005,0,0,22712,mean,0
audioseal,2,chinese:SSB0005,0,0,22712,tct,0
audioseal,2,chinese:SSB0005,0,0,63640,mean,0
audioseal,2,chinese:SSB0005,0,0,63640,tct,0
audioseal,2,chinese:SSB0005,0,0,35898,mean,0
audioseal,2,chinese:SSB0005,0,0,35898,tct,0
audioseal,2,chinese:SSB0005,0,0,36414,mean,0
audioseal,2,chinese:SSB0005,0,0,36414,tct,0
audioseal,2,chinese:SSB0005,0,0,48174,mean,0
audioseal,2,chinese:SSB0005,0,0,48174,tct,0
audioseal,2,chinese:SSB0005,0,0,20634,mean,0
audioseal,2,chinese:SSB0005,0,0,20634,tct,0
audioseal,2,chinese:SSB0005,0,0,19096,mean,0
audioseal,2,chinese:SSB0005,0,0,19096,tct,0
audioseal,2,chinese:SSB0005,0,0,44056,mean,0
audioseal,2,chinese:SSB0005,0,0,44056,tct,0
audioseal,2,chinese:SSB0005,0,0,55454,mean,0
audioseal,2,chinese:SSB0005,0,0,55454,tct,0
audioseal,2,chinese:SSB0005,1,1,33986,mean,0
audioseal,2,chinese:SSB0005,1,1,33986,tct,0
audioseal,2,chinese:SSB0005,1,1,35014,mean,0
audioseal,2,chinese:SSB0005,1,1,35014,tct,0
audioseal,2,chinese:SSB0005,1,1,23206,mean,0
audioseal,2,chinese:SSB0005,1,1,23206,tct,0
audioseal,2,chinese:SSB0005,1,1,23203,mean,0
audioseal,2,chinese:SSB0005,1,1,23203,tct,0
audioseal,2,chinese:SSB0005,1,1,16551,mean,0
audioseal,2,chinese:SSB0005,1,1,16551,tct,0
audioseal,2,chinese:SSB0005,1,1,20999,mean,0
audioseal,2,chinese:SSB0005,1,1,20999,tct,0
audioseal,2,chinese:SSB0005,1,1,3522,mean,0
audioseal,2,chinese:SSB0005,1,1,3522,tct,0
audioseal,2,chinese:SSB0005,1,1,39042,mean,0
audioseal,2,chinese:SSB0005,1,1,39042,tct,0
audioseal,2,chinese:SSB0005,1,1,35554,mean,0
audioseal,2,chinese:SSB0005,1,1,35554,tct,0
audioseal,2,chinese:SSB0005,1,1,20642,mean,0
audioseal,2,chinese:SSB0005,1,1,20642,tct,0
audioseal,2,chinese:SSB0005,2,2,38982,mean,0
audioseal,2,chinese:SSB0005,2,2,38982,tct,0
audioseal,2,chinese:SSB0005,2,2,39008,mean,0
audioseal,2,chinese:SSB0005,2,2,39008,tct,0
audioseal,2,chinese:SSB0005,2,2,36938,mean,0
audioseal,2,chinese:SSB0005,2,2,36938,tct,0
audioseal,2,chinese:SSB0005,2,2,39114,mean,0
audioseal,2,chinese:SSB0005,2,2,39114,tct,0
audioseal,2,chinese:SSB0005,2,2,14338,mean,0
audioseal,2,chinese:SSB0005,2,2,14338,tct,0
audioseal,2,chinese:SSB0005,2,2,35010,mean,0
audioseal,2,chinese:SSB0005,2,2,35010,tct,0
audioseal,2,chinese:SSB0005,2,2,40290,mean,0
audioseal,2,chinese:SSB0005,2,2,40290,tct,0
audioseal,2,chinese:SSB0005,2,2,35394,mean,0
audioseal,2,chinese:SSB0005,2,2,35394,tct,0
audioseal,2,chinese:SSB0005,2,2,35842,mean,0
audioseal,2,chinese:SSB0005,2,2,35842,tct,0
audioseal,2,chinese:SSB0005,2,2,3174,mean,0
audioseal,2,chinese:SSB0005,2,2,3174,tct,0
audioseal,2,chinese:SSB0009,0,3,62512,mean,0
audioseal,2,chinese:SSB0009,0,3,62512,tct,0
audioseal,2,chinese:SSB0009,0,3,8368,mean,0
audioseal,2,chinese:SSB0009,0,3,8368,tct,0
audioseal,2,chinese:SSB0009,0,3,40976,mean,0
audioseal,2,chinese:SSB0009,0,3,40976,tct,0
audioseal,2,chinese:SSB0009,0,3,60528,mean,0
audioseal,2,chinese:SSB0009,0,3,60528,tct,0
audioseal,2,chinese:SSB0009,0,3,41145,mean,0
audioseal,2,chinese:SSB0009,0,3,41145,tct,0
audioseal,2,chinese:SSB0009,0,3,43168,mean,0
audioseal,2,chinese:SSB0009,0,3,43168,tct,0
audioseal,2,chinese:SSB0009,0,3,60976,mean,0
audioseal,2,chinese:SSB0009,0,3,60976,tct,0
audioseal,2,chinese:SSB0009,0,3,59184,mean,0
audioseal,2,chinese:SSB0009,0,3,59184,tct,0
audioseal,2,chinese:SSB0009,0,3,43188,mean,0
audioseal,2,chinese:SSB0009,0,3,43188,tct,0
audioseal,2,chinese:SSB0009,0,3,41652,mean,0
audioseal,2,chinese:SSB0009,0,3,41652,tct,0
