model,K,spk,local_t,gi,target,method,target_top1
voicemark,8,chinese:SSB0005,0,0,47706,mean,0
voicemark,8,chinese:SSB0005,0,0,47706,tct,0
voicemark,8,chinese:SSB0005,0,0,47963,mean,0
voicemark,8,chinese:SSB0005,0,0,47963,tct,0
voicemark,8,chinese:SSB0005,0,0,56146,mean,0
voicemark,8,chinese:SSB0005,0,0,56146,tct,0
voicemark,8,chinese:SSB0005,0,0,43566,mean,0
voicemark,8,chinese:SSB0005,0,0,43566,tct,0
voicemark,8,chinese:SSB0005,0,0,49050,mean,0
voicemark,8,chinese:SSB0005,0,0,49050,tct,0
voicemark,8,chinese:SSB0005,0,0,9062,mean,0
voicemark,8,chinese:SSB0005,0,0,9062,tct,0
voicemark,8,chinese:SSB0005,0,0,55618,mean,0
voicemark,8,chinese:SSB0005,0,0,55618,tct,0
voicemark,8,chinese:SSB0005,0,0,64677,mean,0
voicemark,8,chinese:SSB0005,0,0,64677,tct,0
voicemark,8,chinese:SSB0005,0,0,27813,mean,0
voicemark,8,chinese:SSB0005,0,0,27813,tct,0
voicemark,8,chinese:SSB0005,0,0,11054,mean,0
voicemark,8,chinese:SSB0005,0,0,11054,tct,0
voicemark,8,chinese:SSB0005,1,1,42843,mean,0
voicemark,8,chinese:SSB0005,1,1,42843,tct,0
voicemark,8,chinese:SSB0005,1,1,50517,mean,0
voicemark,8,chinese:SSB0005,1,1,50517,tct,0
voicemark,8,chinese:SSB0005,1,1,44890,mean,0
voicemark,8,chinese:SSB0005,1,1,44890,tct,0
voicemark,8,chinese:SSB0005,1,1,58759,mean,0
voicemark,8,chinese:SSB0005,1,1,58759,tct,0
voicemark,8,chinese:SSB0005,1,1,49031,mean,0
voicemark,8,chinese:SSB0005,1,1,49031,tct,0
voicemark,8,chinese:SSB0005,1,1,25863,mean,0
voicemark,8,chinese:SSB0005,1,1,25863,tct,0
voicemark,8,chinese:SSB0005,1,1,55109,mean,0
voicemark,8,chinese:SSB0005,1,1,55109,tct,0
voicemark,8,chinese:SSB0005,1,1,46503,mean,0
voicemark,8,chinese:SSB0005,1,1,46503,tct,0
voicemark,8,chinese:SSB0005,1,1,25795,mean,0
voicemark,8,chinese:SSB0005,1,1,25795,tct,0
voicemark,8,chinese:SSB0005,1,1,50508,mean,0
voicemark,8,chinese:SSB0005,1,1,50508,tct,0
voicemark,8,chinese:SSB0005,2,2,15904,mean,0
voicemark,8,chinese:SSB0005,2,2,15904,tct,0
voicemark,8,chinese:SSB0005,2,2,22032,mean,0
voicemark,8,chinese:SSB0005,2,2,22032,tct,0
voicemark,8,chinese:SSB0005,2,2,60922,mean,0
voicemark,8,chinese:SSB0005,2,2,60922,tct,0
voicemark,8,chinese:SSB0005,2,2,44006,mean,0
voicemark,8,chinese:SSB0005,2,2,44006,tct,0
voicemark,8,chinese:SSB0005,2,2,60947,mean,0
voicemark,8,chinese:SSB0005,2,2,60947,tct,0
voicemark,8,chinese:SSB0005,2,2,59896,mean,0
voicemark,8,chinese:SSB0005,2,2,59896,tct,0
voicemark,8,chinese:SSB0005,2,2,60948,mean,0
voicemark,8,chinese:SSB0005,2,2,60948,tct,0
voicemark,8,chinese:SSB0005,2,2,29718,mean,0
voicemark,8,chinese:SSB0005,2,2,29718,tct,0
