model,K,spk,local_t,gi,target,method,target_top1
wmcodec,3,chinese:SSB0005,0,0,40222,mean,0
wmcodec,3,chinese:SSB0005,0,0,40222,tct,0
wmcodec,3,chinese:SSB0005,0,0,59921,mean,0
wmcodec,3,chinese:SSB0005,0,0,59921,tct,0
wmcodec,3,chinese:SSB0005,0,0,38764,mean,0
wmcodec,3,chinese:SSB0005,0,0,38764,tct,0
wmcodec,3,chinese:SSB0005,0,0,21884,mean,0
wmcodec,3,chinese:SSB0005,0,0,21884,tct,0
wmcodec,3,chinese:SSB0005,0,0,21870,mean,0
wmcodec,3,chinese:SSB0005,0,0,21870,tct,0
wmcodec,3,chinese:SSB0005,0,0,59991,mean,0
wmcodec,3,chinese:SSB0005,0,0,59991,tct,0
wmcodec,3,chinese:SSB0005,0,0,44382,mean,0
wmcodec,3,chinese:SSB0005,0,0,44382,tct,0
wmcodec,3,chinese:SSB0005,0,0,27153,mean,0
wmcodec,3,chinese:SSB0005,0,0,27153,tct,0
wmcodec,3,chinese:SSB0005,0,0,18280,mean,0
wmcodec,3,chinese:SSB0005,0,0,18280,tct,0
wmcodec,3,chinese:SSB0005,0,0,8014,mean,0
wmcodec,3,chinese:SSB0005,0,0,8014,tct,0
wmcodec,3,chinese:SSB0005,1,1,3138,mean,0
wmcodec,3,chinese:SSB0005,1,1,3138,tct,0
wmcodec,3,chinese:SSB0005,1,1,9443,mean,0
wmcodec,3,chinese:SSB0005,1,1,9443,tct,0
wmcodec,3,chinese:SSB0005,1,1,11427,mean,0
wmcodec,3,chinese:SSB0005,1,1,11427,tct,0
wmcodec,3,chinese:SSB0005,1,1,30053,mean,0
wmcodec,3,chinese:SSB0005,1,1,30053,tct,0
wmcodec,3,chinese:SSB0005,1,1,28963,mean,0
wmcodec,3,chinese:SSB0005,1,1,28963,tct,0
wmcodec,3,chinese:SSB0005,1,1,18497,mean,0
wmcodec,3,chinese:SSB0005,1,1,18497,tct,0
wmcodec,3,chinese:SSB0005,1,1,2064,mean,0
wmcodec,3,chinese:SSB0005,1,1,2064,tct,0
wmcodec,3,chinese:SSB0005,1,1,41127,mean,0
wmcodec,3,chinese:SSB0005,1,1,41127,tct,0
wmcodec,3,chinese:SSB0005,1,1,69,mean,0
wmcodec,3,chinese:SSB0005,1,1,69,tct,0
wmcodec,3,chinese:SSB0005,1,1,9280,mean,0
wmcodec,3,chinese:SSB0005,1,1,9280,tct,0
wmcodec,3,chinese:SSB0005,2,2,15881,mean,0
wmcodec,3,chinese:SSB0005,2,2,15881,tct,0
wmcodec,3,chinese:SSB0005,2,2,11787,mean,0
wmcodec,3,chinese:SSB0005,2,2,11787,tct,0
wmcodec,3,chinese:SSB0005,2,2,11403,mean,0
wmcodec,3,chinese:SSB0005,2,2,11403,tct,0
wmcodec,3,chinese:SSB0005,2,2,43521,mean,0
wmcodec,3,chinese:SSB0005,2,2,43521,tct,0
wmcodec,3,chinese:SSB0005,2,2,43555,mean,0
wmcodec,3,chinese:SSB0005,2,2,43555,tct,0
wmcodec,3,chinese:SSB0005,2,2,51753,mean,0
wmcodec,3,chinese:SSB0005,2,2,51753,tct,0
wmcodec,3,chinese:SSB0005,2,2,59393,mean,0
wmcodec,3,chinese:SSB0005,2,2,59393,tct,0
wmcodec,3,chinese:SSB0005,2,2,10753,mean,0
wmcodec,3,chinese:SSB0005,2,2,10753,tct,0
wmcodec,3,chinese:SSB0005,2,2,32265,mean,0
wmcodec,3,chinese:SSB0005,2,2,32265,tct,0
wmcodec,3,chinese:SSB0005,2,2,48649,mean,0
wmcodec,3,chinese:SSB0005,2,2,48649,tct,0
wmcodec,3,chinese:SSB0009,0,3,38626,mean,0
wmcodec,3,chinese:SSB0009,0,3,38626,tct,0
wmcodec,3,chinese:SSB0009,0,3,38512,mean,0
wmcodec,3,chinese:SSB0009,0,3,38512,tct,0
wmcodec,3,chinese:SSB0009,0,3,42610,mean,0
wmcodec,3,chinese:SSB0009,0,3,42610,tct,0
wmcodec,3,chinese:SSB0009,0,3,9328,mean,0
wmcodec,3,chinese:SSB0009,0,3,9328,tct,0
wmcodec,3,chinese:SSB0009,0,3,1764,mean,0
wmcodec,3,chinese:SSB0009,0,3,1764,tct,0
wmcodec,3,chinese:SSB0009,0,3,44784,mean,0
wmcodec,3,chinese:SSB0009,0,3,44784,tct,0
wmcodec,3,chinese:SSB0009,0,3,42600,mean,0
wmcodec,3,chinese:SSB0009,0,3,42600,tct,0
wmcodec,3,chinese:SSB0009,0,3,3312,mean,0
wmcodec,3,chinese:SSB0009,0,3,3312,tct,0
wmcodec,3,chinese:SSB0009,0,3,42552,mean,0
wmcodec,3,chinese:SSB0009,0,3,42552,tct,0
wmcodec,3,chinese:SSB0009,0,3,37604,mean,0
wmcodec,3,chinese:SSB0009,0,3,37604,tct,0
wmcodec,3,chinese:SSB0009,1,4,43380,mean,0
wmcodec,3,chinese:SSB0009,1,4,43380,tct,0
wmcodec,3,chinese:SSB0009,1,4,36763,mean,0
wmcodec,3,chinese:SSB0009,1,4,36763,tct,0
wmcodec,3,chinese:SSB0009,1,4,34745,mean,0
wmcodec,3,chinese:SSB0009,1,4,34745,tct,0
wmcodec,3,chinese:SSB0009,1,4,50077,mean,0
wmcodec,3,chinese:SSB0009,1,4,50077,tct,0
wmcodec,3,chinese:SSB0009,1,4,33781,mean,0
wmcodec,3,chinese:SSB0009,1,4,33781,tct,0
wmcodec,3,chinese:SSB0009,1,4,10549,mean,0
wmcodec,3,chinese:SSB0009,1,4,10549,tct,0
wmcodec,3,chinese:SSB0009,1,4,33563,mean,0
wmcodec,3,chinese:SSB0009,1,4,33563,tct,0
wmcodec,3,chinese:SSB0009,1,4,36762,mean,0
wmcodec,3,chinese:SSB0009,1,4,36762,tct,0
wmcodec,3,chinese:SSB0009,1,4,33701,mean,0
wmcodec,3,chinese:SSB0009,1,4,33701,tct,0
wmcodec,3,chinese:SSB0009,1,4,17301,mean,0
wmcodec,3,chinese:SSB0009,1,4,17301,tct,0
wmcodec,3,chinese:SSB0009,2,5,38138,mean,0
wmcodec,3,chinese:SSB0009,2,5,38138,tct,0
wmcodec,3,chinese:SSB0009,2,5,14413,mean,0
wmcodec,3,chinese:SSB0009,2,5,14413,tct,0
wmcodec,3,chinese:SSB0009,2,5,41045,mean,0
wmcodec,3,chinese:SSB0009,2,5,41045,tct,0
wmcodec,3,chinese:SSB0009,2,5,63949,mean,0
wmcodec,3,chinese:SSB0009,2,5,63949,tct,0
wmcodec,3,chinese:SSB0009,2,5,63823,mean,0
wmcodec,3,chinese:SSB0009,2,5,63823,tct,0
